Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
FrontEnd_ClassMenuBase	0.525391	0.015625	0.920898	0.617188	538	4	943	158	
FrontEnd_ClassMenuBase_wide	0.003906	0.015625	0.517578	0.648438	4	4	530	166	
GenderBTN_Female_Inactive	0.928711	0.015625	0.978516	0.214844	951	4	1002	55	
GenderBTN_Female_Mouseover	0.928711	0.246094	0.978516	0.445313	951	63	1002	114	
GenderBTN_Female_Normal	0.003906	0.679688	0.053711	0.878906	4	174	55	225	
GenderBTN_Female_Pushed	0.061523	0.679688	0.111328	0.878906	63	174	114	225	
GenderBTN_Male_Inactive	0.119141	0.679688	0.168945	0.878906	122	174	173	225	
GenderBTN_Male_Mouseover	0.176758	0.679688	0.226563	0.878906	181	174	232	225	
GenderBTN_Male_Normal	0.234375	0.679688	0.284180	0.878906	240	174	291	225	
GenderBTN_Male_Pushed	0.291992	0.679688	0.341797	0.878906	299	174	350	225	
