Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
GroundIcon_Axe	0.000000	0.000000	0.028809	0.460938	0	0	59	59	
GroundIcon_Bow	0.028809	0.000000	0.057617	0.460938	59	0	118	59	
GroundIcon_Crossbow	0.057617	0.000000	0.086426	0.460938	118	0	177	59	
GroundIcon_Crusader	0.086426	0.000000	0.115234	0.460938	177	0	236	59	
GroundIcon_Dagger	0.115234	0.000000	0.144043	0.460938	236	0	295	59	
GroundIcon_Fist	0.144043	0.000000	0.172852	0.460938	295	0	354	59	
GroundIcon_Mace	0.172852	0.000000	0.201660	0.460938	354	0	413	59	
GroundIcon_MightyWeapon	0.201660	0.000000	0.230469	0.460938	413	0	472	59	
GroundIcon_MojoSmall	0.230469	0.000000	0.259277	0.460938	472	0	531	59	
GroundIcon_Offhand	0.259277	0.000000	0.288086	0.460938	531	0	590	59	
GroundIcon_OrbSmall	0.288086	0.000000	0.316895	0.460938	590	0	649	59	
GroundIcon_QuiverSmall	0.316895	0.000000	0.345703	0.460938	649	0	708	59	
GroundIcon_ShieldSmall	0.345703	0.000000	0.374512	0.460938	708	0	767	59	
GroundIcon_Staff	0.374512	0.000000	0.403320	0.460938	767	0	826	59	
GroundIcon_Sword	0.403320	0.000000	0.432129	0.460938	826	0	885	59	
GroundIcon_Wand	0.432129	0.000000	0.460938	0.460938	885	0	944	59	
GroundIcon_Scythe	0.460938	0.000000	0.489746	0.460938	944	0	1003	59	
GroundIcon_Phylactery	0.489746	0.000000	0.518555	0.460938	1003	0	1062	59	
GroundIcon_Helm	0.518555	0.000000	0.547363	0.460938	1062	0	1121	59	
GroundIcon_Belt	0.547363	0.000000	0.576172	0.460938	1121	0	1180	59	
GroundIcon_Chest	0.576172	0.000000	0.604980	0.460938	1180	0	1239	59	
GroundIcon_Feet	0.604980	0.000000	0.633789	0.460938	1239	0	1298	59	
GroundIcon_Hands	0.633789	0.000000	0.662598	0.460938	1298	0	1357	59	
GroundIcon_Legs	0.662598	0.000000	0.691406	0.460938	1357	0	1416	59	
GroundIcon_Neck	0.691406	0.000000	0.720215	0.460938	1416	0	1475	59	
GroundIcon_Shoulder	0.720215	0.000000	0.749023	0.460938	1475	0	1534	59	
GroundIcon_Wrist	0.749023	0.000000	0.777832	0.460938	1534	0	1593	59	
GroundIcon_Ring	0.777832	0.000000	0.806641	0.460938	1593	0	1652	59	
GroundIcon_FollowerHire	0.806641	0.000000	0.835449	0.460938	1652	0	1711	59	
GroundIcon_Enchantress	0.835449	0.000000	0.864258	0.460938	1711	0	1770	59	
GroundIcon_Scoundrel	0.864258	0.000000	0.893066	0.460938	1770	0	1829	59	
GroundIcon_Templar	0.893066	0.000000	0.921875	0.460938	1829	0	1888	59	
GroundIcon_Bag	0.921875	0.000000	0.950684	0.460938	1888	0	1947	59	
GroundIcon_Book	0.950684	0.000000	0.979492	0.460938	1947	0	2006	59	
GroundIcon_Gem	0.000000	0.460938	0.028809	0.921875	0	59	59	118	
GroundIcon_Generic	0.028809	0.460938	0.057617	0.921875	59	59	118	118	
GroundIcon_Potion	0.057617	0.460938	0.086426	0.921875	118	59	177	118	
GroundIcon_Quest	0.086426	0.460938	0.115234	0.921875	177	59	236	118	
GroundIcon_Voice	0.115234	0.460938	0.144043	0.921875	236	59	295	118	
GroundIcon_Anvil	0.144043	0.460938	0.172852	0.921875	295	59	354	118	
GroundIcon_LootRing	0.172852	0.460938	0.201660	0.921875	354	59	413	118	
