Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
InventoryGrid_Base	0.293457	0.001953	0.581055	0.587891	601	4	1190	1204	
InventoryGrid_BaseAlt	0.001953	0.001953	0.289551	0.587891	4	4	593	1204	
Grid_EmptySocket_Belt	0.938477	0.001953	0.976563	0.016113	1922	4	2000	33	
Grid_EmptySocket_Chest	0.786133	0.175781	0.824219	0.229980	1610	360	1688	471	
Grid_EmptySocket_Feet	0.862305	0.175781	0.892578	0.216797	1766	360	1828	444	
Grid_EmptySocket_Glove	0.930664	0.175781	0.960938	0.216309	1906	360	1968	443	
Grid_EmptySocket_Bracer	0.964844	0.175781	0.995117	0.216309	1976	360	2038	443	
Grid_EmptySocket_Head	0.794922	0.072266	0.825195	0.102539	1628	148	1690	210	
Grid_EmptySocket_Leg	0.896484	0.175781	0.926758	0.216797	1836	360	1898	444	
Grid_EmptySocket_MainHand	0.752930	0.175781	0.782227	0.236328	1542	360	1602	484	
Grid_EmptySocket_Neck	0.719727	0.240234	0.744141	0.264648	1474	492	1524	542	
Grid_EmptySocket_OffHand	0.933594	0.107422	0.962891	0.167969	1912	220	1972	344	
Grid_EmptySocket_RingLeft	0.960938	0.025391	0.979492	0.043945	1968	52	2006	90	
Grid_EmptySocket_RingRight	0.938477	0.025391	0.957031	0.043945	1922	52	1960	90	
Grid_EmptySocket_Shoulder	0.828125	0.175781	0.858398	0.216797	1696	360	1758	444	
Grid_EmptySocket_Quiver	0.966797	0.107422	0.996094	0.167969	1980	220	2040	344	
Grid_EmptySocket_Bow	0.686035	0.175781	0.715332	0.236328	1405	360	1465	484	
SlotFlash_Generic	0.584961	0.107422	0.649414	0.171875	1198	220	1330	352	
InventoryGrid_Slot	0.724609	0.072266	0.755859	0.103516	1484	148	1548	212	
ItemSelectLarge	0.864258	0.107422	0.895508	0.169922	1770	220	1834	348	
ItemSelectSmall	0.689453	0.072266	0.720703	0.103516	1412	148	1476	212	
Quality_Large_Blank_Inventory	0.793945	0.107422	0.825195	0.169922	1626	220	1690	348	
Quality_Large_Equip_Magic	0.584961	0.175781	0.614746	0.236328	1198	360	1259	484	
Quality_Large_Equip_Rare	0.618652	0.175781	0.648438	0.236328	1267	360	1328	484	
Quality_Large_Equip_Legendary	0.652344	0.175781	0.682129	0.236328	1336	360	1397	484	
Quality_Large_Equip_Artifact	0.899414	0.107422	0.929688	0.168945	1842	220	1904	346	
Quality_Large_Equip_Set	0.719238	0.175781	0.749023	0.236328	1473	360	1534	484	
Quality_Large_Inventory_Magic	0.758789	0.107422	0.790039	0.169922	1554	220	1618	348	
Quality_Large_Inventory_Rare	0.723633	0.107422	0.754883	0.169922	1482	220	1546	348	
Quality_Large_Inventory_Legendary	0.688477	0.107422	0.719727	0.169922	1410	220	1474	348	
Quality_Large_Inventory_Artifact	0.653320	0.107422	0.684570	0.169922	1338	220	1402	348	
Quality_Large_Inventory_Set	0.829102	0.107422	0.860352	0.169922	1698	220	1762	348	
Quality_Small_Equip_Magic	0.652344	0.240234	0.682129	0.270020	1336	492	1397	553	
Quality_Small_Equip_Rare	0.829102	0.072266	0.859375	0.102539	1698	148	1760	210	
Quality_Small_Equip_Legendary	0.964844	0.072266	0.994629	0.102051	1976	148	2037	209	
Quality_Small_Equip_Artifact	0.863281	0.072266	0.893555	0.102539	1768	148	1830	210	
Quality_Small_Equip_Set	0.931152	0.072266	0.960938	0.102051	1907	148	1968	209	
Quality_Small_Inventory_Magic	0.618652	0.240234	0.648438	0.270020	1267	492	1328	553	
Quality_Small_Inventory_Rare	0.686035	0.240234	0.715820	0.270020	1405	492	1466	553	
Quality_Small_Inventory_Artifact	0.759766	0.072266	0.791016	0.103516	1556	148	1620	212	
Quality_Small_Inventory_Legendary	0.584961	0.240234	0.614746	0.270020	1198	492	1259	553	
Quality_Small_Inventory_Set	0.897461	0.072266	0.927246	0.102051	1838	148	1899	209	
Inventory_AlertGlow.tga	0.584961	0.001953	0.685547	0.103516	1198	4	1404	212	
Inventory_DetailsBtn_Inactive	0.772461	0.025391	0.851563	0.044922	1582	52	1744	92	
Inventory_DetailsBtn_Mouseover	0.689453	0.025391	0.768555	0.044922	1412	52	1574	92	
Inventory_DetailsBtn_Normal	0.855469	0.001953	0.934570	0.021484	1752	4	1914	44	
Inventory_DetailsBtn_Pushed	0.855469	0.025391	0.934570	0.044922	1752	52	1914	92	
Inventory_ParagonBtn_Inactive	0.689453	0.001953	0.768555	0.021484	1412	4	1574	44	
Inventory_ParagonBtn_Mouseover	0.689453	0.048828	0.768555	0.068359	1412	100	1574	140	
Inventory_ParagonBtn_Normal	0.772461	0.001953	0.851563	0.021484	1582	4	1744	44	
Inventory_ParagonBtn_Pushed	0.772461	0.048828	0.851563	0.068359	1582	100	1744	140	
