Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
KanaisCollection_background_P2	0.003906	0.003906	0.366211	0.589844	8	8	750	1208	
KanaisCollection_EmptyPower_Hover_P2	0.374023	0.489746	0.480469	0.544434	766	1003	984	1115	
KanaisCollection_EmptyPower_Up_P2	0.606445	0.398926	0.712891	0.453613	1242	817	1460	929	
KanaisCollection_SlotPower_FrameSelected_P2	0.812988	0.280273	0.933594	0.348633	1665	574	1912	714	
KanaisCollection_SlotPower_Hover_P2	0.834961	0.398926	0.941406	0.453613	1710	817	1928	929	
KanaisCollection_SlotPower_Selected_P2	0.720703	0.398926	0.827148	0.453613	1476	817	1694	929	
KanaisCollection_SlotPower_SelectedHover_P2	0.488281	0.489746	0.594727	0.544434	1000	1003	1218	1115	
KanaisCollection_SlotPower_Up_P2	0.602539	0.489746	0.708984	0.544434	1234	1003	1452	1115	
KanaisCube_EmptyPower_Hover_P2	0.767578	0.597656	0.814941	0.679688	1572	1224	1669	1392	
KanaisCube_EmptyPower_Up_P2	0.250977	0.750488	0.298340	0.832520	514	1537	611	1705	
KanaisCube_EmptyPower_Selected_P2	0.712402	0.597656	0.759766	0.679688	1459	1224	1556	1392	
KanaisCube_EmptyPower_SelectedHover_P2	0.546875	0.597656	0.594238	0.679688	1120	1224	1217	1392	
KanaisCube_EmptyPower_Weapon_P2	0.602051	0.597656	0.649414	0.679688	1233	1224	1330	1392	
KanaisCube_EmptyPower_Armor_P2	0.822754	0.597656	0.870117	0.679688	1685	1224	1782	1392	
KanaisCube_EmptyPower_Jewelry_P2	0.306152	0.750488	0.353516	0.832520	627	1537	724	1705	
KanaisCube_layout_P2	0.374023	0.003906	0.613281	0.391113	766	8	1256	801	
KanaisCube_layout_FooterBreak	0.621094	0.383301	0.810547	0.387207	1272	785	1660	793	
KanaisCube_RecipeIcon_P2	0.967285	0.125977	0.990234	0.145508	1981	258	2028	298	
KanaisCube_SlotPower_FrameSelected_P2	0.377441	0.597656	0.438477	0.693848	773	1224	898	1421	
KanaisCube_SlotPower_Hover_P2	0.933105	0.597656	0.980469	0.679688	1911	1224	2008	1392	
KanaisCube_SlotPower_Selected_P2	0.361328	0.750488	0.408691	0.832520	740	1537	837	1705	
KanaisCube_SlotPower_SelectedHover_P2	0.877930	0.597656	0.925293	0.679688	1798	1224	1895	1392	
KanaisCube_SlotPower_Up_P2	0.657227	0.597656	0.704590	0.679688	1346	1224	1443	1392	
KanaisCube_stainedGlass_P2	0.941406	0.280273	0.992676	0.332520	1928	574	2033	681	
KanaisRecipes_background_P2	0.621094	0.003906	0.805176	0.375488	1272	8	1649	769	
KanaisRecipes_divider_P2	0.812988	0.356445	0.916992	0.362793	1665	730	1878	743	
KanaisRecipes_watermark_P2	0.967285	0.153320	0.988281	0.174316	1981	314	2024	357	
KanaisCube_SlotPower_NewGlow_P2	0.250977	0.597656	0.369629	0.742676	514	1224	757	1521	
KanaisCollection_SlotPower_NewGlow_P2	0.812988	0.003906	0.994141	0.118164	1665	8	2036	242	
KanaisCube_TransmuteHide_P2	0.446289	0.597656	0.539063	0.690430	914	1224	1104	1414	
KanaisCube_layout_FXMask	0.003906	0.597656	0.243164	0.944336	8	1224	498	1934	
KanaisRecipes_bullet_P2	0.976563	0.398926	0.996094	0.418457	2000	817	2040	857	
KanaisRecipes_bulletBlue_P2	0.967285	0.182129	0.986816	0.201660	1981	373	2021	413	
KanaisRecipes_bulletYellow_P2	0.976563	0.426270	0.996094	0.445801	2000	873	2040	913	
KanaisRecipes_bulletWhite_P2	0.949219	0.426270	0.968750	0.445801	1944	873	1984	913	
KanaisRecipes_bullet_Weapon_P2	0.967285	0.209473	0.986816	0.229004	1981	429	2021	469	
KanaisRecipes_bullet_Armor_P2	0.967285	0.236816	0.986816	0.256348	1981	485	2021	525	
KanaisRecipes_bullet_Jewelry_P2	0.949219	0.398926	0.968750	0.418457	1944	817	1984	857	
KanaisCube_AcceptBlinker_P2	0.374023	0.398926	0.598633	0.481934	766	817	1226	987	
KanaisCube_InsertedFX_P2	0.812988	0.125977	0.959473	0.272461	1665	258	1965	558	
