Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Levelup_Normal	0.636719	0.192383	0.675781	0.270508	1304	197	1384	277	
Levelup_Mouseover	0.722656	0.192383	0.761719	0.270508	1480	197	1560	277	
Levelup_Pushed	0.679688	0.192383	0.718750	0.270508	1392	197	1472	277	
Levelup_Trait_Normal	0.593750	0.192383	0.632813	0.270508	1216	197	1296	277	
Levelup_Trait_Mouseover	0.765625	0.192383	0.804688	0.270508	1568	197	1648	277	
Levelup_Trait_Pushed	0.808594	0.192383	0.847656	0.270508	1656	197	1736	277	
Levelup_SplashArt	0.545898	0.003906	0.818359	0.129883	1118	4	1676	133	
Levelup_ActiveFrame	0.851563	0.192383	0.883301	0.255859	1744	197	1809	262	
Levelup_PassiveFrame	0.887207	0.192383	0.918945	0.255859	1817	197	1882	262	
AltarNotify	0.545898	0.192383	0.589844	0.316406	1118	197	1208	324	
Levelup_Summarybase01	0.001953	0.003906	0.270020	0.917969	4	4	553	940	
Levelup_Summarybase02	0.273926	0.003906	0.541992	0.697266	561	4	1110	714	
LvlUpBtn_Normal	0.545898	0.137695	0.664063	0.184570	1118	141	1360	189	
LvlUpBtn_Pushed	0.822266	0.003906	0.940430	0.050781	1684	4	1926	52	
LvlUpBtn_Mouseover	0.822266	0.058594	0.940430	0.105469	1684	60	1926	108	
