Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
MailMessageAttachment	0.581055	0.000977	0.953125	0.057617	595	2	976	118	
MailMessageBackground	0.001953	0.588379	0.448242	0.903809	2	1205	459	1851	
MailMessageListBoxes	0.452148	0.636719	0.899414	0.666016	463	1304	921	1364	
MailMessageListBoxesHighlight	0.452148	0.605469	0.899414	0.634766	463	1240	921	1300	
MailMessageNotificationNormal	0.957031	0.000977	0.988281	0.011719	980	2	1012	24	
MailMessageNotificationHover	0.452148	0.588379	0.940430	0.603516	463	1205	963	1236	
MailMessageNotificationNormal_Blinker	0.581055	0.059570	0.631836	0.084961	595	122	647	174	
MailMessageMainBG	0.001953	0.000977	0.577148	0.586426	2	2	591	1201	
MailMessageIconHolder	0.581055	0.086914	0.624023	0.108398	595	178	639	222	
MailMessageIconTrash	0.688477	0.059570	0.737305	0.079102	705	122	755	162	
MailMessageIconBack	0.635742	0.059570	0.684570	0.079102	651	122	701	162	
MailMessageIconTake	0.741211	0.059570	0.790039	0.079102	759	122	809	162	
