Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
D3Logo000	0.000000	0.000000	0.164063	0.110840	0	0	336	227	
D3Logo001	0.164063	0.000000	0.328125	0.110840	336	0	672	227	
D3Logo002	0.328125	0.000000	0.492188	0.110840	672	0	1008	227	
D3Logo003	0.492188	0.000000	0.656250	0.110840	1008	0	1344	227	
D3Logo004	0.656250	0.000000	0.820313	0.110840	1344	0	1680	227	
D3Logo005	0.820313	0.000000	0.984375	0.110840	1680	0	2016	227	
D3Logo006	0.000000	0.110840	0.164063	0.221680	0	227	336	454	
D3Logo007	0.164063	0.110840	0.328125	0.221680	336	227	672	454	
D3Logo008	0.328125	0.110840	0.492188	0.221680	672	227	1008	454	
D3Logo009	0.492188	0.110840	0.656250	0.221680	1008	227	1344	454	
D3Logo010	0.656250	0.110840	0.820313	0.221680	1344	227	1680	454	
D3Logo011	0.820313	0.110840	0.984375	0.221680	1680	227	2016	454	
D3Logo012	0.000000	0.221680	0.164063	0.332520	0	454	336	681	
D3Logo013	0.164063	0.221680	0.328125	0.332520	336	454	672	681	
D3Logo014	0.328125	0.221680	0.492188	0.332520	672	454	1008	681	
D3Logo015	0.492188	0.221680	0.656250	0.332520	1008	454	1344	681	
D3Logo016	0.656250	0.221680	0.820313	0.332520	1344	454	1680	681	
D3Logo017	0.820313	0.221680	0.984375	0.332520	1680	454	2016	681	
D3Logo018	0.000000	0.332520	0.164063	0.443359	0	681	336	908	
D3Logo019	0.164063	0.332520	0.328125	0.443359	336	681	672	908	
D3Logo020	0.328125	0.332520	0.492188	0.443359	672	681	1008	908	
D3Logo021	0.492188	0.332520	0.656250	0.443359	1008	681	1344	908	
D3Logo022	0.656250	0.332520	0.820313	0.443359	1344	681	1680	908	
D3Logo023	0.820313	0.332520	0.984375	0.443359	1680	681	2016	908	
D3Logo024	0.000000	0.443359	0.164063	0.554199	0	908	336	1135	
D3Logo025	0.164063	0.443359	0.328125	0.554199	336	908	672	1135	
D3Logo026	0.328125	0.443359	0.492188	0.554199	672	908	1008	1135	
D3Logo027	0.492188	0.443359	0.656250	0.554199	1008	908	1344	1135	
D3Logo028	0.656250	0.443359	0.820313	0.554199	1344	908	1680	1135	
D3Logo029	0.820313	0.443359	0.984375	0.554199	1680	908	2016	1135	
D3Logo030	0.000000	0.554199	0.164063	0.665039	0	1135	336	1362	
D3Logo031	0.164063	0.554199	0.328125	0.665039	336	1135	672	1362	
D3Logo032	0.328125	0.554199	0.492188	0.665039	672	1135	1008	1362	
D3Logo033	0.492188	0.554199	0.656250	0.665039	1008	1135	1344	1362	
D3Logo034	0.656250	0.554199	0.820313	0.665039	1344	1135	1680	1362	
D3Logo035	0.820313	0.554199	0.984375	0.665039	1680	1135	2016	1362	
D3Logo036	0.000000	0.665039	0.164063	0.775879	0	1362	336	1589	
D3Logo037	0.164063	0.665039	0.328125	0.775879	336	1362	672	1589	
D3Logo038	0.328125	0.665039	0.492188	0.775879	672	1362	1008	1589	
D3Logo039	0.492188	0.665039	0.656250	0.775879	1008	1362	1344	1589	
