Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Map_Arrow_Down	0.003906	0.015625	0.066406	0.265625	4	4	68	68	
Map_Arrow_Left	0.074219	0.015625	0.136719	0.265625	76	4	140	68	
Map_Arrow_Right	0.144531	0.015625	0.207031	0.265625	148	4	212	68	
Map_Arrow_Up	0.214844	0.015625	0.277344	0.265625	220	4	284	68	
Map_Arrow_LowerLeft	0.285156	0.015625	0.347656	0.265625	292	4	356	68	
Map_Arrow_LowerRight	0.355469	0.015625	0.417969	0.265625	364	4	428	68	
Map_Arrow_UpperLeft	0.425781	0.015625	0.488281	0.265625	436	4	500	68	
Map_Arrow_UpperRight	0.496094	0.015625	0.558594	0.265625	508	4	572	68	
Map_DestinationArrow_Down	0.566406	0.015625	0.628906	0.265625	580	4	644	68	
Map_DestinationArrow_Left	0.636719	0.015625	0.699219	0.265625	652	4	716	68	
Map_DestinationArrow_Right	0.707031	0.015625	0.769531	0.265625	724	4	788	68	
Map_DestinationArrow_Up	0.777344	0.015625	0.839844	0.265625	796	4	860	68	
Map_DestinationArrow_LowerLeft	0.847656	0.015625	0.910156	0.265625	868	4	932	68	
Map_DestinationArrow_LowerRight	0.917969	0.015625	0.980469	0.265625	940	4	1004	68	
Map_DestinationArrow_UpperLeft	0.003906	0.296875	0.066406	0.546875	4	76	68	140	
Map_DestinationArrow_UpperRight	0.074219	0.296875	0.136719	0.546875	76	76	140	140	
Map_PartyArrow_Down	0.144531	0.296875	0.207031	0.546875	148	76	212	140	
Map_PartyArrow_Left	0.214844	0.296875	0.277344	0.546875	220	76	284	140	
Map_PartyArrow_Right	0.285156	0.296875	0.347656	0.546875	292	76	356	140	
Map_PartyArrow_Up	0.355469	0.296875	0.417969	0.546875	364	76	428	140	
Map_PartyArrow_LowerLeft	0.425781	0.296875	0.488281	0.546875	436	76	500	140	
Map_PartyArrow_LowerRight	0.496094	0.296875	0.558594	0.546875	508	76	572	140	
Map_PartyArrow_UpperLeft	0.566406	0.296875	0.628906	0.546875	580	76	644	140	
Map_PartyArrow_UpperRight	0.636719	0.296875	0.699219	0.546875	652	76	716	140	
Map_WardenArrow_Down	0.707031	0.296875	0.769531	0.546875	724	76	788	140	
Map_WardenArrow_Left	0.777344	0.296875	0.839844	0.546875	796	76	860	140	
Map_WardenArrow_Right	0.847656	0.296875	0.910156	0.546875	868	76	932	140	
Map_WardenArrow_Up	0.917969	0.296875	0.980469	0.546875	940	76	1004	140	
Map_WardenArrow_LowerLeft	0.003906	0.578125	0.066406	0.828125	4	148	68	212	
Map_WardenArrow_LowerRight	0.074219	0.578125	0.136719	0.828125	76	148	140	212	
Map_WardenArrow_UpperLeft	0.144531	0.578125	0.207031	0.828125	148	148	212	212	
Map_WardenArrow_UpperRight	0.214844	0.578125	0.277344	0.828125	220	148	284	212	
