Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Medallion01	0.007813	0.015625	0.488281	0.976563	4	4	250	250	
Connection01	0.580078	0.429688	0.640625	0.500000	297	110	328	128	
Connection02	0.707031	0.210938	0.767578	0.281250	362	54	393	72	
Connection03	0.556641	0.015625	0.593750	0.398438	285	4	304	102	
Connection04	0.707031	0.312500	0.734375	0.367188	362	80	376	94	
Connection05	0.783203	0.210938	0.843750	0.281250	401	54	432	72	
Connection06	0.750000	0.312500	0.777344	0.367188	384	80	398	94	
Connection07	0.503906	0.015625	0.541016	0.398438	258	4	277	102	
Connection08	0.566406	0.531250	0.605469	0.609375	290	136	310	156	
Connection09	0.621094	0.531250	0.660156	0.609375	318	136	338	156	
Connection10	0.935547	0.210938	0.964844	0.273438	479	54	494	70	
Connection11	0.859375	0.210938	0.919922	0.281250	440	54	471	72	
Connection12	0.503906	0.429688	0.564453	0.500000	258	110	289	128	
GemSocket_Blue	0.609375	0.210938	0.691406	0.375000	312	54	354	96	
GemSocket_Green	0.804688	0.015625	0.886719	0.179688	412	4	454	46	
GemSocket_Grey	0.609375	0.015625	0.691406	0.179688	312	4	354	46	
GemSocket_Red	0.902344	0.015625	0.984375	0.179688	462	4	504	46	
GemSocket_Yellow	0.707031	0.015625	0.789063	0.179688	362	4	404	46	
GemSocket_Select	0.503906	0.531250	0.550781	0.625000	258	136	282	160	
