Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
MerchantBase	0.003906	0.001953	0.902344	0.587891	4	4	924	1204	
ItemBevel	0.003906	0.640137	0.244141	0.698730	4	1311	250	1431	
ItemFrame	0.910156	0.001953	0.973633	0.033691	932	4	997	69	
IdentifyButton_Normal	0.910156	0.143066	0.972656	0.174316	932	293	996	357	
IdentifyButton_Mouseover	0.910156	0.037598	0.972656	0.068848	932	77	996	141	
IdentifyButton_Pushed	0.910156	0.107910	0.972656	0.139160	932	221	996	285	
IdentifyButton_Inactive	0.910156	0.072754	0.972656	0.104004	932	149	996	213	
RadioButtonOn	0.910156	0.256348	0.929688	0.266113	932	525	952	545	
RadioButtonOff	0.937500	0.256348	0.957031	0.266113	960	525	980	545	
Btn_Merchant_Inactive	0.539063	0.640137	0.626953	0.655762	552	1311	642	1343	
Btn_Merchant_Mouseover	0.443359	0.640137	0.531250	0.655762	454	1311	544	1343	
Btn_Merchant_Normal	0.347656	0.640137	0.435547	0.655762	356	1311	446	1343	
Btn_Merchant_Pushed	0.251953	0.640137	0.339844	0.655762	258	1311	348	1343	
CoinGoldSmall	0.981445	0.012695	0.996094	0.019531	1005	26	1020	40	
CoinPlatinumSmall	0.981445	0.001953	0.996094	0.008789	1005	4	1020	18	
CostGroove	0.430664	0.591797	0.625000	0.601074	441	1212	640	1231	
PageGroove	0.430664	0.604980	0.522461	0.617676	441	1239	535	1265	
PageLastBtn_Inactive	0.910156	0.197754	0.942383	0.213379	932	405	965	437	
PageLastBtn_Mouseover	0.910156	0.217285	0.942383	0.232910	932	445	965	477	
PageLastBtn_Normal	0.950195	0.217285	0.982422	0.232910	973	445	1006	477	
PageLastBtn_Pushed	0.910156	0.236816	0.942383	0.252441	932	485	965	517	
PageNextBtn_Inactive	0.950195	0.236816	0.982422	0.252441	973	485	1006	517	
PageNextBtn_Mouseover	0.910156	0.178223	0.942383	0.193848	932	365	965	397	
PageNextBtn_Normal	0.950195	0.178223	0.982422	0.193848	973	365	1006	397	
PageNextBtn_Pushed	0.950195	0.197754	0.982422	0.213379	973	405	1006	437	
MerchantTitle_Weapon	0.003906	0.591797	0.422852	0.636230	4	1212	433	1303	
