Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
PVP_Timer	0.000977	0.742188	0.287109	0.934570	2	760	588	957	
PVP_OnDeath	0.623047	0.127930	0.933594	0.397461	1276	131	1912	407	
PVP_OnDeathDeuling	0.623047	0.001953	0.933594	0.124023	1276	2	1912	127	
PVP_Scoreboard_v3	0.289063	0.742188	0.462891	0.871094	592	760	948	892	
PVP_ScoreboardBase	0.000977	0.001953	0.621094	0.615234	2	2	1272	630	
PVP_Scoreboard_FrameGold	0.935547	0.001953	0.953125	0.037109	1916	2	1952	38	
PVP_ScoreboardStrip_Blue	0.000977	0.660156	0.544922	0.697266	2	676	1116	714	
PVP_ScoreboardStrip_Red	0.000977	0.619141	0.544922	0.656250	2	634	1116	672	
PVP_ScoreboardStrip_OrangeOverlay	0.000977	0.701172	0.544922	0.738281	2	718	1116	756	
PVP_Scoreboard_Skull	0.464844	0.742188	0.553711	0.817383	952	760	1134	837	
PVP_Scoreboard_ProgressBar	0.623047	0.401367	0.919922	0.458008	1276	411	1884	469	
PVP_Scoreboard_FillRed	0.855469	0.495117	0.976074	0.524414	1752	507	1999	537	
PVP_Scoreboard_FillBlue	0.855469	0.461914	0.976074	0.491211	1752	473	1999	503	
PVP_Ultrakill_Skull	0.955078	0.001953	0.966797	0.025391	1956	2	1980	26	
PVP_KillLog_EventAlly	0.623047	0.539063	0.853516	0.612305	1276	552	1748	627	
PVP_KillLog_EventEnemy	0.623047	0.461914	0.853516	0.535156	1276	473	1748	548	
