Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
PartyHealthBar	0.433594	0.031250	0.500000	0.093750	444	4	512	12	
PartyPortraitFrame	0.003906	0.031250	0.099609	0.734375	4	4	102	94	
AdriaFollow	0.782227	0.156250	0.837891	0.562500	801	20	858	72	
BlacksmithFollow	0.718750	0.156250	0.774414	0.562500	736	20	793	72	
JewelerFollow	0.655273	0.156250	0.710938	0.562500	671	20	728	72	
LeahFollow	0.337891	0.156250	0.393555	0.562500	346	20	403	72	
MysticFollow	0.210938	0.156250	0.266602	0.562500	216	20	273	72	
TemplarArmorFollow	0.274414	0.156250	0.330078	0.562500	281	20	338	72	
TemplarNoArmorFollow	0.845703	0.156250	0.901367	0.562500	866	20	923	72	
TyraelArmorFollow	0.401367	0.156250	0.457031	0.562500	411	20	468	72	
TyraelNoArmorFollow	0.464844	0.156250	0.520508	0.562500	476	20	533	72	
LorathFollow	0.528320	0.156250	0.583984	0.562500	541	20	598	72	
Myriamfollow	0.591797	0.156250	0.647461	0.562500	606	20	663	72	
PartyHealthBar2	0.359375	0.031250	0.425781	0.093750	368	4	436	12	
PartyHealthBar3	0.285156	0.031250	0.351563	0.093750	292	4	360	12	
PartyHealthBar4	0.210938	0.031250	0.277344	0.093750	216	4	284	12	
PartyPortraitFrame2	0.107422	0.031250	0.203125	0.734375	110	4	208	94	
