Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
QuestIcon_A2C2CultistSurvivor_Active	0.001953	0.007813	0.055664	0.222656	4	4	114	114	
QuestIcon_A2C2CultistSurvivor_Inactive	0.059570	0.007813	0.113281	0.222656	122	4	232	114	
QuestIcon_A2C2CultistSurvivor_Complete	0.117188	0.007813	0.170898	0.222656	240	4	350	114	
QuestIcon_A2C2DyingMap_Active	0.174805	0.007813	0.228516	0.222656	358	4	468	114	
QuestIcon_A2C2DyingMap_Inactive	0.232422	0.007813	0.286133	0.222656	476	4	586	114	
QuestIcon_A2C2DyingMap_Complete	0.290039	0.007813	0.343750	0.222656	594	4	704	114	
QuestIcon_A2C2FindAlcarnus_Active	0.347656	0.007813	0.401367	0.222656	712	4	822	114	
QuestIcon_A2C2FindAlcarnus_Inactive	0.405273	0.007813	0.458984	0.222656	830	4	940	114	
QuestIcon_A2C2FindAlcarnus_Complete	0.462891	0.007813	0.516602	0.222656	948	4	1058	114	
QuestIcon_A2C2GreedyMiner_Active	0.520508	0.007813	0.574219	0.222656	1066	4	1176	114	
QuestIcon_A2C2GreedyMiner_Inactive	0.578125	0.007813	0.631836	0.222656	1184	4	1294	114	
QuestIcon_A2C2GreedyMiner_Complete	0.635742	0.007813	0.689453	0.222656	1302	4	1412	114	
QuestIcon_A2C2RAdventurers_Active	0.693359	0.007813	0.747070	0.222656	1420	4	1530	114	
QuestIcon_A2C2RAdventurers_Inactive	0.750977	0.007813	0.804688	0.222656	1538	4	1648	114	
QuestIcon_A2C2RAdventurers_Complete	0.808594	0.007813	0.862305	0.222656	1656	4	1766	114	
QuestIcon_A2C2RescueWrapper_Active	0.866211	0.007813	0.919922	0.222656	1774	4	1884	114	
QuestIcon_A2C2RescueWrapper_Inactive	0.923828	0.007813	0.977539	0.222656	1892	4	2002	114	
QuestIcon_A2C2RescueWrapper_Complete	0.001953	0.238281	0.055664	0.453125	4	122	114	232	
QuestIcon_A2C2ScavengerShark_Active	0.059570	0.238281	0.113281	0.453125	122	122	232	232	
QuestIcon_A2C2ScavengerShark_Inactive	0.117188	0.238281	0.170898	0.453125	240	122	350	232	
QuestIcon_A2C2ScavengerShark_Complete	0.174805	0.238281	0.228516	0.453125	358	122	468	232	
QuestIcon_A2C2SharkLoot_Active	0.232422	0.238281	0.286133	0.453125	476	122	586	232	
QuestIcon_A2C2SharkLoot_Inactive	0.290039	0.238281	0.343750	0.453125	594	122	704	232	
QuestIcon_A2C2SharkLoot_Complete	0.347656	0.238281	0.401367	0.453125	712	122	822	232	
QuestIcon_A2C2TreasureHunter_Active	0.405273	0.238281	0.458984	0.453125	830	122	940	232	
QuestIcon_A2C2TreasureHunter_Inactive	0.462891	0.238281	0.516602	0.453125	948	122	1058	232	
QuestIcon_A2C2TreasureHunter_Complete	0.520508	0.238281	0.574219	0.453125	1066	122	1176	232	
QuestIcon_A2C2Necromancer_Active	0.578125	0.238281	0.631836	0.453125	1184	122	1294	232	
QuestIcon_A2C2Necromancer_Inactive	0.635742	0.238281	0.689453	0.453125	1302	122	1412	232	
QuestIcon_A2C2Necromancer_Complete	0.693359	0.238281	0.747070	0.453125	1420	122	1530	232	
QuestIcon_A2C2OreBags_Active	0.750977	0.238281	0.804688	0.453125	1538	122	1648	232	
QuestIcon_A2C2OreBags_Inactive	0.808594	0.238281	0.862305	0.453125	1656	122	1766	232	
QuestIcon_A2C2OreBags_Complete	0.866211	0.238281	0.919922	0.453125	1774	122	1884	232	
QuestIcon_A2C2SoldierEscort_Active	0.923828	0.238281	0.977539	0.453125	1892	122	2002	232	
QuestIcon_A2C2SoldierEscort_Inactive	0.001953	0.468750	0.055664	0.683594	4	240	114	350	
QuestIcon_A2C2SoldierEscort_Complete	0.059570	0.468750	0.113281	0.683594	122	240	232	350	
QuestIcon_A2C2VictimTown_Active	0.117188	0.468750	0.170898	0.683594	240	240	350	350	
QuestIcon_A2C2VictimTown_Inactive	0.174805	0.468750	0.228516	0.683594	358	240	468	350	
QuestIcon_A2C2VictimTown_Complete	0.232422	0.468750	0.286133	0.683594	476	240	586	350	
QuestIcon_A2C2WantedPoster_Active	0.290039	0.468750	0.343750	0.683594	594	240	704	350	
QuestIcon_A2C2WantedPoster_Inactive	0.347656	0.468750	0.401367	0.683594	712	240	822	350	
QuestIcon_A2C2WantedPoster_Complete	0.405273	0.468750	0.458984	0.683594	830	240	940	350	
QuestIcon_A2C2CollapsingRuins_Active	0.462891	0.468750	0.516602	0.683594	948	240	1058	350	
QuestIcon_A2C2CollapsingRuins_Inactive	0.520508	0.468750	0.574219	0.683594	1066	240	1176	350	
QuestIcon_A2C2CollapsingRuins_Complete	0.578125	0.468750	0.631836	0.683594	1184	240	1294	350	
