Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Checkbox_Empty	0.377930	0.007813	0.409180	0.070313	387	4	419	36	
Checkbox_Filled	0.416992	0.007813	0.448242	0.070313	427	4	459	36	
BackBtn_Inactive	0.714844	0.107422	0.939453	0.232422	732	55	962	119	
BackBtn_Mouseover	0.668945	0.431641	0.882813	0.562500	685	221	904	288	
BackBtn_Normal	0.225586	0.578125	0.439453	0.708984	231	296	450	363	
BackBtn_Pushed	0.003906	0.578125	0.217773	0.708984	4	296	223	363	
ListenBtn_Inactive	0.359375	0.269531	0.583984	0.394531	368	138	598	202	
ListenBtn_Mouseover	0.003906	0.431641	0.217773	0.562500	4	221	223	288	
ListenBtn_Normal	0.225586	0.431641	0.439453	0.562500	231	221	450	288	
ListenBtn_Pushed	0.447266	0.431641	0.661133	0.562500	458	221	677	288	
LoreButton_Mouseover	0.359375	0.107422	0.707031	0.253906	368	55	724	130	
LoreButton_Normal	0.003906	0.269531	0.351563	0.416016	4	138	360	213	
LoreButton_Pushed	0.003906	0.107422	0.351563	0.253906	4	55	360	130	
ListBtn_Expand_Normal	0.649414	0.007813	0.673828	0.056641	665	4	690	29	
ListBtn_Expand_Mouseover	0.617188	0.007813	0.641602	0.056641	632	4	657	29	
ListBtn_Expand_Pushed	0.584961	0.007813	0.609375	0.056641	599	4	624	29	
ListBtn_Expand_Inactive	0.552734	0.007813	0.577148	0.056641	566	4	591	29	
ListBtn_Collapse_Normal	0.520508	0.007813	0.544922	0.056641	533	4	558	29	
ListBtn_Collapse_Mouseover	0.681641	0.007813	0.706055	0.056641	698	4	723	29	
ListBtn_Collapse_Pushed	0.456055	0.007813	0.480469	0.056641	467	4	492	29	
ListBtn_Collapse_Inactive	0.488281	0.007813	0.512695	0.056641	500	4	525	29	
Reward_Gold	0.732422	0.269531	0.794922	0.394531	750	138	814	202	
Reward_XP	0.662109	0.269531	0.724609	0.394531	678	138	742	202	
Reward_ItemFrame	0.003906	0.724609	0.066406	0.974609	4	371	68	499	
Reward_ItemFrame_Small	0.591797	0.269531	0.654297	0.394531	606	138	670	202	
RewardheaderFrame	0.003906	0.007813	0.370117	0.091797	4	4	379	47	
