Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
SalvageBox	0.001953	0.007813	0.232422	0.939453	4	4	476	481	
SalvageBox_24Slots	0.236328	0.148438	0.399902	0.587891	484	76	819	301	
SalvageButtonLarge_Normal	0.236328	0.007813	0.421875	0.132813	484	4	864	68	
SalvageButtonLarge_Mouseover	0.425781	0.007813	0.611328	0.132813	872	4	1252	68	
SalvageButtonLarge_Pushed	0.615234	0.007813	0.800781	0.132813	1260	4	1640	68	
SalvageButton_Selected	0.403809	0.148438	0.467285	0.384766	827	76	957	197	
SalvageButton_Selected_Mouseover	0.471191	0.148438	0.534668	0.384766	965	76	1095	197	
SalvageButton_Unselected	0.538574	0.148438	0.602051	0.384766	1103	76	1233	197	
SalvageButton_Unselected_Mouseover	0.605957	0.148438	0.669434	0.384766	1241	76	1371	197	
SalvageButton2_Selected	0.673340	0.148438	0.736816	0.384766	1379	76	1509	197	
SalvageButton2_Selected_Mouseover	0.740723	0.148438	0.804199	0.384766	1517	76	1647	197	
SalvageButton2_Unselected	0.808105	0.148438	0.871582	0.384766	1655	76	1785	197	
SalvageButton2_Unselected_Mouseover	0.875488	0.148438	0.938965	0.384766	1793	76	1923	197	
