Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
SkillsPane_ButtonFrame	0.791504	0.060059	0.910156	0.099121	1621	123	1864	203	
SkillsPane_RuneStone1_Inactive	0.632324	0.227539	0.676270	0.271484	1295	466	1385	556	
SkillsPane_RuneStone1_Mouseover	0.587402	0.272461	0.631348	0.316406	1203	558	1293	648	
SkillsPane_RuneStone1_Normal	0.901855	0.272461	0.945801	0.316406	1847	558	1937	648	
SkillsPane_RuneStone1_Pushed	0.856934	0.317383	0.900879	0.361328	1755	650	1845	740	
SkillsPane_RuneStone2_Inactive	0.812012	0.317383	0.855957	0.361328	1663	650	1753	740	
SkillsPane_RuneStone2_Mouseover	0.767090	0.317383	0.811035	0.361328	1571	650	1661	740	
SkillsPane_RuneStone2_Normal	0.812012	0.272461	0.855957	0.316406	1663	558	1753	648	
SkillsPane_RuneStone2_Pushed	0.767090	0.272461	0.811035	0.316406	1571	558	1661	648	
SkillsPane_RuneStone3_Inactive	0.722168	0.272461	0.766113	0.316406	1479	558	1569	648	
SkillsPane_RuneStone3_Mouseover	0.677246	0.272461	0.721191	0.316406	1387	558	1477	648	
SkillsPane_RuneStone3_Normal	0.812012	0.227539	0.855957	0.271484	1663	466	1753	556	
SkillsPane_RuneStone3_Pushed	0.901855	0.317383	0.945801	0.361328	1847	650	1937	740	
SkillsPane_RuneStone4_Inactive	0.946777	0.272461	0.990723	0.316406	1939	558	2029	648	
SkillsPane_RuneStone4_Mouseover	0.856934	0.272461	0.900879	0.316406	1755	558	1845	648	
SkillsPane_RuneStone4_Normal	0.677246	0.317383	0.721191	0.361328	1387	650	1477	740	
SkillsPane_RuneStone4_Pushed	0.722168	0.227539	0.766113	0.271484	1479	466	1569	556	
SkillsPane_RuneStone5_Inactive	0.722168	0.317383	0.766113	0.361328	1479	650	1569	740	
SkillsPane_RuneStone5_Mouseover	0.632324	0.317383	0.676270	0.361328	1295	650	1385	740	
SkillsPane_RuneStone5_Normal	0.587402	0.317383	0.631348	0.361328	1203	650	1293	740	
SkillsPane_RuneStone5_Pushed	0.901855	0.227539	0.945801	0.271484	1847	466	1937	556	
SkillsPane_RuneStone6_Inactive	0.845703	0.164063	0.889648	0.208008	1732	336	1822	426	
SkillsPane_RuneStone6_Mouseover	0.890625	0.164063	0.934570	0.208008	1824	336	1914	426	
SkillsPane_RuneStone6_Normal	0.935547	0.164063	0.979492	0.208008	1916	336	2006	426	
SkillsPane_RuneStone6_Pushed	0.587402	0.227539	0.631348	0.271484	1203	466	1293	556	
SkillsPane_RuneSymbol01_Mouseover	0.977539	0.075195	0.991211	0.088867	2002	154	2030	182	
SkillsPane_RuneSymbol01_Normal	0.677246	0.227539	0.721191	0.271484	1387	466	1477	556	
SkillsPane_RuneSymbol02_Mouseover	0.962891	0.075195	0.976563	0.088867	1972	154	2000	182	
SkillsPane_RuneSymbol02_Normal	0.767090	0.227539	0.811035	0.271484	1571	466	1661	556	
SkillsPane_RuneSymbol03_Mouseover	0.808105	0.100098	0.821777	0.113770	1655	205	1683	233	
SkillsPane_RuneSymbol03_Normal	0.856934	0.227539	0.900879	0.271484	1755	466	1845	556	
SkillsPane_RuneSymbol04_Mouseover	0.977539	0.060059	0.991211	0.073730	2002	123	2030	151	
SkillsPane_RuneSymbol04_Normal	0.946777	0.227539	0.990723	0.271484	1939	466	2029	556	
SkillsPane_RuneSymbol05_Mouseover	0.962891	0.060059	0.976563	0.073730	1972	123	2000	151	
SkillsPane_RuneSymbol05_Normal	0.632324	0.272461	0.676270	0.316406	1295	558	1385	648	
SkillsPane_Skills_Category_Base	0.000488	0.000488	0.586426	0.488770	1	1	1201	1001	
SkillsPane_Skills_CategoryPlate_Inactive	0.587402	0.000488	0.790527	0.059082	1203	1	1619	121	
SkillsPane_Skills_CategoryPlate_Mouseover	0.791504	0.000488	0.994629	0.059082	1621	1	2037	121	
SkillsPane_Skills_CategoryPlate_Normal	0.587402	0.060059	0.790527	0.118652	1203	123	1619	243	
SkillsPane_Skills_Frame_Inactive	0.757813	0.119629	0.797852	0.159668	1552	245	1634	327	
SkillsPane_Skills_Frame_Normal	0.716797	0.119629	0.756836	0.159668	1468	245	1550	327	
SkillsPane_Skills_Frame_Selected	0.675781	0.119629	0.715820	0.159668	1384	245	1466	327	
SkillsPane_Skills_PassiveFrame_Inactive	0.748047	0.164063	0.795898	0.211914	1532	336	1630	434	
SkillsPane_Skills_PassiveFrame_Mouseover	0.699219	0.164063	0.747070	0.211914	1432	336	1530	434	
SkillsPane_Skills_PassiveFrame_Normal	0.796875	0.164063	0.844727	0.211914	1632	336	1730	434	
SkillsPane_Skills_PassiveFrame_Selected	0.650391	0.164063	0.698242	0.211914	1332	336	1430	434	
SkillsPane_Split_01_Straight	0.000488	0.489746	0.520020	0.523926	1	1003	1065	1073	
SkillsPane_Split_02_ArrowDown	0.000488	0.524902	0.520020	0.559082	1	1075	1065	1145	
SkillsPane_Title_Underline	0.520996	0.489746	0.953613	0.499512	1067	1003	1953	1023	
SkillsPane_Arrow	0.597168	0.164063	0.649414	0.212402	1223	336	1330	435	
SkillsPane_SkillCheck	0.791504	0.100098	0.807129	0.115723	1621	205	1653	237	
SkillsPane_ParagonFX	0.587402	0.119629	0.674805	0.163086	1203	245	1382	334	
SkillsPane_Box_Bottom	0.487793	0.573242	0.974121	0.585449	999	1174	1995	1199	
SkillsPane_Box_Side	0.587402	0.164063	0.596191	0.226563	1203	336	1221	464	
SkillsPane_Box_Top	0.487793	0.560059	0.974121	0.572266	999	1147	1995	1172	
SkillsPane_Box_Top_CapLeft	0.911133	0.060059	0.961914	0.074219	1866	123	1970	152	
SkillsPane_Box_Top_CapRight	0.911133	0.075195	0.961914	0.089355	1866	154	1970	183	
SkillsPane_Box_Top_Alt	0.000488	0.573242	0.486816	0.585449	1	1174	997	1199	
SkillsPane_Box_Bottom_Alt	0.000488	0.560059	0.486816	0.572266	1	1147	997	1172	
