Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
SkillTreeBase	0.003906	0.001953	0.579102	0.587891	4	4	593	1204	
Frame_Active_Normal	0.586914	0.001953	0.658203	0.047363	601	4	674	97	
Frame_Active_Maximum	0.666016	0.001953	0.737305	0.047363	682	4	755	97	
Frame_Active_Unavailable	0.745117	0.001953	0.816406	0.047363	763	4	836	97	
Frame_Passive_Normal	0.824219	0.001953	0.895508	0.047363	844	4	917	97	
Frame_Passive_Maximum	0.903320	0.001953	0.974609	0.047363	925	4	998	97	
Frame_Passive_Unavailable	0.586914	0.051270	0.658203	0.096680	601	105	674	198	
Btn_PointSpend_Mouseover	0.742188	0.051270	0.772461	0.069336	760	105	791	142	
Btn_PointSpend_Normal	0.666016	0.051270	0.696289	0.069336	682	105	713	142	
Btn_PointSpend_Pushed	0.704102	0.051270	0.734375	0.069336	721	105	752	142	
