Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
SkillEntry_Available	0.415039	0.301758	0.727539	0.365234	425	309	745	374	
SkillEntry_Unavailable	0.415039	0.166992	0.727539	0.230469	425	171	745	236	
SkillEntry_Selected	0.415039	0.095703	0.727539	0.159180	425	98	745	163	
Skill_Expanded_MenuBase2	0.003906	0.003906	0.407227	0.859375	4	4	417	880	
Skill_List_Header	0.415039	0.238281	0.727539	0.293945	425	244	745	301	
Skills_Active_Frame_Activated	0.735352	0.095703	0.797852	0.158203	753	98	817	162	
Skills_Passive_Frame_Base	0.508789	0.373047	0.594727	0.458984	521	382	609	470	
Skills_Passive_Frame_Activated	0.415039	0.373047	0.500977	0.458984	425	382	513	470	
Skill_Pointer	0.894531	0.003906	0.943359	0.077148	916	4	966	79	
Skills_Active_Frame_Selected	0.415039	0.003906	0.886719	0.087891	425	4	908	90	
