Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Btn_ChooseSkill_Inactive	0.003906	0.535156	0.304688	0.660156	4	274	312	338	
Btn_ChooseSkill_Mouseover	0.003906	0.394531	0.304688	0.519531	4	202	312	266	
Btn_ChooseSkill_Normal	0.312500	0.394531	0.613281	0.519531	320	202	628	266	
Btn_ChooseSkill_Pushed	0.621094	0.394531	0.921875	0.519531	636	202	944	266	
Btn_Passive_Locked_Mouseover	0.003906	0.675781	0.087891	0.841797	4	346	90	431	
Btn_Passive_Locked_Normal	0.279297	0.675781	0.363281	0.841797	286	346	372	431	
Btn_Passive_Locked_Pushed	0.646484	0.675781	0.730469	0.841797	662	346	748	431	
Btn_Passive_Unlocked_Mouseover	0.554688	0.675781	0.638672	0.841797	568	346	654	431	
Btn_Passive_Unlocked_Normal	0.462891	0.675781	0.546875	0.841797	474	346	560	431	
Btn_Passive_Unlocked_Pushed	0.371094	0.675781	0.455078	0.841797	380	346	466	431	
Skill_Checkbox_Empty	0.962891	0.007813	0.985352	0.052734	986	4	1009	27	
Skill_Checkbox_Filled	0.962891	0.068359	0.985352	0.113281	986	35	1009	58	
Skill_IconFrame_Available	0.813477	0.191406	0.881836	0.328125	833	98	903	168	
Skill_IconFrame_Unavailable	0.889648	0.191406	0.958008	0.328125	911	98	981	168	
Skill_List_Dividerline	0.329102	0.375000	0.638672	0.376953	337	192	654	193	
Skill_List_Dividerline_red	0.003906	0.375000	0.321289	0.378906	4	192	329	194	
Skill_List_Entry_Selected	0.483398	0.191406	0.805664	0.347656	495	98	825	178	
SkillPanel01_Locked	0.483398	0.007813	0.955078	0.175781	495	4	978	90	
SkillPanel02_Unlocked	0.003906	0.007813	0.475586	0.175781	4	4	487	90	
SkillPanel03_Acquired	0.003906	0.191406	0.475586	0.359375	4	98	487	184	
PassiveFrame01_Locked	0.187500	0.675781	0.271484	0.841797	192	346	278	431	
PassiveFrame02_Unlocked	0.095703	0.675781	0.179688	0.841797	98	346	184	431	
PassiveFrame03_Acquired	0.738281	0.675781	0.822266	0.841797	756	346	842	431	
SkillPointPlus	0.382813	0.535156	0.445313	0.660156	392	274	456	338	
Icon_Pointer	0.453125	0.535156	0.515625	0.660156	464	274	528	338	
Icon_Overlay_Red	0.523438	0.535156	0.585938	0.660156	536	274	600	338	
Icon_Overlay_Active	0.929688	0.394531	0.992188	0.519531	952	202	1016	266	
Icon_Overlay_Passive	0.312500	0.535156	0.375000	0.660156	320	274	384	338	
