Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
SkillBlank	0.800781	0.335938	0.925781	0.585938	820	172	948	300	
Generic_Attack_Normal	0.535156	0.335938	0.660156	0.585938	548	172	676	300	
Generic_Attack_Mouseover	0.003906	0.335938	0.128906	0.585938	4	172	132	300	
Generic_Attack_Pushed	0.496094	0.007813	0.621094	0.257813	508	4	636	132	
Generic_TownPortal_Normal	0.628906	0.007813	0.753906	0.257813	644	4	772	132	
Generic_TownPortal_Mouseover	0.761719	0.007813	0.886719	0.257813	780	4	908	132	
Generic_TownPortal_Pushed	0.667969	0.335938	0.792969	0.585938	684	172	812	300	
Generic_Identify_Normal	0.136719	0.335938	0.261719	0.585938	140	172	268	300	
Generic_Identify_Mouseover	0.269531	0.335938	0.394531	0.585938	276	172	404	300	
Generic_Identify_Pushed	0.402344	0.335938	0.527344	0.585938	412	172	540	300	
EmptySkill_Normal	0.167969	0.007813	0.324219	0.320313	172	4	332	164	
EmptySkill_Mouseover	0.332031	0.007813	0.488281	0.320313	340	4	500	164	
EmptySkill_Pushed	0.003906	0.007813	0.160156	0.320313	4	4	164	164	
TabProfsDown_Normal	0.894531	0.007813	0.980469	0.205078	916	4	1004	105	
TabProfsDown_Mouseover	0.003906	0.601563	0.089844	0.798828	4	308	92	409	
TabProfsUp_Normal	0.097656	0.601563	0.183594	0.798828	100	308	188	409	
TabSkillsDown_Normal	0.191406	0.601563	0.277344	0.798828	196	308	284	409	
TabSkillsDown_Mouseover	0.285156	0.601563	0.371094	0.798828	292	308	380	409	
TabSkillsUp_Normal	0.378906	0.601563	0.464844	0.798828	388	308	476	409	
TabTraitsDown_Normal	0.472656	0.601563	0.558594	0.798828	484	308	572	409	
TabTraitsDown_Mouseover	0.566406	0.601563	0.652344	0.798828	580	308	668	409	
TabTraitsUp_Normal	0.660156	0.601563	0.746094	0.798828	676	308	764	409	
Rune_Frame_Normal	0.906250	0.601563	0.942383	0.671875	928	308	965	344	
Rune_Frame_Grey_Normal	0.933594	0.476563	0.969727	0.546875	956	244	993	280	
Skill_Frame_Normal	0.830078	0.601563	0.898438	0.738281	850	308	920	378	
Skill_Frame_Grey_Normal	0.753906	0.601563	0.822266	0.738281	772	308	842	378	
Skill_Frame_Points_Normal	0.950195	0.601563	0.977539	0.656250	973	308	1001	336	
Skill_Ribbon_Normal	0.977539	0.476563	0.995117	0.533203	1001	244	1019	273	
Axe_Operate_Gizmo_Normal	0.933594	0.335938	0.996094	0.460938	956	172	1020	236	
