Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
StackSplit_base	0.003906	0.031250	0.254883	0.906250	4	4	261	116	
ArrowBTN_Left_Inactive	0.745117	0.031250	0.776367	0.281250	763	4	795	36	
ArrowBTN_Left_Mouseover	0.706055	0.031250	0.737305	0.281250	723	4	755	36	
ArrowBTN_Left_Normal	0.588867	0.031250	0.620117	0.281250	603	4	635	36	
ArrowBTN_Left_Pushed	0.823242	0.031250	0.854492	0.281250	843	4	875	36	
ArrowBTN_Right_Inactive	0.549805	0.031250	0.581055	0.281250	563	4	595	36	
ArrowBTN_Right_Mouseover	0.784180	0.031250	0.815430	0.281250	803	4	835	36	
ArrowBTN_Right_Normal	0.627930	0.031250	0.659180	0.281250	643	4	675	36	
ArrowBTN_Right_Pushed	0.666992	0.031250	0.698242	0.281250	683	4	715	36	
StackSplit_Button_Mouseover	0.358398	0.031250	0.446289	0.312500	367	4	457	40	
StackSplit_Button_Normal	0.262695	0.031250	0.350586	0.312500	269	4	359	40	
StackSplit_Button_Pushed	0.454102	0.031250	0.541992	0.312500	465	4	555	40	
