Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
StashBase	0.003906	0.001953	0.579102	0.587891	4	4	593	1204	
Stashbase_TabPick	0.003906	0.591797	0.482422	0.952637	4	1212	494	1951	
StashBase_SlotPick	0.687500	0.001953	0.765625	0.062988	704	4	784	129	
StashTab_Highlight	0.586914	0.001953	0.679688	0.071777	601	4	696	147	
Stash_Slot_Empty	0.586914	0.075684	0.649414	0.106934	601	155	665	219	
Stash_Btn_Purchase_Inactive	0.490234	0.697266	0.937500	0.728516	502	1428	960	1492	
Stash_Btn_Purchase_Mouseover	0.490234	0.662109	0.937500	0.693359	502	1356	960	1420	
Stash_Btn_Purchase_Normal	0.490234	0.626953	0.937500	0.658203	502	1284	960	1348	
Stash_Btn_Purchase_Pushed	0.490234	0.591797	0.937500	0.623047	502	1212	960	1276	
Stash_PageIconUp	0.773438	0.001953	0.841797	0.042480	792	4	862	87	
Stash_PageIconMouseover	0.849609	0.001953	0.917969	0.042480	870	4	940	87	
Stash_PageIconSelected	0.925781	0.001953	0.994141	0.042480	948	4	1018	87	
