Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Tab_Stash06_Mouseover	0.000977	0.000977	0.047363	0.070801	2	2	97	145	
Tab_Stash06_Selected	0.049316	0.000977	0.095703	0.070801	101	2	196	145	
Tab_Stash06_Unselected	0.097656	0.000977	0.144043	0.070801	200	2	295	145	
Tab_Stash07_Mouseover	0.145996	0.000977	0.192383	0.070801	299	2	394	145	
Tab_Stash07_Selected	0.194336	0.000977	0.240723	0.070801	398	2	493	145	
Tab_Stash07_Unselected	0.242676	0.000977	0.289063	0.070801	497	2	592	145	
Tab_Stash08_Mouseover	0.291016	0.000977	0.337402	0.070801	596	2	691	145	
Tab_Stash08_Selected	0.339355	0.000977	0.385742	0.070801	695	2	790	145	
Tab_Stash08_Unselected	0.387695	0.000977	0.434082	0.070801	794	2	889	145	
Tab_Stash09_Mouseover	0.436035	0.000977	0.482422	0.070801	893	2	988	145	
Tab_Stash09_Selected	0.484375	0.000977	0.530762	0.070801	992	2	1087	145	
Tab_Stash09_Unselected	0.532715	0.000977	0.579102	0.070801	1091	2	1186	145	
Tab_Stash10_Mouseover	0.581055	0.000977	0.627441	0.070801	1190	2	1285	145	
Tab_Stash10_Selected	0.629395	0.000977	0.675781	0.070801	1289	2	1384	145	
Tab_Stash10_Unselected	0.677734	0.000977	0.724121	0.070801	1388	2	1483	145	
Tab_Stash11_Mouseover	0.726074	0.000977	0.772461	0.070801	1487	2	1582	145	
Tab_Stash11_Selected	0.774414	0.000977	0.820801	0.070801	1586	2	1681	145	
Tab_Stash11_Unselected	0.822754	0.000977	0.869141	0.070801	1685	2	1780	145	
Tab_Stash12_Mouseover	0.871094	0.000977	0.917480	0.070801	1784	2	1879	145	
Tab_Stash12_Selected	0.919434	0.000977	0.965820	0.070801	1883	2	1978	145	
Tab_Stash12_Unselected	0.000977	0.072754	0.047363	0.142578	2	149	97	292	
Tab_Stash13_Mouseover	0.049316	0.072754	0.095703	0.142578	101	149	196	292	
Tab_Stash13_Selected	0.097656	0.072754	0.144043	0.142578	200	149	295	292	
Tab_Stash13_Unselected	0.145996	0.072754	0.192383	0.142578	299	149	394	292	
Tab_Stash14_Mouseover	0.194336	0.072754	0.240723	0.142578	398	149	493	292	
Tab_Stash14_Selected	0.242676	0.072754	0.289063	0.142578	497	149	592	292	
Tab_Stash14_Unselected	0.291016	0.072754	0.337402	0.142578	596	149	691	292	
Tab_Stash15_Mouseover	0.339355	0.072754	0.385742	0.142578	695	149	790	292	
Tab_Stash15_Selected	0.387695	0.072754	0.434082	0.142578	794	149	889	292	
Tab_Stash15_Unselected	0.436035	0.072754	0.482422	0.142578	893	149	988	292	
Tab_Stash16_Mouseover	0.484375	0.072754	0.530762	0.142578	992	149	1087	292	
Tab_Stash16_Selected	0.532715	0.072754	0.579102	0.142578	1091	149	1186	292	
Tab_Stash16_Unselected	0.581055	0.072754	0.627441	0.142578	1190	149	1285	292	
Tab_Stash17_Mouseover	0.629395	0.072754	0.675781	0.142578	1289	149	1384	292	
Tab_Stash17_Selected	0.677734	0.072754	0.724121	0.142578	1388	149	1483	292	
Tab_Stash17_Unselected	0.726074	0.072754	0.772461	0.142578	1487	149	1582	292	
Tab_Stash18_Mouseover	0.774414	0.072754	0.820801	0.142578	1586	149	1681	292	
Tab_Stash18_Selected	0.822754	0.072754	0.869141	0.142578	1685	149	1780	292	
Tab_Stash18_Unselected	0.871094	0.072754	0.917480	0.142578	1784	149	1879	292	
Tab_Stash19_Mouseover	0.919434	0.072754	0.965820	0.142578	1883	149	1978	292	
Tab_Stash19_Selected	0.000977	0.144531	0.047363	0.214355	2	296	97	439	
Tab_Stash19_Unselected	0.049316	0.144531	0.095703	0.214355	101	296	196	439	
Tab_Stash20_Mouseover	0.097656	0.144531	0.144043	0.214355	200	296	295	439	
Tab_Stash20_Selected	0.145996	0.144531	0.192383	0.214355	299	296	394	439	
Tab_Stash20_Unselected	0.194336	0.144531	0.240723	0.214355	398	296	493	439	
Tab_Stash21_Mouseover	0.242676	0.144531	0.289063	0.214355	497	296	592	439	
Tab_Stash21_Selected	0.291016	0.144531	0.337402	0.214355	596	296	691	439	
Tab_Stash21_Unselected	0.339355	0.144531	0.385742	0.214355	695	296	790	439	
Tab_Stash22_Mouseover	0.387695	0.144531	0.434082	0.214355	794	296	889	439	
Tab_Stash22_Selected	0.436035	0.144531	0.482422	0.214355	893	296	988	439	
Tab_Stash22_Unselected	0.484375	0.144531	0.530762	0.214355	992	296	1087	439	
Tab_Stash23_Mouseover	0.532715	0.144531	0.579102	0.214355	1091	296	1186	439	
Tab_Stash23_Selected	0.581055	0.144531	0.627441	0.214355	1190	296	1285	439	
Tab_Stash23_Unselected	0.629395	0.144531	0.675781	0.214355	1289	296	1384	439	
Tab_Stash24_Mouseover	0.677734	0.144531	0.724121	0.214355	1388	296	1483	439	
Tab_Stash24_Selected	0.726074	0.144531	0.772461	0.214355	1487	296	1582	439	
Tab_Stash24_Unselected	0.774414	0.144531	0.820801	0.214355	1586	296	1681	439	
Tab_Stash25_Mouseover	0.822754	0.144531	0.869141	0.214355	1685	296	1780	439	
Tab_Stash25_Selected	0.871094	0.144531	0.917480	0.214355	1784	296	1879	439	
Tab_Stash25_Unselected	0.919434	0.144531	0.965820	0.214355	1883	296	1978	439	
Tab_Stash26_Mouseover	0.000977	0.216309	0.047363	0.286133	2	443	97	586	
Tab_Stash26_Selected	0.049316	0.216309	0.095703	0.286133	101	443	196	586	
Tab_Stash26_Unselected	0.097656	0.216309	0.144043	0.286133	200	443	295	586	
Tab_Stash27_Mouseover	0.145996	0.216309	0.192383	0.286133	299	443	394	586	
Tab_Stash27_Selected	0.194336	0.216309	0.240723	0.286133	398	443	493	586	
Tab_Stash27_Unselected	0.242676	0.216309	0.289063	0.286133	497	443	592	586	
Tab_Stash28_Mouseover	0.291016	0.216309	0.337402	0.286133	596	443	691	586	
Tab_Stash28_Selected	0.339355	0.216309	0.385742	0.286133	695	443	790	586	
Tab_Stash28_Unselected	0.387695	0.216309	0.434082	0.286133	794	443	889	586	
Tab_Stash29_Mouseover	0.436035	0.216309	0.482422	0.286133	893	443	988	586	
Tab_Stash29_Selected	0.484375	0.216309	0.530762	0.286133	992	443	1087	586	
Tab_Stash29_Unselected	0.532715	0.216309	0.579102	0.286133	1091	443	1186	586	
Tab_Stash30_Mouseover	0.581055	0.216309	0.627441	0.286133	1190	443	1285	586	
Tab_Stash30_Selected	0.629395	0.216309	0.675781	0.286133	1289	443	1384	586	
Tab_Stash30_Unselected	0.677734	0.216309	0.724121	0.286133	1388	443	1483	586	
Tab_Stash31_Mouseover	0.726074	0.216309	0.772461	0.286133	1487	443	1582	586	
Tab_Stash31_Selected	0.774414	0.216309	0.820801	0.286133	1586	443	1681	586	
