Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Tab_Waypoint_Act1_Mouseover	0.003906	0.003906	0.189453	0.283203	2	2	97	145	
Tab_Waypoint_Act1_Selected	0.197266	0.003906	0.382813	0.283203	101	2	196	145	
Tab_Waypoint_Act1_Unselected	0.390625	0.003906	0.576172	0.283203	200	2	295	145	
Tab_Waypoint_Act2_Mouseover	0.583984	0.003906	0.769531	0.283203	299	2	394	145	
Tab_Waypoint_Act2_Selected	0.777344	0.003906	0.962891	0.283203	398	2	493	145	
Tab_Waypoint_Act2_Unselected	0.003906	0.291016	0.189453	0.570313	2	149	97	292	
Tab_Waypoint_Act3_Mouseover	0.197266	0.291016	0.382813	0.570313	101	149	196	292	
Tab_Waypoint_Act3_Selected	0.390625	0.291016	0.576172	0.570313	200	149	295	292	
Tab_Waypoint_Act3_Unselected	0.583984	0.291016	0.769531	0.570313	299	149	394	292	
Tab_Waypoint_Act4_Mouseover	0.777344	0.291016	0.962891	0.570313	398	149	493	292	
Tab_Waypoint_Act4_Selected	0.003906	0.578125	0.189453	0.857422	2	296	97	439	
Tab_Waypoint_Act4_Unselected	0.197266	0.578125	0.382813	0.857422	101	296	196	439	
Tab_Waypoint_Act5_Mouseover	0.390625	0.578125	0.576172	0.857422	200	296	295	439	
Tab_Waypoint_Act5_Selected	0.583984	0.578125	0.769531	0.857422	299	296	394	439	
Tab_Waypoint_Act5_Unselected	0.777344	0.578125	0.962891	0.857422	398	296	493	439	
