Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Tab_Buyback_Mouseover	0.001953	0.003906	0.048340	0.143555	4	4	99	147	
Tab_Buyback_Selected	0.052246	0.003906	0.098633	0.143555	107	4	202	147	
Tab_Buyback_Unselected	0.102539	0.003906	0.148926	0.143555	210	4	305	147	
Tab_Character_Mouseover	0.152832	0.003906	0.199219	0.143555	313	4	408	147	
Tab_Character_Selected	0.203125	0.003906	0.249512	0.143555	416	4	511	147	
Tab_Character_Unselected	0.253418	0.003906	0.299805	0.143555	519	4	614	147	
Tab_Craft_Mouseover	0.303711	0.003906	0.350098	0.143555	622	4	717	147	
Tab_Craft_Selected	0.354004	0.003906	0.400391	0.143555	725	4	820	147	
Tab_Craft_Unselected	0.404297	0.003906	0.450684	0.143555	828	4	923	147	
Tab_Enhance_Mouseover	0.454590	0.003906	0.500977	0.143555	931	4	1026	147	
Tab_Enhance_Selected	0.504883	0.003906	0.551270	0.143555	1034	4	1129	147	
Tab_Enhance_Unselected	0.555176	0.003906	0.601563	0.143555	1137	4	1232	147	
Tab_ForgeArmor_Mouseover	0.605469	0.003906	0.651855	0.143555	1240	4	1335	147	
Tab_ForgeArmor_Selected	0.655762	0.003906	0.702148	0.143555	1343	4	1438	147	
Tab_ForgeArmor_Unselected	0.706055	0.003906	0.752441	0.143555	1446	4	1541	147	
Tab_ForgeWeapon_Mouseover	0.756348	0.003906	0.802734	0.143555	1549	4	1644	147	
Tab_ForgeWeapon_Selected	0.806641	0.003906	0.853027	0.143555	1652	4	1747	147	
Tab_ForgeWeapon_Unselected	0.856934	0.003906	0.903320	0.143555	1755	4	1850	147	
Tab_GemCombine_Mouseover	0.907227	0.003906	0.953613	0.143555	1858	4	1953	147	
Tab_GemCombine_Selected	0.001953	0.151367	0.048340	0.291016	4	155	99	298	
Tab_GemCombine_Unselected	0.052246	0.151367	0.098633	0.291016	107	155	202	298	
Tab_GemRemove_Mouseover	0.102539	0.151367	0.148926	0.291016	210	155	305	298	
Tab_GemRemove_Selected	0.152832	0.151367	0.199219	0.291016	313	155	408	298	
Tab_GemRemove_Unselected	0.203125	0.151367	0.249512	0.291016	416	155	511	298	
Tab_Identify_Mouseover	0.253418	0.151367	0.299805	0.291016	519	155	614	298	
Tab_Identify_Selected	0.303711	0.151367	0.350098	0.291016	622	155	717	298	
Tab_Identify_Unselected	0.354004	0.151367	0.400391	0.291016	725	155	820	298	
Tab_Journal_Mouseover	0.404297	0.151367	0.450684	0.291016	828	155	923	298	
Tab_Journal_Selected	0.454590	0.151367	0.500977	0.291016	931	155	1026	298	
Tab_Journal_Unselected	0.504883	0.151367	0.551270	0.291016	1034	155	1129	298	
Tab_Quest_Mouseover	0.555176	0.151367	0.601563	0.291016	1137	155	1232	298	
Tab_Quest_Selected	0.605469	0.151367	0.651855	0.291016	1240	155	1335	298	
Tab_Quest_Unselected	0.655762	0.151367	0.702148	0.291016	1343	155	1438	298	
Tab_Repair_Mouseover	0.706055	0.151367	0.752441	0.291016	1446	155	1541	298	
Tab_Repair_Selected	0.756348	0.151367	0.802734	0.291016	1549	155	1644	298	
Tab_Repair_Unselected	0.806641	0.151367	0.853027	0.291016	1652	155	1747	298	
Tab_Salvage_Mouseover	0.856934	0.151367	0.903320	0.291016	1755	155	1850	298	
Tab_Salvage_Selected	0.907227	0.151367	0.953613	0.291016	1858	155	1953	298	
Tab_Salvage_Unselected	0.001953	0.298828	0.048340	0.438477	4	306	99	449	
Tab_ShopArmor_Mouseover	0.052246	0.298828	0.098633	0.438477	107	306	202	449	
Tab_ShopArmor_Selected	0.102539	0.298828	0.148926	0.438477	210	306	305	449	
Tab_ShopArmor_Unselected	0.152832	0.298828	0.199219	0.438477	313	306	408	449	
Tab_ShopMisc_Mouseover	0.203125	0.298828	0.249512	0.438477	416	306	511	449	
Tab_ShopMisc_Selected	0.253418	0.298828	0.299805	0.438477	519	306	614	449	
