Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
TieredRifts_panelgeneric	0.000000	0.000000	0.239258	0.518555	0	0	490	531	
TieredRifts_panelstainedglass	0.180176	0.518555	0.253418	0.665039	369	531	519	681	
RiftKeystone_00	0.253418	0.518555	0.314941	0.647461	519	531	645	663	
TieredRiftsButton_GreaterUp	0.614746	0.000000	0.794922	0.201172	1259	0	1628	206	
TieredRiftsButton_GreaterOver	0.794922	0.000000	0.975098	0.201172	1628	0	1997	206	
TieredRiftsButton_GreaterDown	0.239258	0.244141	0.419434	0.445313	490	250	859	456	
TieredRiftsButton_GreaterDisabled	0.599609	0.244141	0.779785	0.445313	1228	250	1597	456	
TieredRiftsButton_NephalemUp	0.434570	0.000000	0.614746	0.201172	890	0	1259	206	
TieredRiftsButton_NephalemOver	0.779785	0.244141	0.959961	0.445313	1597	250	1966	456	
TieredRiftsButton_NephalemDown	0.000000	0.518555	0.180176	0.719727	0	531	369	737	
TieredRiftsButton_NephalemDisabled	0.419434	0.244141	0.599609	0.445313	859	250	1228	456	
TieredRiftsEmpoweredLightning	0.239258	0.000000	0.434570	0.244141	490	0	890	250	
