Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
TieredRifts_UpgradePentagram_p1_1	0.498047	0.614746	0.737305	0.854004	1020	1259	1510	1749	
TieredRifts_UpgradePentagram_p1_2	0.003906	0.367676	0.243164	0.606934	8	753	498	1243	
TieredRifts_UpgradePentagram_p1_3	0.003906	0.120605	0.243164	0.359863	8	247	498	737	
TieredRifts_UpgradePentagram_p1_4	0.250977	0.120605	0.490234	0.359863	514	247	1004	737	
TieredRifts_UpgradeRing_p1_1	0.498047	0.120605	0.737305	0.359863	1020	247	1510	737	
TieredRifts_UpgradeRing_p1_2	0.745117	0.120605	0.984375	0.359863	1526	247	2016	737	
TieredRifts_UpgradeRing_p1_3	0.250977	0.614746	0.490234	0.854004	514	1259	1004	1749	
TieredRifts_UpgradeCircles_p1_1	0.250977	0.367676	0.490234	0.606934	514	753	1004	1243	
TieredRifts_UpgradeCircles_p1_2	0.498047	0.367676	0.737305	0.606934	1020	753	1510	1243	
TieredRifts_UpgradeScript_p1_1	0.745117	0.367676	0.984375	0.606934	1526	753	2016	1243	
TieredRifts_UpgradeScript_p1_2	0.003906	0.614746	0.243164	0.854004	8	1259	498	1749	
TieredRifts_UpgradeCenter_p1	0.745117	0.680176	0.826172	0.761230	1526	1393	1692	1559	
TieredRifts_UpgradeWisp_p1_1	0.915039	0.680176	0.972656	0.737793	1874	1393	1992	1511	
TieredRifts_UpgradeWisp_p1_2	0.833984	0.680176	0.907227	0.753418	1708	1393	1858	1543	
TieredRifts_UpgradeSigilsFull_p1	0.749512	0.031250	0.844727	0.049316	1535	64	1730	101	
TieredRifts_UpgradeSigilsGlow_p1_1	0.854492	0.647461	0.956055	0.672363	1750	1326	1958	1377	
TieredRifts_UpgradeSigilsGlow_p1_2	0.745117	0.647461	0.846680	0.672363	1526	1326	1734	1377	
TieredRifts_UpgradeSigilsGlow_p1_3	0.632813	0.058594	0.734375	0.083496	1296	120	1504	171	
TieredRifts_UpgradeSigilsGlow_p1_4	0.742188	0.058594	0.843750	0.083496	1520	120	1728	171	
TieredRifts_UpgradeSigilsGlow_p1_5	0.851563	0.058594	0.953125	0.083496	1744	120	1952	171	
TieredRifts_UpgradeSigilsGlow_p1_6	0.745117	0.614746	0.846680	0.639648	1526	1259	1734	1310	
TieredRifts_UpgradeSigilsGlow_p1_7	0.854492	0.614746	0.956055	0.639648	1750	1259	1958	1310	
TieredRifts_UpgradeFlare_p1	0.003906	0.003906	0.310547	0.112793	8	8	636	231	
TieredRifts_UpgradeSpark_p1	0.318359	0.003906	0.625000	0.112793	652	8	1280	231	
TieredRifts_UpgradeButton_Off_p1	0.866211	0.003906	0.975098	0.023438	1774	8	1997	48	
TieredRifts_UpgradeButton_Over_p1	0.632813	0.031250	0.741699	0.050781	1296	64	1519	104	
TieredRifts_UpgradeButton_Down_p1	0.749512	0.003906	0.858398	0.023438	1535	8	1758	48	
TieredRifts_UpgradeButton_Disabled_p1	0.632813	0.003906	0.741699	0.023438	1296	8	1519	48	
