Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
TieredRifts_panel0	0.478516	0.353027	0.717773	0.612305	980	723	1470	1254	
TieredRifts_panel	0.549316	0.000000	0.790039	0.125488	1125	0	1618	257	
TieredRifts_panel1	0.239258	0.353027	0.478516	0.612305	490	723	980	1254	
TieredRifts_panel2	0.000000	0.353027	0.239258	0.612305	0	723	490	1254	
TieredRifts_panelbottom0	0.000000	0.612305	0.228027	0.693848	0	1254	467	1421	
TieredRifts_panelbottom1	0.228027	0.612305	0.456055	0.693848	467	1254	934	1421	
TieredRifts_panelbottom2	0.456055	0.612305	0.684082	0.693848	934	1254	1401	1421	
TieredRifts_panel_shadow	0.717773	0.353027	0.955566	0.548340	1470	723	1957	1123	
TieredRifts_panel0_IconGlow	0.809082	0.145996	0.961426	0.273438	1657	299	1969	560	
TieredRifts_IconGlow	0.000000	0.693848	0.073730	0.775879	0	1421	151	1589	
TieredRifts_btn_Up	0.506348	0.297852	0.623047	0.320313	1037	610	1276	656	
TieredRifts_btn_Over	0.623047	0.297852	0.739746	0.320313	1276	610	1515	656	
TieredRifts_btn_Down	0.389648	0.297852	0.506348	0.320313	798	610	1037	656	
TieredRifts_btn_Disabled	0.272949	0.297852	0.389648	0.320313	559	610	798	656	
TieredRifts_btn	0.809082	0.273438	0.956055	0.297852	1657	560	1958	610	
TieredRifts_Reward	0.541016	0.145996	0.809082	0.297852	1108	299	1657	610	
TieredRifts_RewardBase	0.272949	0.145996	0.541016	0.297852	559	299	1108	610	
TieredRifts_Reward_IconFrame	0.961426	0.213379	0.992676	0.244629	1969	437	2033	501	
TieredRifts_Reward_Icon1	0.140137	0.693848	0.206543	0.770020	287	1421	423	1577	
TieredRifts_Reward_Icon2	0.073730	0.693848	0.140137	0.770020	151	1421	287	1577	
TieredRifts_Scorecard	0.000000	0.000000	0.272949	0.353027	0	0	559	723	
TieredRifts_TimerBase	0.790039	0.000000	0.981445	0.051758	1618	0	2010	106	
TieredRifts_KillMarker	0.981445	0.000000	0.995117	0.030273	2010	0	2038	62	
TieredRifts_TimeMarker	0.272949	0.320313	0.286621	0.350586	559	656	587	718	
TieredRifts_TimerBack	0.790039	0.069336	0.948242	0.085938	1618	142	1942	176	
TieredRifts_TimerTop	0.790039	0.051758	0.959961	0.069336	1618	106	1966	142	
TieredRifts_KillMeter	0.549316	0.125488	0.706543	0.141113	1125	257	1447	289	
TieredRifts_RiftKillMeter	0.790039	0.101563	0.947266	0.117188	1618	208	1940	240	
TieredRifts_TimeSpent	0.790039	0.085938	0.947266	0.101563	1618	176	1940	208	
TieredRifts_listBackground	0.961426	0.180176	0.994629	0.213379	1969	369	2037	437	
TieredRifts_listHighlight	0.961426	0.145996	0.995605	0.180176	1969	299	2039	369	
TieredRifts_KillMeterShine	0.948242	0.069336	0.992188	0.084961	1942	142	2032	174	
TieredRifts_KillMeterSpark	0.684082	0.612305	0.778320	0.685059	1401	1254	1594	1403	
TieredRifts_KillMeterFlash	0.706543	0.125488	0.863770	0.141113	1447	257	1769	289	
TieredRifts_KillMeterGlow	0.272949	0.000000	0.549316	0.145996	559	0	1125	299	
TieredRifts_IconFrame	0.717773	0.548340	0.775391	0.596680	1470	1123	1588	1222	
TieredRifts_TimeIcon	0.959961	0.051758	0.973633	0.065430	1966	106	1994	134	
TieredRifts_KillIcon	0.981445	0.030273	0.995117	0.043945	2010	62	2038	90	
