Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
ErrorBase01	0.000977	0.000977	0.464844	0.056641	2	2	952	116	
Tooltip_Equipped_Frame_Top	0.466797	0.289551	0.697754	0.316406	956	593	1429	648	
Tooltip_Frame_Top	0.233887	0.320801	0.464844	0.352539	479	657	952	722	
Tooltip_Frame_Bottom	0.699707	0.221191	0.930664	0.225586	1433	453	1906	462	
Tooltip_Frame_Cost	0.699707	0.289551	0.930664	0.311035	1433	593	1906	637	
Tooltip_Frame_Tile_Bottom	0.699707	0.229492	0.930664	0.236328	1433	470	1906	484	
Tooltip_Frame_Tile_Middle	0.466797	0.320801	0.697754	0.350098	956	657	1429	717	
Tooltip_Frame_Tile_Top	0.466797	0.229492	0.697754	0.236328	956	470	1429	484	
Tooltip_Frame_Instruction_Bottom	0.699707	0.266602	0.930664	0.278320	1433	546	1906	570	
Tooltip_Frame_Instruction_Tile	0.466797	0.238281	0.697754	0.250000	956	488	1429	512	
Tooltip_Frame_Title_Top_Ancient	0.699707	0.192871	0.930664	0.210449	1433	395	1906	431	
Tooltip_Frame_Title_Middle_Ancient	0.474609	0.166992	0.705566	0.173828	972	342	1445	356	
Tooltip_Frame_Title_Bottom_Ancient	0.260742	0.147461	0.491699	0.159180	534	302	1007	326	
Tooltip_Frame_Tile_Bottom_Ancient	0.733398	0.104004	0.964355	0.110840	1502	213	1975	227	
Tooltip_Frame_Tile_Middle_Ancient	0.233887	0.289551	0.464844	0.318848	479	593	952	653	
Tooltip_Frame_Tile_Top_Ancient	0.466797	0.046387	0.697754	0.053223	956	95	1429	109	
Tooltip_Frame_Bottom_Ancient	0.699707	0.046387	0.930664	0.050781	1433	95	1906	104	
Tooltip_Frame_Cost_Ancient	0.241699	0.166992	0.472656	0.188477	495	342	968	386	
Tooltip_Frame_Top_Filigree_Ancient	0.501465	0.121582	0.740234	0.143066	1027	249	1516	293	
Tooltip_Frame_Bottom_Filigree_Ancient	0.000977	0.166992	0.239746	0.190918	2	342	491	391	
Tooltip_Equipped_Frame_Title_Ancient	0.233887	0.192871	0.464844	0.227539	479	395	952	466	
Tooltip_Frame_Instruction_Bottom_Ancient	0.493652	0.147461	0.724609	0.159180	1011	302	1484	326	
Tooltip_Frame_Instruction_Top_Ancient	0.733398	0.112793	0.964355	0.117188	1502	231	1975	240	
Tooltip_Frame_Instruction_Tile_Ancient	0.726563	0.147461	0.957520	0.159180	1488	302	1961	326	
Tooltip_Frame_Instruction_Bottom_Filigree_Ancient	0.260742	0.104004	0.495117	0.119141	534	213	1014	244	
Tooltip_Frame_Title_Top_Primal	0.466797	0.192871	0.697754	0.210449	956	395	1429	431	
Tooltip_Frame_Title_Middle_Primal	0.707520	0.166992	0.938477	0.173828	1449	342	1922	356	
Tooltip_Frame_Title_Bottom_Primal	0.474609	0.175781	0.705566	0.187500	972	360	1445	384	
Tooltip_Frame_Tile_Bottom_Primal	0.707520	0.175781	0.938477	0.182617	1449	360	1922	374	
Tooltip_Frame_Tile_Middle_Primal	0.000977	0.192871	0.231934	0.427246	2	395	475	875	
Tooltip_Frame_Tile_Top_Primal	0.466797	0.212402	0.697754	0.219238	956	435	1429	449	
Tooltip_Frame_Bottom_Primal	0.699707	0.212402	0.930664	0.216797	1433	435	1906	444	
Tooltip_Frame_Cost_Primal	0.233887	0.229492	0.464844	0.250977	479	470	952	514	
Tooltip_Frame_Top_Filigree_Primal	0.742188	0.121582	0.980957	0.143066	1520	249	2009	293	
Tooltip_Frame_Bottom_Filigree_Primal	0.260742	0.121582	0.499512	0.145508	534	249	1023	298	
Tooltip_Equipped_Frame_Title_Primal	0.233887	0.252930	0.464844	0.287598	479	518	952	589	
Tooltip_Frame_Instruction_Bottom_Primal	0.699707	0.238281	0.930664	0.250000	1433	488	1906	512	
Tooltip_Frame_Instruction_Top_Primal	0.466797	0.221191	0.697754	0.225586	956	453	1429	462	
Tooltip_Frame_Instruction_Tile_Primal	0.466797	0.252930	0.697754	0.264648	956	518	1429	542	
Tooltip_Frame_Instruction_Bottom_Filigree_Primal	0.497070	0.104004	0.731445	0.119141	1018	213	1498	244	
Tooltip_Frame_QualityColor_Artifact	0.592773	0.539551	0.788086	0.578613	1214	1105	1614	1185	
Tooltip_Frame_QualityColor_Default	0.395508	0.539551	0.590820	0.578613	810	1105	1210	1185	
Tooltip_Frame_QualityColor_Set	0.198242	0.539551	0.393555	0.578613	406	1105	806	1185	
Tooltip_Frame_QualityColor_Legendary	0.790039	0.539551	0.985352	0.578613	1618	1105	2018	1185	
Tooltip_Frame_QualityColor_Magic	0.000977	0.580566	0.196289	0.619629	2	1189	402	1269	
Tooltip_Frame_QualityColor_Rare	0.000977	0.539551	0.196289	0.578613	2	1105	402	1185	
Tooltip_IconFrame_Large	0.885742	0.621582	0.920898	0.687988	1814	1273	1886	1409	
Tooltip_IconFrame_Small	0.780273	0.064453	0.815430	0.099609	1598	132	1670	204	
Tooltip_DividerLine	0.780273	0.058594	0.987305	0.062500	1598	120	2022	128	
Tooltip_DPS_Accent	0.000977	0.695313	0.146484	0.767090	2	1424	300	1571	
Tooltip_EmptySocket	0.986328	0.000977	0.996094	0.010742	2020	2	2040	22	
Tooltip_Skill_Damage_Arcane	0.000977	0.429199	0.231934	0.482422	2	879	475	988	
Tooltip_Skill_Damage_Fire	0.233887	0.429199	0.464844	0.482422	479	879	952	988	
Tooltip_Skill_Damage_Holy	0.466797	0.429199	0.697754	0.482422	956	879	1429	988	
Tooltip_Skill_Damage_Ice	0.699707	0.429199	0.930664	0.482422	1433	879	1906	988	
Tooltip_Skill_Damage_Lightning	0.000977	0.484375	0.231934	0.537598	2	992	475	1101	
Tooltip_Skill_Damage_Physical	0.233887	0.484375	0.464844	0.537598	479	992	952	1101	
Tooltip_Skill_Damage_Poison	0.233887	0.354492	0.464844	0.407715	479	726	952	835	
Tooltip_DPS_Elemental_Arcane	0.738281	0.621582	0.883789	0.693359	1512	1273	1810	1420	
Tooltip_DPS_Elemental_Fire	0.148438	0.695313	0.293945	0.767090	304	1424	602	1571	
Tooltip_DPS_Elemental_Holy	0.590820	0.621582	0.736328	0.693359	1210	1273	1508	1420	
Tooltip_DPS_Elemental_Ice	0.443359	0.621582	0.588867	0.693359	908	1273	1206	1420	
Tooltip_DPS_Elemental_Lightning	0.295898	0.621582	0.441406	0.693359	606	1273	904	1420	
Tooltip_DPS_Elemental_Poison	0.148438	0.621582	0.293945	0.693359	304	1273	602	1420	
Tooltip_DPS_Armor	0.000977	0.621582	0.146484	0.693359	2	1273	300	1420	
TutorialTooltip_Bottom	0.466797	0.000977	0.724609	0.044434	956	2	1484	91	
TutorialTooltip_BottomLeft	0.000977	0.121582	0.258789	0.165039	2	249	530	338	
TutorialTooltip_BottomRight	0.726563	0.000977	0.984375	0.044434	1488	2	2016	91	
TutorialTooltip_Top	0.000977	0.058594	0.258789	0.102051	2	120	530	209	
TutorialTooltip_TopLeft	0.260742	0.058594	0.518555	0.102051	534	120	1062	209	
TutorialTooltip_TopRight	0.520508	0.058594	0.778320	0.102051	1066	120	1594	209	
TutorialTooltip_Middle	0.000977	0.104004	0.258789	0.119629	2	213	530	245	
Tooltip_RankIcon_Locked	0.875977	0.075195	0.897949	0.097168	1794	154	1839	199	
Tooltip_RankIcon_Next	0.899902	0.075195	0.921875	0.097168	1843	154	1888	199	
Tooltip_Frame_Rank	0.699707	0.320801	0.930664	0.350098	1433	657	1906	717	
Tooltip_Shield_Glow	0.846680	0.064453	0.874023	0.097656	1734	132	1790	200	
Tooltip_Shield_Normal	0.817383	0.064453	0.844727	0.097656	1674	132	1730	200	
Tooltip_Frame_Title_Top	0.466797	0.266602	0.697754	0.284180	956	546	1429	582	
Tooltip_Frame_Title_Bottom	0.699707	0.252930	0.930664	0.264648	1433	518	1906	542	
Tooltip_Equipped_Frame_Title	0.466797	0.354492	0.697754	0.380371	956	726	1429	779	
Tooltip_ItemLinkCloseBtn	0.962891	0.320801	0.987305	0.345215	1972	657	2022	707	
Tooltip_ItemGradient_ScrollDown	0.699219	0.484375	0.929688	0.511230	1432	992	1904	1047	
Tooltip_ItemGradient_ScrollUp	0.466797	0.484375	0.697266	0.511230	956	992	1428	1047	
Tooltip_BuffHolderFrame	0.932617	0.429199	0.965332	0.461914	1910	879	1977	946	
Tooltip_BuffHolderFrame_Middle	0.875977	0.064453	0.908691	0.067383	1794	132	1861	138	
Tooltip_BuffHolderFrame_Top	0.875977	0.069336	0.908691	0.073242	1794	142	1861	150	
Tooltip_BuffHolderFrame_Bottom	0.932617	0.046387	0.965332	0.050293	1910	95	1977	103	
Buff_HolderIcon	0.198242	0.580566	0.229492	0.611816	406	1189	470	1253	
Buff_HolderIcon_Over	0.967285	0.429199	0.998535	0.460449	1981	879	2045	943	
BuffFrame_Dupe	0.932617	0.320801	0.960938	0.349121	1910	657	1968	715	
