Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
TraitList_Base	0.003906	0.003906	0.482422	0.768555	4	4	494	787	
TraitList_Button_Inactive	0.490234	0.426758	0.913086	0.477539	502	437	935	489	
TraitList_Button_Mouseover	0.490234	0.485352	0.913086	0.536133	502	497	935	549	
TraitList_Button_Normal	0.490234	0.543945	0.913086	0.594727	502	557	935	609	
TraitList_Button_Pushed	0.490234	0.368164	0.913086	0.418945	502	377	935	429	
TraitList_Star_Empty	0.920898	0.368164	0.961914	0.409180	943	377	985	419	
TraitList_Star_Filled	0.920898	0.426758	0.961914	0.467773	943	437	985	479	
TraitList_Tooltip_Bottom	0.490234	0.335938	0.957031	0.360352	502	344	980	369	
TraitList_Tooltip_Middle	0.490234	0.265625	0.957031	0.328125	502	272	980	336	
TraitList_Tooltip_Top	0.490234	0.003906	0.957031	0.257813	502	4	980	264	
TraitFrame_Metal	0.490234	0.602539	0.574219	0.685547	502	617	588	702	
TraitFrame_Stone	0.582031	0.602539	0.666016	0.685547	596	617	682	702	
TraitFrame_Rank_Empty	0.964844	0.035156	0.988281	0.058594	988	36	1012	60	
TraitFrame_Rank_Filled	0.964844	0.003906	0.988281	0.027344	988	4	1012	28	
