Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
VendorBase_Blacksmith_Basic	0.007813	0.003906	0.583008	0.589844	8	8	597	1208	
VendorTopic_Talk_Unselected	0.701172	0.668945	0.824219	0.732422	718	1370	844	1500	
VendorTopic_Talk_Mouseover	0.562500	0.668945	0.685547	0.732422	576	1370	702	1500	
VendorTopic_Talk_Selected	0.423828	0.668945	0.546875	0.732422	434	1370	560	1500	
VendorTopic_Shop_Unselected	0.285156	0.668945	0.408203	0.732422	292	1370	418	1500	
VendorTopic_Shop_Mouseover	0.146484	0.668945	0.269531	0.732422	150	1370	276	1500	
VendorTopic_Shop_Selected	0.007813	0.668945	0.130859	0.732422	8	1370	134	1500	
VendorTopic_Craft_Unselected	0.839844	0.597656	0.962891	0.661133	860	1224	986	1354	
VendorTopic_Craft_Mouseover	0.007813	0.597656	0.130859	0.661133	8	1224	134	1354	
VendorTopic_Craft_Selected	0.598633	0.406250	0.721680	0.469727	613	832	739	962	
VendorTopic_Forge_Unselected	0.737305	0.406250	0.860352	0.469727	755	832	881	962	
VendorTopic_Forge_Mouseover	0.598633	0.477539	0.721680	0.541016	613	978	739	1108	
VendorTopic_Forge_Selected	0.737305	0.477539	0.860352	0.541016	755	978	881	1108	
VendorTopic_Enhance_Unselected	0.839844	0.668945	0.962891	0.732422	860	1370	986	1500	
VendorTopic_Enhance_Mouseover	0.146484	0.597656	0.269531	0.661133	150	1224	276	1354	
VendorTopic_Enhance_Selected	0.285156	0.597656	0.408203	0.661133	292	1224	418	1354	
VendorTopic_Train_Unselected	0.423828	0.597656	0.546875	0.661133	434	1224	560	1354	
VendorTopic_Train_Mouseover	0.562500	0.597656	0.685547	0.661133	576	1224	702	1354	
VendorTopic_Train_Selected	0.701172	0.597656	0.824219	0.661133	718	1224	844	1354	
VendorButton_Normal	0.598633	0.121094	0.969727	0.152344	613	248	993	312	
VendorButton_Mouseover	0.598633	0.003906	0.969727	0.035156	613	8	993	72	
VendorButton_Pushed	0.598633	0.042969	0.969727	0.074219	613	88	993	152	
VendorButton_Inactive	0.598633	0.082031	0.969727	0.113281	613	168	993	232	
VendorButtonTall_Normal	0.598633	0.160156	0.793945	0.213867	613	328	813	438	
VendorButtonTall_Mouseover	0.598633	0.221680	0.793945	0.275391	613	454	813	564	
VendorButtonTall_Pushed	0.598633	0.283203	0.793945	0.336914	613	580	813	690	
VendorButtonTall_Inactive	0.598633	0.344727	0.793945	0.398438	613	706	813	816	
Vendor_PagingButton_Left_Inactive	0.950195	0.183594	0.981445	0.199219	973	376	1005	408	
Vendor_PagingButton_Left_Mouseover	0.809570	0.160156	0.840820	0.175781	829	328	861	360	
Vendor_PagingButton_Left_Normal	0.856445	0.160156	0.887695	0.175781	877	328	909	360	
Vendor_PagingButton_Left_Pushed	0.903320	0.160156	0.934570	0.175781	925	328	957	360	
Vendor_PagingButton_Right_Inactive	0.950195	0.160156	0.981445	0.175781	973	328	1005	360	
Vendor_PagingButton_Right_Mouseover	0.809570	0.183594	0.840820	0.199219	829	376	861	408	
Vendor_PagingButton_Right_Normal	0.856445	0.183594	0.887695	0.199219	877	376	909	408	
Vendor_PagingButton_Right_Pushed	0.903320	0.183594	0.934570	0.199219	925	376	957	408	
