Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Waypoint_Btn_0023_HiddenCamp_Normal	0.001953	0.003906	0.204590	0.066406	4	4	419	68	
Waypoint_Btn_0023_HiddenCamp_Mouseover	0.208496	0.003906	0.411133	0.066406	427	4	842	68	
Waypoint_Btn_0023_HiddenCamp_Pushed	0.415039	0.003906	0.617676	0.066406	850	4	1265	68	
Waypoint_Btn_0024_FloodedCauseway_Normal	0.621582	0.003906	0.824219	0.066406	1273	4	1688	68	
Waypoint_Btn_0024_FloodedCauseway_Mouseover	0.001953	0.074219	0.204590	0.136719	4	76	419	140	
Waypoint_Btn_0024_FloodedCauseway_Pushed	0.208496	0.074219	0.411133	0.136719	427	76	842	140	
Waypoint_Btn_0025_HowlingPlateau_Normal	0.415039	0.074219	0.617676	0.136719	850	76	1265	140	
Waypoint_Btn_0025_HowlingPlateau_Mouseover	0.621582	0.074219	0.824219	0.136719	1273	76	1688	140	
Waypoint_Btn_0025_HowlingPlateau_Pushed	0.001953	0.144531	0.204590	0.207031	4	148	419	212	
Waypoint_Btn_0026_BlackCanyonMines_Normal	0.208496	0.144531	0.411133	0.207031	427	148	842	212	
Waypoint_Btn_0026_BlackCanyonMines_Mouseover	0.415039	0.144531	0.617676	0.207031	850	148	1265	212	
Waypoint_Btn_0026_BlackCanyonMines_Pushed	0.621582	0.144531	0.824219	0.207031	1273	148	1688	212	
Waypoint_Btn_0027_KhasimOutpost_Normal	0.001953	0.214844	0.204590	0.277344	4	220	419	284	
Waypoint_Btn_0027_KhasimOutpost_Mouseover	0.208496	0.214844	0.411133	0.277344	427	220	842	284	
Waypoint_Btn_0027_KhasimOutpost_Pushed	0.415039	0.214844	0.617676	0.277344	850	220	1265	284	
Waypoint_Btn_0028_RoadToArcanus_Normal	0.621582	0.214844	0.824219	0.277344	1273	220	1688	284	
Waypoint_Btn_0028_RoadToArcanus_Mouseover	0.001953	0.285156	0.204590	0.347656	4	292	419	356	
Waypoint_Btn_0028_RoadToArcanus_Pushed	0.208496	0.285156	0.411133	0.347656	427	292	842	356	
Waypoint_Btn_0029_OvergrownPath_Normal	0.415039	0.285156	0.617676	0.347656	850	292	1265	356	
Waypoint_Btn_0029_OvergrownPath_Mouseover	0.621582	0.285156	0.824219	0.347656	1273	292	1688	356	
Waypoint_Btn_0029_OvergrownPath_Pushed	0.001953	0.355469	0.204590	0.417969	4	364	419	428	
Waypoint_Btn_0030_DahlgurOasis_Normal	0.208496	0.355469	0.411133	0.417969	427	364	842	428	
Waypoint_Btn_0030_DahlgurOasis_Mouseover	0.415039	0.355469	0.617676	0.417969	850	364	1265	428	
Waypoint_Btn_0030_DahlgurOasis_Pushed	0.621582	0.355469	0.824219	0.417969	1273	364	1688	428	
Waypoint_Btn_0031_AncientPath_Normal	0.001953	0.425781	0.204590	0.488281	4	436	419	500	
Waypoint_Btn_0031_AncientPath_Mouseover	0.208496	0.425781	0.411133	0.488281	427	436	842	500	
Waypoint_Btn_0031_AncientPath_Pushed	0.415039	0.425781	0.617676	0.488281	850	436	1265	500	
Waypoint_Btn_0032_DesolateSands_Normal	0.621582	0.425781	0.824219	0.488281	1273	436	1688	500	
Waypoint_Btn_0032_DesolateSands_Mouseover	0.001953	0.496094	0.204590	0.558594	4	508	419	572	
Waypoint_Btn_0032_DesolateSands_Pushed	0.208496	0.496094	0.411133	0.558594	427	508	842	572	
Waypoint_Btn_0033_TheTerminus_Normal	0.415039	0.496094	0.617676	0.558594	850	508	1265	572	
Waypoint_Btn_0033_TheTerminus_Mouseover	0.621582	0.496094	0.824219	0.558594	1273	508	1688	572	
Waypoint_Btn_0033_TheTerminus_Pushed	0.001953	0.566406	0.204590	0.628906	4	580	419	644	
