Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Waypoint_Btn_0034_BastionsKeepStronghold_Normal	0.001953	0.001953	0.204590	0.033203	4	4	419	68	
Waypoint_Btn_0034_BastionsKeepStronghold_Mouseover	0.208496	0.001953	0.411133	0.033203	427	4	842	68	
Waypoint_Btn_0034_BastionsKeepStronghold_Pushed	0.415039	0.001953	0.617676	0.033203	850	4	1265	68	
Waypoint_Btn_0035_Stonefort_Normal	0.621582	0.001953	0.824219	0.033203	1273	4	1688	68	
Waypoint_Btn_0035_Stonefort_Mouseover	0.001953	0.037109	0.204590	0.068359	4	76	419	140	
Waypoint_Btn_0035_Stonefort_Pushed	0.208496	0.037109	0.411133	0.068359	427	76	842	140	
Waypoint_Btn_0036_KeepDepthsLevel1_Normal	0.415039	0.037109	0.617676	0.068359	850	76	1265	140	
Waypoint_Btn_0036_KeepDepthsLevel1_Mouseover	0.621582	0.037109	0.824219	0.068359	1273	76	1688	140	
Waypoint_Btn_0036_KeepDepthsLevel1_Pushed	0.001953	0.072266	0.204590	0.103516	4	148	419	212	
Waypoint_Btn_0037_KeepDepthsLevel2_Normal	0.208496	0.072266	0.411133	0.103516	427	148	842	212	
Waypoint_Btn_0037_KeepDepthsLevel2_Mouseover	0.415039	0.072266	0.617676	0.103516	850	148	1265	212	
Waypoint_Btn_0037_KeepDepthsLevel2_Pushed	0.621582	0.072266	0.824219	0.103516	1273	148	1688	212	
Waypoint_Btn_0038_KeepDepthsLevel3_Normal	0.001953	0.107422	0.204590	0.138672	4	220	419	284	
Waypoint_Btn_0038_KeepDepthsLevel3_Mouseover	0.208496	0.107422	0.411133	0.138672	427	220	842	284	
Waypoint_Btn_0038_KeepDepthsLevel3_Pushed	0.415039	0.107422	0.617676	0.138672	850	220	1265	284	
Waypoint_Btn_0039_TheBridgeOfKorsikk_Normal	0.621582	0.107422	0.824219	0.138672	1273	220	1688	284	
Waypoint_Btn_0039_TheBridgeOfKorsikk_Mouseover	0.001953	0.142578	0.204590	0.173828	4	292	419	356	
Waypoint_Btn_0039_TheBridgeOfKorsikk_Pushed	0.208496	0.142578	0.411133	0.173828	427	292	842	356	
Waypoint_Btn_0040_RakkisCrossing_Normal	0.415039	0.142578	0.617676	0.173828	850	292	1265	356	
Waypoint_Btn_0040_RakkisCrossing_Mouseover	0.621582	0.142578	0.824219	0.173828	1273	292	1688	356	
Waypoint_Btn_0040_RakkisCrossing_Pushed	0.001953	0.177734	0.204590	0.208984	4	364	419	428	
Waypoint_Btn_0041_ArreatCraterLevel1_Normal	0.208496	0.177734	0.411133	0.208984	427	364	842	428	
Waypoint_Btn_0041_ArreatCraterLevel1_Mouseover	0.415039	0.177734	0.617676	0.208984	850	364	1265	428	
Waypoint_Btn_0041_ArreatCraterLevel1_Pushed	0.621582	0.177734	0.824219	0.208984	1273	364	1688	428	
Waypoint_Btn_0042_TowerOfTheDamnedLevel1_Normal	0.001953	0.212891	0.204590	0.244141	4	436	419	500	
Waypoint_Btn_0042_TowerOfTheDamnedLevel1_Mouseover	0.208496	0.212891	0.411133	0.244141	427	436	842	500	
Waypoint_Btn_0042_TowerOfTheDamnedLevel1_Pushed	0.415039	0.212891	0.617676	0.244141	850	436	1265	500	
Waypoint_Btn_0043_TowerOfTheDamnedLevel3_Normal	0.621582	0.212891	0.824219	0.244141	1273	436	1688	500	
Waypoint_Btn_0043_TowerOfTheDamnedLevel3_Mouseover	0.001953	0.248047	0.204590	0.279297	4	508	419	572	
Waypoint_Btn_0043_TowerOfTheDamnedLevel3_Pushed	0.208496	0.248047	0.411133	0.279297	427	508	842	572	
Waypoint_Btn_0044_ArreatCraterLevel2_Normal	0.415039	0.248047	0.617676	0.279297	850	508	1265	572	
Waypoint_Btn_0044_ArreatCraterLevel2_Mouseover	0.621582	0.248047	0.824219	0.279297	1273	508	1688	572	
Waypoint_Btn_0044_ArreatCraterLevel2_Pushed	0.001953	0.283203	0.204590	0.314453	4	580	419	644	
Waypoint_Btn_0045_TheCoreOfArreat_Normal	0.208496	0.283203	0.411133	0.314453	427	580	842	644	
Waypoint_Btn_0045_TheCoreOfArreat_Mouseover	0.415039	0.283203	0.617676	0.314453	850	580	1265	644	
Waypoint_Btn_0045_TheCoreOfArreat_Pushed	0.621582	0.283203	0.824219	0.314453	1273	580	1688	644	
Waypoint_Btn_0046_TheDiamondgates_Normal	0.001953	0.318359	0.204590	0.349609	4	652	419	716	
Waypoint_Btn_0046_TheDiamondgates_Mouseover	0.208496	0.318359	0.411133	0.349609	427	652	842	716	
Waypoint_Btn_0046_TheDiamondgates_Pushed	0.415039	0.318359	0.617676	0.349609	850	652	1265	716	
Waypoint_Btn_0047_GardensOfHope_Normal	0.621582	0.318359	0.824219	0.349609	1273	652	1688	716	
Waypoint_Btn_0047_GardensOfHope_Mouseover	0.001953	0.353516	0.204590	0.384766	4	724	419	788	
Waypoint_Btn_0047_GardensOfHope_Pushed	0.208496	0.353516	0.411133	0.384766	427	724	842	788	
Waypoint_Btn_0048_TheCrystalColonnade_Normal	0.415039	0.353516	0.617676	0.384766	850	724	1265	788	
