Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
WaypointList_base	0.001953	0.001953	0.289551	0.587891	4	4	593	1204	
WaypointList_button	0.293457	0.001953	0.581055	0.158691	601	4	1190	325	
Waypoint_Chalice	0.913086	0.162598	0.925781	0.193848	1870	333	1896	397	
Waypoint_Town	0.929688	0.162598	0.942383	0.193848	1904	333	1930	397	
Waypoint_Btn_TEMP_Normal	0.584961	0.037109	0.787598	0.068359	1198	76	1613	140	
Waypoint_Btn_TEMP_Mouseover	0.791504	0.037109	0.994141	0.068359	1621	76	2036	140	
Waypoint_Btn_TEMP_Pushed	0.584961	0.072266	0.787598	0.103516	1198	148	1613	212	
Waypoint_Btn_0000_AncientTemple_Normal	0.791504	0.072266	0.994141	0.103516	1621	148	2036	212	
Waypoint_Btn_0000_AncientTemple_Mouseover	0.584961	0.107422	0.787598	0.138672	1198	220	1613	284	
Waypoint_Btn_0000_AncientTemple_Pushed	0.791504	0.107422	0.994141	0.138672	1621	220	2036	284	
Waypoint_Btn_0001_CathedralGarden_Normal	0.293457	0.162598	0.496094	0.193848	601	333	1016	397	
Waypoint_Btn_0001_CathedralGarden_Mouseover	0.500000	0.162598	0.702637	0.193848	1024	333	1439	397	
Waypoint_Btn_0001_CathedralGarden_Pushed	0.706543	0.162598	0.909180	0.193848	1447	333	1862	397	
Waypoint_Btn_0002_CathedralLevel01_Normal	0.293457	0.197754	0.496094	0.229004	601	405	1016	469	
Waypoint_Btn_0002_CathedralLevel01_Mouseover	0.500000	0.197754	0.702637	0.229004	1024	405	1439	469	
Waypoint_Btn_0002_CathedralLevel01_Pushed	0.706543	0.197754	0.909180	0.229004	1447	405	1862	469	
Waypoint_Btn_0003_CathedralLevel02_Normal	0.293457	0.232910	0.496094	0.264160	601	477	1016	541	
Waypoint_Btn_0003_CathedralLevel02_Mouseover	0.500000	0.232910	0.702637	0.264160	1024	477	1439	541	
Waypoint_Btn_0003_CathedralLevel02_Pushed	0.706543	0.232910	0.909180	0.264160	1447	477	1862	541	
Waypoint_Btn_0004_CathedralLevel03_Normal	0.293457	0.268066	0.496094	0.299316	601	549	1016	613	
Waypoint_Btn_0004_CathedralLevel03_Mouseover	0.500000	0.268066	0.702637	0.299316	1024	549	1439	613	
Waypoint_Btn_0004_CathedralLevel03_Pushed	0.706543	0.268066	0.909180	0.299316	1447	549	1862	613	
Waypoint_Btn_0005_CathedralLevel04_Normal	0.293457	0.303223	0.496094	0.334473	601	621	1016	685	
Waypoint_Btn_0005_CathedralLevel04_Mouseover	0.500000	0.303223	0.702637	0.334473	1024	621	1439	685	
Waypoint_Btn_0005_CathedralLevel04_Pushed	0.706543	0.303223	0.909180	0.334473	1447	621	1862	685	
Waypoint_Btn_0006_CemetaryForsaken_Normal	0.293457	0.338379	0.496094	0.369629	601	693	1016	757	
Waypoint_Btn_0006_CemetaryForsaken_Mouseover	0.500000	0.338379	0.702637	0.369629	1024	693	1439	757	
Waypoint_Btn_0006_CemetaryForsaken_Pushed	0.706543	0.338379	0.909180	0.369629	1447	693	1862	757	
Waypoint_Btn_0007_DesolateChamber_Normal	0.293457	0.373535	0.496094	0.404785	601	765	1016	829	
Waypoint_Btn_0007_DesolateChamber_Mouseover	0.500000	0.373535	0.702637	0.404785	1024	765	1439	829	
Waypoint_Btn_0007_DesolateChamber_Pushed	0.706543	0.373535	0.909180	0.404785	1447	765	1862	829	
Waypoint_Btn_0008_FieldsOfMisery_Normal	0.293457	0.408691	0.496094	0.439941	601	837	1016	901	
Waypoint_Btn_0008_FieldsOfMisery_Mouseover	0.500000	0.408691	0.702637	0.439941	1024	837	1439	901	
Waypoint_Btn_0008_FieldsOfMisery_Pushed	0.706543	0.408691	0.909180	0.439941	1447	837	1862	901	
Waypoint_Btn_0009_HallsOfAgonyLevel01_Normal	0.293457	0.443848	0.496094	0.475098	601	909	1016	973	
Waypoint_Btn_0009_HallsOfAgonyLevel01_Mouseover	0.500000	0.443848	0.702637	0.475098	1024	909	1439	973	
Waypoint_Btn_0009_HallsOfAgonyLevel01_Pushed	0.706543	0.443848	0.909180	0.475098	1447	909	1862	973	
Waypoint_Btn_0010_HallsOfAgonyLevel02_Normal	0.293457	0.479004	0.496094	0.510254	601	981	1016	1045	
Waypoint_Btn_0010_HallsOfAgonyLevel02_Mouseover	0.500000	0.479004	0.702637	0.510254	1024	981	1439	1045	
Waypoint_Btn_0010_HallsOfAgonyLevel02_Pushed	0.706543	0.479004	0.909180	0.510254	1447	981	1862	1045	
