Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
WaypointMap_MarkerPentagram	0.934082	0.526367	0.965332	0.588867	1913	539	1977	603	
WaypointMap_MarkerBoss	0.746582	0.235352	0.777832	0.297852	1529	241	1593	305	
WaypointMap_MarkerBossComplete	0.900879	0.526367	0.932129	0.588867	1845	539	1909	603	
WaypointMap_MarkerBounty	0.965332	0.114258	0.996582	0.176758	1977	117	2041	181	
WaypointMap_MarkerBounty_Horadric	0.580566	0.235352	0.611816	0.297852	1189	241	1253	305	
WaypointMap_MarkerBountyComplete	0.613770	0.235352	0.645020	0.297852	1257	241	1321	305	
WaypointMap_MarkerDevilsHand	0.834473	0.526367	0.865723	0.588867	1709	539	1773	603	
WaypointMap_MarkerDevilsHandComplete	0.646973	0.235352	0.678223	0.297852	1325	241	1389	305	
WaypointMap_MarkerLootRun	0.680176	0.235352	0.711426	0.297852	1393	241	1457	305	
WaypointMap_MarkerLootRunComplete	0.713379	0.235352	0.744629	0.297852	1461	241	1525	305	
WaypointMap_MarkerPOI	0.000977	0.671875	0.089844	0.849609	2	688	184	870	
WaypointMap_MarkerQuest	0.879395	0.235352	0.910645	0.297852	1801	241	1865	305	
WaypointMap_MarkerQuest_Blinker	0.912598	0.235352	0.943848	0.297852	1869	241	1933	305	
WaypointMap_MarkerQuestComplete	0.867676	0.526367	0.898926	0.588867	1777	539	1841	603	
WaypointMap_MarkerReward	0.801270	0.526367	0.832520	0.588867	1641	539	1705	603	
WaypointMap_MarkerRewardComplete	0.768066	0.526367	0.799316	0.588867	1573	539	1637	603	
WaypointMap_MarkerTown	0.734863	0.526367	0.766113	0.588867	1505	539	1569	603	
WaypointMap_MarkerRift	0.957031	0.459961	0.988281	0.522461	1960	471	2024	535	
WaypointMap_MarkerRiftComplete	0.923828	0.459961	0.955078	0.522461	1892	471	1956	535	
WaypointMap_MarkerKeyWarden	0.963379	0.380859	0.994629	0.443359	1973	390	2037	454	
WaypointMap_MarkerKeyWardenComplete	0.945801	0.235352	0.977051	0.297852	1937	241	2001	305	
WaypointMap_Bounties	0.134766	0.114258	0.257324	0.357422	276	117	527	366	
WaypointMap_BountiesCallout	0.000977	0.114258	0.132813	0.376953	2	117	272	386	
WaypointMap_BountyIcon	0.846191	0.235352	0.877441	0.297852	1733	241	1797	305	
WaypointMap_BountyIcon_Highlight	0.812988	0.235352	0.844238	0.297852	1665	241	1729	305	
WaypointMap_BountyIconComplete	0.779785	0.235352	0.811035	0.297852	1597	241	1661	305	
WaypointMap_TextFX	0.913574	0.052734	0.935547	0.061523	1871	54	1916	63	
WaypointMap_ButtonUp	0.696777	0.114258	0.804199	0.231445	1427	117	1647	237	
WaypointMap_ButtonOver	0.587402	0.114258	0.694824	0.231445	1203	117	1423	237	
WaypointMap_ButtonDown	0.478027	0.114258	0.585449	0.231445	979	117	1199	237	
WaypointMap_ButtonDisabled	0.368652	0.114258	0.476074	0.231445	755	117	975	237	
WaypointMap_WorldButton_Up	0.655762	0.526367	0.693359	0.601563	1343	539	1420	616	
WaypointMap_WorldButton_Over	0.616211	0.526367	0.653809	0.601563	1262	539	1339	616	
WaypointMap_WorldButton_Down	0.695313	0.526367	0.732910	0.601563	1424	539	1501	616	
WaypointMap_WorldButton_Disabled	0.923828	0.380859	0.961426	0.456055	1892	390	1969	467	
WaypointMap_ButtonPOIUp	0.259277	0.235352	0.366699	0.352539	531	241	751	361	
WaypointMap_ButtonTownUp	0.368652	0.235352	0.476074	0.352539	755	241	975	361	
WaypointMap_ButtonTownOver	0.259277	0.114258	0.366699	0.231445	531	117	751	237	
WaypointMap_ButtonTownDown	0.806152	0.114258	0.913574	0.231445	1651	117	1871	237	
WaypointMap_ButtonAct1Up	0.718750	0.380859	0.819336	0.522461	1472	390	1678	535	
WaypointMap_ButtonAct1Over	0.308594	0.526367	0.409180	0.667969	632	539	838	684	
WaypointMap_ButtonAct1Down	0.513672	0.526367	0.614258	0.667969	1052	539	1258	684	
WaypointMap_ButtonAct2Up	0.411133	0.526367	0.511719	0.667969	842	539	1048	684	
WaypointMap_ButtonAct2Over	0.206055	0.526367	0.306641	0.667969	422	539	628	684	
WaypointMap_ButtonAct2Down	0.103516	0.526367	0.204102	0.667969	212	539	418	684	
WaypointMap_ButtonAct3Up	0.000977	0.526367	0.101563	0.667969	2	539	208	684	
WaypointMap_ButtonAct3Over	0.821289	0.380859	0.921875	0.522461	1682	390	1888	535	
WaypointMap_ButtonAct3Down	0.000977	0.380859	0.101563	0.522461	2	390	208	535	
WaypointMap_ButtonAct4Up	0.616211	0.380859	0.716797	0.522461	1262	390	1468	535	
WaypointMap_ButtonAct4Over	0.513672	0.380859	0.614258	0.522461	1052	390	1258	535	
WaypointMap_ButtonAct4Down	0.411133	0.380859	0.511719	0.522461	842	390	1048	535	
WaypointMap_ButtonAct5Up	0.308594	0.380859	0.409180	0.522461	632	390	838	535	
WaypointMap_ButtonAct5Over	0.206055	0.380859	0.306641	0.522461	422	390	628	535	
WaypointMap_ButtonAct5Down	0.103516	0.380859	0.204102	0.522461	212	390	418	535	
WaypointMap_ActBonus	0.478027	0.235352	0.578613	0.298828	979	241	1185	306	
WaypointMap_ActBonusComplete	0.811035	0.001953	0.911621	0.065430	1661	2	1867	67	
WaypointMap_Bonus	0.913574	0.001953	0.977051	0.048828	1871	2	2001	50	
WaypointMap_Reward	0.915527	0.114258	0.963379	0.178711	1875	117	1973	183	
WaypointMap_Zoom1	0.270996	0.001953	0.539063	0.110352	555	2	1104	113	
WaypointMap_Zoom2	0.000977	0.001953	0.269043	0.110352	2	2	551	113	
WaypointMap_Zoom3	0.541016	0.001953	0.809082	0.110352	1108	2	1657	113	
