Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Waypoint0000_NewTristram	0.000977	0.001953	0.125000	0.250000	2	2	256	256	
Waypoint0001_TheOldRuins	0.126953	0.001953	0.250977	0.250000	260	2	514	256	
Waypoint0002_CathedralGarden	0.252930	0.001953	0.376953	0.250000	518	2	772	256	
Waypoint0003_CathedralLevel3	0.378906	0.001953	0.502930	0.250000	776	2	1030	256	
Waypoint0004_TheRoyalCrypts	0.504883	0.001953	0.628906	0.250000	1034	2	1288	256	
Waypoint0005_DesolateChamber	0.630859	0.001953	0.754883	0.250000	1292	2	1546	256	
Waypoint0006_CemeteryOfTheForsaken	0.756836	0.001953	0.880859	0.250000	1550	2	1804	256	
Waypoint0007_FieldsOfMisery	0.000977	0.253906	0.125000	0.501953	2	260	256	514	
Waypoint0008_DrownedTemple	0.126953	0.253906	0.250977	0.501953	260	260	514	514	
Waypoint0009_TheFesteringWoods	0.252930	0.253906	0.376953	0.501953	518	260	772	514	
Waypoint0010_WorthamChapelCellar	0.378906	0.253906	0.502930	0.501953	776	260	1030	514	
Waypoint0011_HighlandsCrossing	0.504883	0.253906	0.628906	0.501953	1034	260	1288	514	
Waypoint0012_NorthernHighlands	0.630859	0.253906	0.754883	0.501953	1292	260	1546	514	
Waypoint0013_LeoricsManor	0.756836	0.253906	0.880859	0.501953	1550	260	1804	514	
