Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Waypoint0014_HallsOfAgonyLevel2	0.000977	0.001953	0.125000	0.250000	2	2	256	256	
Waypoint0015_HallsOfAgonyLevel3	0.126953	0.001953	0.250977	0.250000	260	2	514	256	
Waypoint0016_HiddenCamp	0.252930	0.001953	0.376953	0.249023	518	2	772	255	
Waypoint0017_SewersOfCaldeum	0.378906	0.001953	0.502930	0.249023	776	2	1030	255	
Waypoint0018_BlackCanyonMines	0.504883	0.001953	0.628906	0.249023	1034	2	1288	255	
Waypoint0019_KhasimOutpost	0.630859	0.001953	0.754883	0.249023	1292	2	1546	255	
Waypoint0020_RoadToAlcarnus	0.756836	0.001953	0.880859	0.249023	1550	2	1804	255	
Waypoint0021_PathToTheOasis	0.000977	0.253906	0.125000	0.500977	2	260	256	513	
Waypoint0022_DahlgurOasis	0.126953	0.253906	0.250977	0.500977	260	260	514	513	
Waypoint0023_AncientPath	0.252930	0.253906	0.376953	0.500977	518	260	772	513	
Waypoint0024_DesolateSands	0.378906	0.253906	0.502930	0.500977	776	260	1030	513	
Waypoint0025_ArchivesOfZoltunKulle	0.504883	0.253906	0.628906	0.500977	1034	260	1288	513	
