Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Waypoint0026_BastionsKeepStronghold	0.001953	0.003906	0.125977	0.250977	4	4	258	257	
Waypoint0027_Stonefort	0.001953	0.258789	0.125977	0.506836	4	265	258	519	
Waypoint0028_TheKeepDepthsLevel1	0.129883	0.258789	0.253906	0.506836	266	265	520	519	
Waypoint0029_TheKeepDepthsLevel3	0.257813	0.258789	0.381836	0.506836	528	265	782	519	
Waypoint0030_TheBridgeOfKorsikk	0.385742	0.258789	0.509766	0.506836	790	265	1044	519	
Waypoint0031_RakkisCrossing	0.513672	0.258789	0.637695	0.506836	1052	265	1306	519	
Waypoint0032_ArreatCraterLevel1	0.641602	0.258789	0.765625	0.506836	1314	265	1568	519	
Waypoint0033_TowerOfTheDamnedLevel1	0.769531	0.258789	0.893555	0.506836	1576	265	1830	519	
Waypoint0034_ArreatCraterLevel2	0.001953	0.514648	0.125977	0.762695	4	527	258	781	
Waypoint0035_TowerOfTheCursedLevel1	0.129883	0.514648	0.253906	0.762695	266	527	520	781	
Waypoint0036_CoreOfArreat	0.257813	0.514648	0.381836	0.762695	528	527	782	781	
Waypoint0037_TheDiamondGates	0.129883	0.003906	0.253906	0.250977	266	4	520	257	
