Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
icon_pattern_empty_main	0.000977	0.007813	0.038574	0.308594	2	2	79	79	
icon_pattern_arrowline01_main	0.040527	0.007813	0.078125	0.308594	83	2	160	79	
icon_pattern_blizzcon2013	0.080078	0.007813	0.117676	0.308594	164	2	241	79	
icon_pattern_check01_main	0.119629	0.007813	0.157227	0.308594	245	2	322	79	
icon_pattern_check01_alt_02	0.159180	0.007813	0.196777	0.308594	326	2	403	79	
icon_pattern_circles01_alt_01	0.198730	0.007813	0.236328	0.308594	407	2	484	79	
icon_pattern_circles01_alt_02	0.238281	0.007813	0.275879	0.308594	488	2	565	79	
icon_pattern_cornerdiamond01_main	0.277832	0.007813	0.315430	0.308594	569	2	646	79	
icon_pattern_corners01_main	0.317383	0.007813	0.354980	0.308594	650	2	727	79	
icon_pattern_crack01_main	0.356934	0.007813	0.394531	0.308594	731	2	808	79	
icon_pattern_crack01_alt_01	0.396484	0.007813	0.434082	0.308594	812	2	889	79	
icon_pattern_crisscross01_alt_01	0.436035	0.007813	0.473633	0.308594	893	2	970	79	
icon_pattern_crisscross01_alt_02	0.475586	0.007813	0.513184	0.308594	974	2	1051	79	
icon_pattern_crisscross01_alt_03	0.515137	0.007813	0.552734	0.308594	1055	2	1132	79	
icon_pattern_crisscross01_main	0.554688	0.007813	0.592285	0.308594	1136	2	1213	79	
icon_pattern_cross_main	0.594238	0.007813	0.631836	0.308594	1217	2	1294	79	
icon_pattern_diamonddot_01_main	0.633789	0.007813	0.671387	0.308594	1298	2	1375	79	
icon_pattern_diamondstar01_main	0.673340	0.007813	0.710938	0.308594	1379	2	1456	79	
icon_pattern_drip01_main	0.712891	0.007813	0.750488	0.308594	1460	2	1537	79	
icon_pattern_drip01_alt_01	0.752441	0.007813	0.790039	0.308594	1541	2	1618	79	
icon_pattern_fire_01_main	0.791992	0.007813	0.829590	0.308594	1622	2	1699	79	
icon_pattern_heart_01_main	0.831543	0.007813	0.869141	0.308594	1703	2	1780	79	
icon_pattern_heart_01_alt_01	0.871094	0.007813	0.908691	0.308594	1784	2	1861	79	
icon_pattern_linesHoriz01_main	0.910645	0.007813	0.948242	0.308594	1865	2	1942	79	
icon_pattern_linesHoriz01_alt_01	0.950195	0.007813	0.987793	0.308594	1946	2	2023	79	
icon_pattern_oblique01_main	0.000977	0.324219	0.038574	0.625000	2	83	79	160	
icon_pattern_oblique01_alt_01	0.040527	0.324219	0.078125	0.625000	83	83	160	160	
icon_pattern_oblique01_alt_02	0.080078	0.324219	0.117676	0.625000	164	83	241	160	
icon_pattern_oblique02_main	0.119629	0.324219	0.157227	0.625000	245	83	322	160	
icon_pattern_oblique02_alt_01	0.159180	0.324219	0.196777	0.625000	326	83	403	160	
icon_pattern_pvp_01_main	0.198730	0.324219	0.236328	0.625000	407	83	484	160	
icon_pattern_pvp_02_main	0.238281	0.324219	0.275879	0.625000	488	83	565	160	
icon_pattern_pvp_03_main	0.277832	0.324219	0.315430	0.625000	569	83	646	160	
icon_pattern_pvp_04_main	0.317383	0.324219	0.354980	0.625000	650	83	727	160	
icon_pattern_pvp_05_main	0.356934	0.324219	0.394531	0.625000	731	83	808	160	
icon_pattern_pvp_06_main	0.396484	0.324219	0.434082	0.625000	812	83	889	160	
icon_pattern_pvp_07_main	0.436035	0.324219	0.473633	0.625000	893	83	970	160	
icon_pattern_pvp_08_main	0.475586	0.324219	0.513184	0.625000	974	83	1051	160	
icon_pattern_pvp_barbarian_main	0.515137	0.324219	0.552734	0.625000	1055	83	1132	160	
icon_pattern_pvp_demonhunter_main	0.554688	0.324219	0.592285	0.625000	1136	83	1213	160	
icon_pattern_pvp_monk_main	0.594238	0.324219	0.631836	0.625000	1217	83	1294	160	
icon_pattern_pvp_witchdoctor_main	0.633789	0.324219	0.671387	0.625000	1298	83	1375	160	
icon_pattern_pvp_wizard_main	0.673340	0.324219	0.710938	0.625000	1379	83	1456	160	
icon_pattern_rune01_main	0.712891	0.324219	0.750488	0.625000	1460	83	1537	160	
icon_pattern_rune02_main	0.752441	0.324219	0.790039	0.625000	1541	83	1618	160	
icon_pattern_star01_main	0.791992	0.324219	0.829590	0.625000	1622	83	1699	160	
icon_pattern_straight01_main	0.831543	0.324219	0.869141	0.625000	1703	83	1780	160	
icon_pattern_straight01_alt_01	0.871094	0.324219	0.908691	0.625000	1784	83	1861	160	
icon_pattern_thunder01_alt_01	0.910645	0.324219	0.948242	0.625000	1865	83	1942	160	
icon_pattern_thunder01_alt_02	0.950195	0.324219	0.987793	0.625000	1946	83	2023	160	
icon_pattern_thunder01_alt_03	0.000977	0.640625	0.038574	0.941406	2	164	79	241	
icon_pattern_wave01_main	0.040527	0.640625	0.078125	0.941406	83	164	160	241	
icon_pattern_wave01_alt_01	0.080078	0.640625	0.117676	0.941406	164	164	241	241	
icon_pattern_wave02_main	0.119629	0.640625	0.157227	0.941406	245	164	322	241	
icon_pattern_web01_main	0.159180	0.640625	0.196777	0.941406	326	164	403	241	
icon_pattern_cross_05_main	0.198730	0.640625	0.236328	0.941406	407	164	484	241	
icon_pattern_cross_06_main	0.238281	0.640625	0.275879	0.941406	488	164	565	241	
