Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
icon_shape_archer001_rgb_001	0.000977	0.007813	0.038574	0.308594	2	2	79	79	
icon_shape_BC2013_rgb_01	0.040527	0.007813	0.078125	0.308594	83	2	160	79	
icon_shape_cathedral001_rgb_001	0.080078	0.007813	0.117676	0.308594	164	2	241	79	
icon_shape_celtic001_rgb_001	0.119629	0.007813	0.157227	0.308594	245	2	322	79	
icon_shape_chevron001_rgb_01	0.159180	0.007813	0.196777	0.308594	326	2	403	79	
icon_shape_chevron002_rgb_01	0.198730	0.007813	0.236328	0.308594	407	2	484	79	
icon_shape_chevron003_rgb_01	0.238281	0.007813	0.275879	0.308594	488	2	565	79	
icon_shape_fire001_rgb_001	0.277832	0.007813	0.315430	0.308594	569	2	646	79	
icon_shape_goth001_rgb_001	0.317383	0.007813	0.354980	0.308594	650	2	727	79	
icon_shape_goth002_rgb_001	0.356934	0.007813	0.394531	0.308594	731	2	808	79	
icon_shape_goth003_rgb_001	0.396484	0.007813	0.434082	0.308594	812	2	889	79	
icon_shape_knight001_rgb_001	0.436035	0.007813	0.473633	0.308594	893	2	970	79	
icon_shape_knight002_rgb_001	0.475586	0.007813	0.513184	0.308594	974	2	1051	79	
icon_shape_knight003_rgb_001	0.515137	0.007813	0.552734	0.308594	1055	2	1132	79	
icon_shape_point001_rgb_01	0.554688	0.007813	0.592285	0.308594	1136	2	1213	79	
icon_shape_point002_rgb_01	0.594238	0.007813	0.631836	0.308594	1217	2	1294	79	
icon_shape_point003_rgb_01	0.633789	0.007813	0.671387	0.308594	1298	2	1375	79	
icon_shape_point004_rgb_01	0.673340	0.007813	0.710938	0.308594	1379	2	1456	79	
icon_shape_point005_rgb_001	0.712891	0.007813	0.750488	0.308594	1460	2	1537	79	
icon_shape_pvp_01_rgb_001	0.752441	0.007813	0.790039	0.308594	1541	2	1618	79	
icon_shape_pvp_02_rgb_001	0.791992	0.007813	0.829590	0.308594	1622	2	1699	79	
icon_shape_pvp_03_rgb_001	0.831543	0.007813	0.869141	0.308594	1703	2	1780	79	
icon_shape_pvp_04_rgb_001	0.871094	0.007813	0.908691	0.308594	1784	2	1861	79	
icon_shape_pvp_05_rgb_001	0.910645	0.007813	0.948242	0.308594	1865	2	1942	79	
icon_shape_pvp_barbarian_rgb_001	0.950195	0.007813	0.987793	0.308594	1946	2	2023	79	
icon_shape_pvp_demonhunter_rgb_001	0.000977	0.324219	0.038574	0.625000	2	83	79	160	
icon_shape_pvp_monk_rgb_001	0.040527	0.324219	0.078125	0.625000	83	83	160	160	
icon_shape_pvp_witchdoctor_rgb_001	0.080078	0.324219	0.117676	0.625000	164	83	241	160	
icon_shape_pvp_wizard_rgb_001	0.119629	0.324219	0.157227	0.625000	245	83	322	160	
icon_shape_rectangle001_rgb_01	0.159180	0.324219	0.196777	0.625000	326	83	403	160	
icon_shape_skull001_rgb_001	0.198730	0.324219	0.236328	0.625000	407	83	484	160	
icon_shape_skull002_rgb_001	0.238281	0.324219	0.275879	0.625000	488	83	565	160	
icon_shape_skull003_rgb_001	0.277832	0.324219	0.315430	0.625000	569	83	646	160	
icon_shape_tattered001_rgb_01	0.317383	0.324219	0.354980	0.625000	650	83	727	160	
icon_shape_tattered003_rgb_001	0.356934	0.324219	0.394531	0.625000	731	83	808	160	
icon_shape_thorn001_rgb_001	0.396484	0.324219	0.434082	0.625000	812	83	889	160	
icon_shape_tribal001_rgb_001	0.436035	0.324219	0.473633	0.625000	893	83	970	160	
icon_shape_wings001_rgb_001	0.475586	0.324219	0.513184	0.625000	974	83	1051	160	
icon_shape_chevron004_rgb_001	0.515137	0.324219	0.552734	0.625000	1055	83	1132	160	
icon_shape_chevron005_rgb_001	0.554688	0.324219	0.592285	0.625000	1136	83	1213	160	
icon_shape_chevron006_rgb_001	0.594238	0.324219	0.631836	0.625000	1217	83	1294	160	
icon_shape_goth004_rgb_001	0.633789	0.324219	0.671387	0.625000	1298	83	1375	160	
icon_shape_point006_rgb_001	0.673340	0.324219	0.710938	0.625000	1379	83	1456	160	
icon_shape_point007_rgb_001	0.712891	0.324219	0.750488	0.625000	1460	83	1537	160	
icon_shape_point008_rgb_001	0.752441	0.324219	0.790039	0.625000	1541	83	1618	160	
icon_shape_rectangle002_rgb_001	0.791992	0.324219	0.829590	0.625000	1622	83	1699	160	
icon_shape_rectangle003_rgb_001	0.831543	0.324219	0.869141	0.625000	1703	83	1780	160	
icon_shape_season01_reward01_rgb_01	0.871094	0.324219	0.908691	0.625000	1784	83	1861	160	
icon_shape_season02_reward01_rgb_01	0.910645	0.324219	0.948242	0.625000	1865	83	1942	160	
icon_shape_Necromancer_01_rgb_001	0.950195	0.324219	0.987793	0.625000	1946	83	2023	160	
