Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
icon_accent_empty	0.000000	0.000000	0.037598	0.150391	0	0	77	77	
icon_accent_angelWings	0.037598	0.000000	0.075195	0.150391	77	0	154	77	
icon_accent_arrows	0.075195	0.000000	0.112793	0.150391	154	0	231	77	
icon_accent_axes	0.112793	0.000000	0.150391	0.150391	231	0	308	77	
icon_accent_bar	0.150391	0.000000	0.187988	0.150391	308	0	385	77	
icon_accent_beetles	0.187988	0.000000	0.225586	0.150391	385	0	462	77	
icon_accent_beetles2	0.225586	0.000000	0.263184	0.150391	462	0	539	77	
icon_accent_blizzcon2013	0.263184	0.000000	0.300781	0.150391	539	0	616	77	
icon_accent_blowingWind	0.300781	0.000000	0.338379	0.150391	616	0	693	77	
icon_accent_bow	0.338379	0.000000	0.375977	0.150391	693	0	770	77	
icon_accent_branch	0.375977	0.000000	0.413574	0.150391	770	0	847	77	
icon_accent_butterflies	0.413574	0.000000	0.451172	0.150391	847	0	924	77	
icon_accent_candle	0.451172	0.000000	0.488770	0.150391	924	0	1001	77	
icon_accent_celticKnot	0.488770	0.000000	0.526367	0.150391	1001	0	1078	77	
icon_accent_chains	0.526367	0.000000	0.563965	0.150391	1078	0	1155	77	
icon_accent_cherubWings	0.563965	0.000000	0.601563	0.150391	1155	0	1232	77	
icon_accent_classBarbarian	0.601563	0.000000	0.639160	0.150391	1232	0	1309	77	
icon_accent_classDemonHunter	0.639160	0.000000	0.676758	0.150391	1309	0	1386	77	
icon_accent_classMonk	0.676758	0.000000	0.714355	0.150391	1386	0	1463	77	
icon_accent_classWitchDoctor	0.714355	0.000000	0.751953	0.150391	1463	0	1540	77	
icon_accent_classWizard	0.751953	0.000000	0.789551	0.150391	1540	0	1617	77	
icon_accent_cleaver	0.789551	0.000000	0.827148	0.150391	1617	0	1694	77	
icon_accent_crossBones	0.827148	0.000000	0.864746	0.150391	1694	0	1771	77	
icon_accent_crossedStaff	0.864746	0.000000	0.902344	0.150391	1771	0	1848	77	
icon_accent_crown	0.902344	0.000000	0.939941	0.150391	1848	0	1925	77	
icon_accent_crown2	0.939941	0.000000	0.977539	0.150391	1925	0	2002	77	
icon_accent_cup	0.000000	0.150391	0.037598	0.300781	0	77	77	154	
icon_accent_curve	0.037598	0.150391	0.075195	0.300781	77	77	154	154	
icon_accent_daggerHeart	0.075195	0.150391	0.112793	0.300781	154	77	231	154	
icon_accent_design1	0.112793	0.150391	0.150391	0.300781	231	77	308	154	
icon_accent_design2	0.150391	0.150391	0.187988	0.300781	308	77	385	154	
icon_accent_design3	0.187988	0.150391	0.225586	0.300781	385	77	462	154	
icon_accent_design4	0.225586	0.150391	0.263184	0.300781	462	77	539	154	
icon_accent_doctor1	0.263184	0.150391	0.300781	0.300781	539	77	616	154	
icon_accent_doctor2	0.300781	0.150391	0.338379	0.300781	616	77	693	154	
icon_accent_dragon	0.338379	0.150391	0.375977	0.300781	693	77	770	154	
icon_accent_filigree	0.375977	0.150391	0.413574	0.300781	770	77	847	154	
icon_accent_filigree2	0.413574	0.150391	0.451172	0.300781	847	77	924	154	
icon_accent_fire	0.451172	0.150391	0.488770	0.300781	924	77	1001	154	
icon_accent_fistBlade	0.488770	0.150391	0.526367	0.300781	1001	77	1078	154	
icon_accent_flowerBanner	0.526367	0.150391	0.563965	0.300781	1078	77	1155	154	
icon_accent_flowers	0.563965	0.150391	0.601563	0.300781	1155	77	1232	154	
icon_accent_gauntlets	0.601563	0.150391	0.639160	0.300781	1232	77	1309	154	
icon_accent_gem	0.639160	0.150391	0.676758	0.300781	1309	77	1386	154	
icon_accent_gold	0.676758	0.150391	0.714355	0.300781	1386	77	1463	154	
icon_accent_halberd	0.714355	0.150391	0.751953	0.300781	1463	77	1540	154	
icon_accent_hearts	0.751953	0.150391	0.789551	0.300781	1540	77	1617	154	
icon_accent_heartWithThorns	0.789551	0.150391	0.827148	0.300781	1617	77	1694	154	
icon_accent_helmet	0.827148	0.150391	0.864746	0.300781	1694	77	1771	154	
icon_accent_helmet2	0.864746	0.150391	0.902344	0.300781	1771	77	1848	154	
icon_accent_helmetSword	0.902344	0.150391	0.939941	0.300781	1848	77	1925	154	
icon_accent_horns	0.939941	0.150391	0.977539	0.300781	1925	77	2002	154	
icon_accent_horns2	0.000000	0.300781	0.037598	0.451172	0	154	77	231	
icon_accent_horse	0.037598	0.300781	0.075195	0.451172	77	154	154	231	
icon_accent_jewels	0.075195	0.300781	0.112793	0.451172	154	154	231	231	
icon_accent_key	0.112793	0.300781	0.150391	0.451172	231	154	308	231	
icon_accent_leaves	0.150391	0.300781	0.187988	0.451172	308	154	385	231	
icon_accent_lightning	0.187988	0.300781	0.225586	0.451172	385	154	462	231	
icon_accent_lion	0.225586	0.300781	0.263184	0.451172	462	154	539	231	
icon_accent_locusts	0.263184	0.300781	0.300781	0.451172	539	154	616	231	
icon_accent_longSword	0.300781	0.300781	0.338379	0.451172	616	154	693	231	
icon_accent_monsterClaw	0.338379	0.300781	0.375977	0.451172	693	154	770	231	
icon_accent_pipe	0.375977	0.300781	0.413574	0.451172	770	154	847	231	
icon_accent_potion	0.413574	0.300781	0.451172	0.451172	847	154	924	231	
icon_accent_quiver	0.451172	0.300781	0.488770	0.451172	924	154	1001	231	
icon_accent_rapier	0.488770	0.300781	0.526367	0.451172	1001	154	1078	231	
icon_accent_scimitar	0.526367	0.300781	0.563965	0.451172	1078	154	1155	231	
icon_accent_scroll	0.563965	0.300781	0.601563	0.451172	1155	154	1232	231	
icon_accent_skeletonHands	0.601563	0.300781	0.639160	0.451172	1232	154	1309	231	
icon_accent_spider	0.639160	0.300781	0.676758	0.451172	1309	154	1386	231	
icon_accent_spreadWings	0.676758	0.300781	0.714355	0.451172	1386	154	1463	231	
icon_accent_star	0.714355	0.300781	0.751953	0.451172	1463	154	1540	231	
icon_accent_swords	0.751953	0.300781	0.789551	0.451172	1540	154	1617	231	
icon_accent_swords2	0.789551	0.300781	0.827148	0.451172	1617	154	1694	231	
icon_accent_swords3	0.827148	0.300781	0.864746	0.451172	1694	154	1771	231	
icon_accent_tentacles	0.864746	0.300781	0.902344	0.451172	1771	154	1848	231	
icon_accent_thorns	0.902344	0.300781	0.939941	0.451172	1848	154	1925	231	
icon_accent_treeBranch	0.939941	0.300781	0.977539	0.451172	1925	154	2002	231	
icon_accent_tribal	0.000000	0.451172	0.037598	0.601563	0	231	77	308	
icon_accent_water	0.037598	0.451172	0.075195	0.601563	77	231	154	308	
icon_accent_wings	0.075195	0.451172	0.112793	0.601563	154	231	231	308	
icon_accent_wings2	0.112793	0.451172	0.150391	0.601563	231	231	308	308	
icon_accent_wings3	0.150391	0.451172	0.187988	0.601563	308	231	385	308	
icon_accent_wolf	0.187988	0.451172	0.225586	0.601563	385	231	462	308	
icon_accent_HeartOfTheSwarm	0.225586	0.451172	0.263184	0.601563	462	231	539	308	
icon_accent_wow_panda	0.263184	0.451172	0.300781	0.601563	539	231	616	308	
icon_accent_CalloutAvenger	0.300781	0.451172	0.338379	0.601563	616	231	693	308	
icon_accent_CalloutBloodbath	0.338379	0.451172	0.375977	0.601563	693	231	770	308	
icon_accent_CalloutSavior	0.375977	0.451172	0.413574	0.601563	770	231	847	308	
