Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
oneSigil_center	0.000977	0.007813	0.076172	0.609375	1	1	78	78	
oneSigil_center_B	0.078125	0.007813	0.153320	0.609375	80	1	157	78	
oneSigil_downLeft	0.155273	0.007813	0.230469	0.609375	159	1	236	78	
oneSigil_downRight	0.232422	0.007813	0.307617	0.609375	238	1	315	78	
oneSigil_upLeft	0.309570	0.007813	0.384766	0.609375	317	1	394	78	
oneSigil_upRight	0.386719	0.007813	0.461914	0.609375	396	1	473	78	
twoSigils_center	0.463867	0.007813	0.539063	0.609375	475	1	552	78	
twoSigils_cornersLR	0.541016	0.007813	0.616211	0.609375	554	1	631	78	
twoSigils_cornersRL	0.618164	0.007813	0.693359	0.609375	633	1	710	78	
twoSigils_cornersUp	0.695313	0.007813	0.770508	0.609375	712	1	789	78	
twoSigils_cornersDown	0.772461	0.007813	0.847656	0.609375	791	1	868	78	
fourSigils_corners	0.849609	0.007813	0.924805	0.609375	870	1	947	78	
