Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
icon_sigil_Axe_01	0.000000	0.000000	0.037598	0.150391	0	0	77	77	
icon_sigil_Axe_01_alt	0.037598	0.000000	0.075195	0.150391	77	0	154	77	
icon_sigil_Bird_01	0.075195	0.000000	0.112793	0.150391	154	0	231	77	
icon_sigil_Bird_01_alt	0.112793	0.000000	0.150391	0.150391	231	0	308	77	
icon_sigil_Crus_01_alt	0.150391	0.000000	0.187988	0.150391	308	0	385	77	
icon_sigil_Crus_01_alt_01	0.187988	0.000000	0.225586	0.150391	385	0	462	77	
icon_sigil_Flail_01	0.225586	0.000000	0.263184	0.150391	462	0	539	77	
icon_sigil_Flail_01_alt	0.263184	0.000000	0.300781	0.150391	539	0	616	77	
icon_sigil_Hood_01	0.300781	0.000000	0.338379	0.150391	616	0	693	77	
icon_sigil_Hood_01_alt	0.338379	0.000000	0.375977	0.150391	693	0	770	77	
icon_sigil_Malskull_0	0.375977	0.000000	0.413574	0.150391	770	0	847	77	
icon_sigil_Malskull_01_alt	0.413574	0.000000	0.451172	0.150391	847	0	924	77	
icon_sigil_Orb_01	0.451172	0.000000	0.488770	0.150391	924	0	1001	77	
icon_sigil_Orb_01_alt	0.488770	0.000000	0.526367	0.150391	1001	0	1078	77	
icon_sigil_Rose_01	0.526367	0.000000	0.563965	0.150391	1078	0	1155	77	
icon_sigil_Rose_01_alt	0.563965	0.000000	0.601563	0.150391	1155	0	1232	77	
icon_sigil_Scythe_02	0.601563	0.000000	0.639160	0.150391	1232	0	1309	77	
icon_sigil_Scythe_02_alt	0.639160	0.000000	0.676758	0.150391	1309	0	1386	77	
icon_sigil_Shield_03	0.676758	0.000000	0.714355	0.150391	1386	0	1463	77	
icon_sigil_Shield_03_alt	0.714355	0.000000	0.751953	0.150391	1463	0	1540	77	
icon_sigil_Sickle_01	0.751953	0.000000	0.789551	0.150391	1540	0	1617	77	
icon_sigil_Sickle_01_alt	0.789551	0.000000	0.827148	0.150391	1617	0	1694	77	
icon_sigil_Soulstone_01	0.827148	0.000000	0.864746	0.150391	1694	0	1771	77	
icon_sigil_Soulstone_01_alt	0.864746	0.000000	0.902344	0.150391	1771	0	1848	77	
icon_sigil_season01_Main_allseeing_01	0.902344	0.000000	0.939941	0.150391	1848	0	1925	77	
icon_sigil_season01_Main_allseeing_01_alt	0.939941	0.000000	0.977539	0.150391	1925	0	2002	77	
icon_sigil_season02_Main_Leaf_01	0.000000	0.150391	0.037598	0.300781	0	77	77	154	
icon_sigil_season02_Main_Leaf_01_alt	0.037598	0.150391	0.075195	0.300781	77	77	154	154	
icon_sigil_setdungeon_Main_ImmortalKing_01	0.075195	0.150391	0.112793	0.300781	154	77	231	154	
icon_sigil_setdungeon_Main_ImmortalKing_01_alt	0.112793	0.150391	0.150391	0.300781	231	77	308	154	
icon_sigil_setdungeon_Main_WrathOfWastes_01	0.150391	0.150391	0.187988	0.300781	308	77	385	154	
icon_sigil_setdungeon_Main_WrathOfWastes_01_alt	0.187988	0.150391	0.225586	0.300781	385	77	462	154	
icon_sigil_setdungeon_Main_LegacyOfRaekor_01	0.225586	0.150391	0.263184	0.300781	462	77	539	154	
icon_sigil_setdungeon_Main_LegacyOfRaekor_01_alt	0.263184	0.150391	0.300781	0.300781	539	77	616	154	
icon_sigil_setdungeon_Main_MightOfEarth_01	0.300781	0.150391	0.338379	0.300781	616	77	693	154	
icon_sigil_setdungeon_Main_MightOfEarth_01_alt	0.338379	0.150391	0.375977	0.300781	693	77	770	154	
icon_sigil_setdungeon_Main_InnasMantra_01	0.375977	0.150391	0.413574	0.300781	770	77	847	154	
icon_sigil_setdungeon_Main_InnasMantra_01_alt	0.413574	0.150391	0.451172	0.300781	847	77	924	154	
icon_sigil_setdungeon_Main_TenThousandStorms_01	0.451172	0.150391	0.488770	0.300781	924	77	1001	154	
icon_sigil_setdungeon_Main_TenThousandStorms_01_alt	0.488770	0.150391	0.526367	0.300781	1001	77	1078	154	
icon_sigil_setdungeon_Main_MonkeyKingsGarb_01	0.526367	0.150391	0.563965	0.300781	1078	77	1155	154	
icon_sigil_setdungeon_Main_MonkeyKingsGarb_01_alt	0.563965	0.150391	0.601563	0.300781	1155	77	1232	154	
icon_sigil_setdungeon_Main_UlianasStratagem_01	0.601563	0.150391	0.639160	0.300781	1232	77	1309	154	
icon_sigil_setdungeon_Main_UlianasStratagem_01_alt	0.639160	0.150391	0.676758	0.300781	1309	77	1386	154	
icon_sigil_setdungeon_Main_ArmorOfAkkhan_01	0.676758	0.150391	0.714355	0.300781	1386	77	1463	154	
icon_sigil_setdungeon_Main_ArmorOfAkkhan_01_alt	0.714355	0.150391	0.751953	0.300781	1463	77	1540	154	
icon_sigil_setdungeon_Main_RolandsLegacy_01	0.751953	0.150391	0.789551	0.300781	1540	77	1617	154	
icon_sigil_setdungeon_Main_RolandsLegacy_01_alt	0.789551	0.150391	0.827148	0.300781	1617	77	1694	154	
icon_sigil_setdungeon_Main_SeekerOfTheLight_01	0.827148	0.150391	0.864746	0.300781	1694	77	1771	154	
icon_sigil_setdungeon_Main_SeekerOfTheLight_01_alt	0.864746	0.150391	0.902344	0.300781	1771	77	1848	154	
icon_sigil_setdungeon_Main_ThornsOfTheInvoker_01	0.902344	0.150391	0.939941	0.300781	1848	77	1925	154	
icon_sigil_setdungeon_Main_ThornsOfTheInvoker_01_alt	0.939941	0.150391	0.977539	0.300781	1925	77	2002	154	
icon_sigil_setdungeon_Main_ZunimassasHaunt_01	0.000000	0.300781	0.037598	0.451172	0	154	77	231	
icon_sigil_setdungeon_Main_ZunimassasHaunt_01_alt	0.037598	0.300781	0.075195	0.451172	77	154	154	231	
icon_sigil_setdungeon_Main_HelltoothHarness_01	0.075195	0.300781	0.112793	0.451172	154	154	231	231	
icon_sigil_setdungeon_Main_HelltoothHarness_01_alt	0.112793	0.300781	0.150391	0.451172	231	154	308	231	
icon_sigil_setdungeon_Main_JadeHarvester_01	0.150391	0.300781	0.187988	0.451172	308	154	385	231	
icon_sigil_setdungeon_Main_JadeHarvester_01_alt	0.187988	0.300781	0.225586	0.451172	385	154	462	231	
icon_sigil_setdungeon_Main_SpiritOfArachyr_01	0.225586	0.300781	0.263184	0.451172	462	154	539	231	
icon_sigil_setdungeon_Main_SpiritOfArachyr_01_alt	0.263184	0.300781	0.300781	0.451172	539	154	616	231	
icon_sigil_setdungeon_Main_FirebirdsFinery_01	0.300781	0.300781	0.338379	0.451172	616	154	693	231	
icon_sigil_setdungeon_Main_FirebirdsFinery_01_alt	0.338379	0.300781	0.375977	0.451172	693	154	770	231	
icon_sigil_setdungeon_Main_TalRashasElements_01	0.375977	0.300781	0.413574	0.451172	770	154	847	231	
icon_sigil_setdungeon_Main_TalRashasElements_01_alt	0.413574	0.300781	0.451172	0.451172	847	154	924	231	
icon_sigil_setdungeon_Main_VyrnsAmazingArcana_01	0.451172	0.300781	0.488770	0.451172	924	154	1001	231	
icon_sigil_setdungeon_Main_VyrnsAmazingArcana_01_alt	0.488770	0.300781	0.526367	0.451172	1001	154	1078	231	
icon_sigil_setdungeon_Main_DelseresMagnumOpus_01	0.526367	0.300781	0.563965	0.451172	1078	154	1155	231	
icon_sigil_setdungeon_Main_DelseresMagnumOpus_01_alt	0.563965	0.300781	0.601563	0.451172	1155	154	1232	231	
icon_sigil_setdungeon_Main_EmbodimentOfTheMarauder_01	0.601563	0.300781	0.639160	0.451172	1232	154	1309	231	
icon_sigil_setdungeon_Main_EmbodimentOfTheMarauder_01_alt	0.639160	0.300781	0.676758	0.451172	1309	154	1386	231	
icon_sigil_setdungeon_Main_TheShadowsMantle_01	0.676758	0.300781	0.714355	0.451172	1386	154	1463	231	
icon_sigil_setdungeon_Main_TheShadowsMantle_01_alt	0.714355	0.300781	0.751953	0.451172	1463	154	1540	231	
icon_sigil_setdungeon_Main_NatalyasVengeance_01	0.751953	0.300781	0.789551	0.451172	1540	154	1617	231	
icon_sigil_setdungeon_Main_NatalyasVengeance_01_alt	0.789551	0.300781	0.827148	0.451172	1617	154	1694	231	
icon_sigil_setdungeon_Main_UnhallowedEssence_01	0.827148	0.300781	0.864746	0.451172	1694	154	1771	231	
icon_sigil_setdungeon_Main_UnhallowedEssence_01_alt	0.864746	0.300781	0.902344	0.451172	1771	154	1848	231	
icon_sigil_Necromancer_01	0.902344	0.300781	0.939941	0.451172	1848	154	1925	231	
