Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
icon_sigil_angelic-alt_Beta	0.000000	0.000000	0.037598	0.601563	0	0	77	77	
icon_sigil_angelic_Beta	0.037598	0.000000	0.075195	0.601563	77	0	154	77	
icon_sigil_corruptMace-alt_Beta	0.075195	0.000000	0.112793	0.601563	154	0	231	77	
icon_sigil_corruptMace_Beta	0.112793	0.000000	0.150391	0.601563	231	0	308	77	
icon_sigil_crow-alt_Beta	0.150391	0.000000	0.187988	0.601563	308	0	385	77	
icon_sigil_crow_Beta	0.187988	0.000000	0.225586	0.601563	385	0	462	77	
icon_sigil_diablo-alt_Beta	0.225586	0.000000	0.263184	0.601563	462	0	539	77	
icon_sigil_diablo_Beta	0.263184	0.000000	0.300781	0.601563	539	0	616	77	
icon_sigil_shield-alt_Beta	0.300781	0.000000	0.338379	0.601563	616	0	693	77	
icon_sigil_shield_Beta	0.338379	0.000000	0.375977	0.601563	693	0	770	77	
icon_sigil_skull-alt_Beta	0.375977	0.000000	0.413574	0.601563	770	0	847	77	
icon_sigil_skull_Beta	0.413574	0.000000	0.451172	0.601563	847	0	924	77	
icon_sigil_skull2-alt_Beta	0.451172	0.000000	0.488770	0.601563	924	0	1001	77	
icon_sigil_skull2_Beta	0.488770	0.000000	0.526367	0.601563	1001	0	1078	77	
