Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
icon_sigil_allseeing	0.000977	0.001953	0.038574	0.077148	2	2	79	79	
icon_sigil_allseeing-alt	0.040527	0.001953	0.078125	0.077148	83	2	160	79	
icon_sigil_angelic	0.080078	0.001953	0.117676	0.077148	164	2	241	79	
icon_sigil_angelic-alt	0.119629	0.001953	0.157227	0.077148	245	2	322	79	
icon_sigil_azmodan	0.159180	0.001953	0.196777	0.077148	326	2	403	79	
icon_sigil_azmodan-alt	0.198730	0.001953	0.236328	0.077148	407	2	484	79	
icon_sigil_azmodan2	0.238281	0.001953	0.275879	0.077148	488	2	565	79	
icon_sigil_azmodan2-alt	0.277832	0.001953	0.315430	0.077148	569	2	646	79	
icon_sigil_barbarian_promo	0.317383	0.001953	0.354980	0.077148	650	2	727	79	
icon_sigil_barbarian_promo-alt	0.356934	0.001953	0.394531	0.077148	731	2	808	79	
icon_sigil_bat	0.396484	0.001953	0.434082	0.077148	812	2	889	79	
icon_sigil_bat-alt	0.436035	0.001953	0.473633	0.077148	893	2	970	79	
icon_sigil_bear	0.475586	0.001953	0.513184	0.077148	974	2	1051	79	
icon_sigil_bear-alt	0.515137	0.001953	0.552734	0.077148	1055	2	1132	79	
icon_sigil_bearClaw	0.554688	0.001953	0.592285	0.077148	1136	2	1213	79	
icon_sigil_bearClaw-alt	0.594238	0.001953	0.631836	0.077148	1217	2	1294	79	
icon_sigil_beastmonster	0.633789	0.001953	0.671387	0.077148	1298	2	1375	79	
icon_sigil_beastmonster-alt	0.673340	0.001953	0.710938	0.077148	1379	2	1456	79	
icon_sigil_beetle	0.712891	0.001953	0.750488	0.077148	1460	2	1537	79	
icon_sigil_beetle-alt	0.752441	0.001953	0.790039	0.077148	1541	2	1618	79	
icon_sigil_belial	0.791992	0.001953	0.829590	0.077148	1622	2	1699	79	
icon_sigil_belial-alt	0.831543	0.001953	0.869141	0.077148	1703	2	1780	79	
icon_sigil_blizzcon2013	0.871094	0.001953	0.908691	0.077148	1784	2	1861	79	
icon_sigil_blizzcon2013-alt	0.910645	0.001953	0.948242	0.077148	1865	2	1942	79	
icon_sigil_ButcherCleaver	0.950195	0.001953	0.987793	0.077148	1946	2	2023	79	
icon_sigil_ButcherCleaver-alt	0.000977	0.081055	0.038574	0.156250	2	83	79	160	
icon_sigil_chakraml	0.040527	0.081055	0.078125	0.156250	83	83	160	160	
icon_sigil_chakraml-alt	0.080078	0.081055	0.117676	0.156250	164	83	241	160	
icon_sigil_chicken	0.119629	0.081055	0.157227	0.156250	245	83	322	160	
icon_sigil_chicken-alt	0.159180	0.081055	0.196777	0.156250	326	83	403	160	
icon_sigil_clover	0.198730	0.081055	0.236328	0.156250	407	83	484	160	
icon_sigil_clover-alt	0.238281	0.081055	0.275879	0.156250	488	83	565	160	
icon_sigil_collector_promo	0.277832	0.081055	0.315430	0.156250	569	83	646	160	
icon_sigil_collector_promo-alt	0.317383	0.081055	0.354980	0.156250	650	83	727	160	
icon_sigil_CrafterDemon	0.356934	0.081055	0.394531	0.156250	731	83	808	160	
icon_sigil_CrafterDemon-alt	0.396484	0.081055	0.434082	0.156250	812	83	889	160	
icon_sigil_crazyskull	0.436035	0.081055	0.473633	0.156250	893	83	970	160	
icon_sigil_crazyskull-alt	0.475586	0.081055	0.513184	0.156250	974	83	1051	160	
icon_sigil_crow	0.515137	0.081055	0.552734	0.156250	1055	83	1132	160	
icon_sigil_crow-alt	0.554688	0.081055	0.592285	0.156250	1136	83	1213	160	
icon_sigil_CrowMoon	0.594238	0.081055	0.631836	0.156250	1217	83	1294	160	
icon_sigil_CrowMoon-alt	0.633789	0.081055	0.671387	0.156250	1298	83	1375	160	
icon_sigil_demon	0.673340	0.081055	0.710938	0.156250	1379	83	1456	160	
icon_sigil_demon-alt	0.712891	0.081055	0.750488	0.156250	1460	83	1537	160	
icon_sigil_demon2	0.752441	0.081055	0.790039	0.156250	1541	83	1618	160	
icon_sigil_demon2-alt	0.791992	0.081055	0.829590	0.156250	1622	83	1699	160	
icon_sigil_demon3	0.831543	0.081055	0.869141	0.156250	1703	83	1780	160	
icon_sigil_demon3-alt	0.871094	0.081055	0.908691	0.156250	1784	83	1861	160	
icon_sigil_DemonHorse	0.910645	0.081055	0.948242	0.156250	1865	83	1942	160	
icon_sigil_DemonHorse-alt	0.950195	0.081055	0.987793	0.156250	1946	83	2023	160	
icon_sigil_demonhunter_promo	0.000977	0.160156	0.038574	0.235352	2	164	79	241	
icon_sigil_demonhunter_promo-alt	0.040527	0.160156	0.078125	0.235352	83	164	160	241	
icon_sigil_DemonicBallista	0.080078	0.160156	0.117676	0.235352	164	164	241	241	
icon_sigil_DemonicBallista-alt	0.119629	0.160156	0.157227	0.235352	245	164	322	241	
icon_sigil_despair	0.159180	0.160156	0.196777	0.235352	326	164	403	241	
