Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
Blizzcon_2016_DiabloLogo	0.000977	0.158691	0.472656	0.572754	2	325	968	1173	
Blizzcon_2016_Logo	0.832031	0.000977	0.970215	0.090820	1704	2	1987	186	
Blizzcon_2016_Button_Singleplayer_Off	0.768555	0.158691	0.989746	0.212891	1574	325	2027	436	
Blizzcon_2016_Button_Singleplayer_Down	0.768555	0.214844	0.989746	0.269043	1574	440	2027	551	
Blizzcon_2016_Button_Singleplayer_Over	0.768555	0.270996	0.989746	0.325195	1574	555	2027	666	
Blizzcon_2016_ButtonFrame	0.637695	0.093750	0.863770	0.152344	1306	192	1769	312	
Blizzcon_2016_NecroTopBorder	0.000977	0.000977	0.830078	0.091797	2	2	1700	188	
Blizzcon_2016_NecroTopRightEndCap	0.474609	0.364746	0.707520	0.436035	972	747	1449	893	
Blizzcon_2016_NecroBotBorder	0.000977	0.093750	0.635742	0.156738	2	192	1302	321	
Blizzcon_2016_NecroBotEndCap	0.474609	0.158691	0.766602	0.362793	972	325	1570	743	
