Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetAchievements_FanfareFrame	0.001953	0.497070	0.361328	0.710938	2	509	370	728	
BattleNetAchievements_FanfareTextGlow	0.001953	0.001953	0.546875	0.081055	2	2	560	83	
BattleNetAchievements_FanfareTextGlowGreen	0.550781	0.001953	0.938477	0.081055	564	2	961	83	
BattleNetAchievements_FanfareTextShadow	0.001953	0.084961	0.546875	0.164063	2	87	560	168	
BattleNetAchievements_FanfareShield	0.550781	0.084961	0.630859	0.143555	564	87	646	147	
BattleNetAchievements_FanfareFeatOfStrength	0.942383	0.001953	0.997070	0.060547	965	2	1021	62	
BattleNetAchievements_FanfareIconBG_p1	0.550781	0.167969	0.628906	0.246094	564	172	644	252	
BattleNetAchievements_FanfareFrame_p1	0.001953	0.714844	0.361328	0.939453	2	732	370	962	
BattleNetAchievements_FanfareFrameSeasonStart_p1	0.461914	0.250977	0.821289	0.475586	473	257	841	487	
BattleNetAchievements_FanfareIconSeasonStart_p1	0.825195	0.250977	0.911133	0.336914	845	257	933	345	
BattleNetAchievements_FanfareFrame_Kill_p2	0.001953	0.250977	0.458008	0.493164	2	257	469	505	
BattleNetAchievements_Fanfare_SignifcantKill_TextGlow	0.001953	0.167969	0.546875	0.247070	2	172	560	253	
