Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetAchievements_RewardIconBg	0.904785	0.256348	0.953613	0.304688	1853	525	1953	624	
BattleNetAchievements_RewardIconLocked	0.969238	0.000488	0.984863	0.021484	1985	1	2017	44	
BattleNetAchievements_RewardsSubTitle	0.437500	0.488281	0.871582	0.515137	896	1000	1785	1055	
BattleNetAchievements_RewardsSummaryBanner	0.682617	0.000488	0.903809	0.311035	1398	1	1851	637	
BattleNetAchievements_RewardsSummaryBg	0.000488	0.000488	0.671875	0.388672	1	1	1376	796	
BattleNetAchievements_RewardsMarkIcon	0.969238	0.022461	0.989258	0.043457	1985	46	2026	89	
BattleNetAchievements_RewardIconDown	0.954590	0.256348	0.998047	0.299805	1955	525	2044	614	
BattleNetAchievements_RewardListBg	0.000488	0.488281	0.436523	0.822266	1	1000	894	1684	
BattleNetAchievements_RewardListBgBottom	0.457520	0.436523	0.893555	0.459961	937	894	1830	942	
BattleNetAchievements_RewardsSummaryHeader	0.000488	0.436523	0.456543	0.487305	1	894	935	998	
BattleNetAchievements_RewardsIconCompareDivider	0.672852	0.000488	0.681641	0.312988	1378	1	1396	641	
BattleNetAchievements_RewardsIconCompareHeader	0.459961	0.389648	0.918457	0.435547	942	798	1881	892	
BattleNetAchievements_RewardsTitleCompareHeader	0.000488	0.389648	0.458984	0.435547	1	798	940	892	
BattleNetAchievements_TitleListBorderBottom	0.457520	0.460938	0.856445	0.466797	937	944	1754	956	
BattleNetAchievements_TitleListItemBorder	0.437500	0.516113	0.836426	0.764648	896	1057	1713	1566	
BattleNetAchievements_TitleListItemBottomBorder	0.457520	0.467773	0.801270	0.472656	937	958	1641	968	
BattleNetAchievements_TitleListIcon_Barbarian	0.672852	0.313965	0.736328	0.376953	1378	643	1508	772	
BattleNetAchievements_TitleListIcon_Campaign	0.737305	0.313965	0.800781	0.376953	1510	643	1640	772	
BattleNetAchievements_TitleListIcon_Challenge	0.801758	0.313965	0.865234	0.376953	1642	643	1772	772	
BattleNetAchievements_TitleListIcon_Cooperative	0.866211	0.313965	0.929688	0.376953	1774	643	1904	772	
BattleNetAchievements_TitleListIcon_Crafting	0.930664	0.313965	0.994141	0.376953	1906	643	2036	772	
BattleNetAchievements_TitleListIcon_DemonHunter	0.837402	0.516113	0.900879	0.579102	1715	1057	1845	1186	
BattleNetAchievements_TitleListIcon_FeatsOfStrength	0.901855	0.516113	0.965332	0.579102	1847	1057	1977	1186	
BattleNetAchievements_TitleListIcon_General	0.904785	0.192383	0.968262	0.255371	1853	394	1983	523	
BattleNetAchievements_TitleListIcon_Monk	0.904785	0.128418	0.968262	0.191406	1853	263	1983	392	
BattleNetAchievements_TitleListIcon_WitchDoctor	0.904785	0.064453	0.968262	0.127441	1853	132	1983	261	
BattleNetAchievements_TitleListIcon_Wizard	0.904785	0.000488	0.968262	0.063477	1853	1	1983	130	
