Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetAchievements_ProgressCover	0.588867	0.298828	0.618652	0.328125	1206	612	1267	672	
BattleNetAchievements_ProgressFill	0.554688	0.298828	0.587891	0.332031	1136	612	1204	680	
BattleNetAchievements_ProgressFull	0.902832	0.192383	0.936035	0.227539	1849	394	1917	466	
BattleNetAchievements_SummaryBackground	0.000488	0.053711	0.457031	0.431641	1	110	936	884	
BattleNetAchievements_SummaryHeader	0.461914	0.000488	0.919434	0.027832	946	1	1883	57	
BattleNetAchievements_ShowcaseTitle	0.897949	0.053711	0.982422	0.082031	1839	110	2012	168	
BattleNetAchievements_MenuCategoryBackground	0.701660	0.192383	0.901855	0.232422	1437	394	1847	476	
BattleNetAchievements_MenuSubCategoryUp	0.701660	0.233398	0.880859	0.258301	1437	478	1804	529	
BattleNetAchievements_MenuSubCategoryOver	0.701660	0.259277	0.880859	0.284180	1437	531	1804	582	
BattleNetAchievements_MenuSubCategorySelected	0.760742	0.147461	0.939941	0.172363	1558	302	1925	353	
BattleNetAchievements_TooltipBody	0.469727	0.118164	0.759766	0.177246	962	242	1556	363	
BattleNetAchievements_TooltipBottom	0.469727	0.178223	0.759766	0.191406	962	365	1556	392	
BattleNetAchievements_TooltipHeader	0.469727	0.083008	0.759766	0.117188	962	170	1556	240	
BattleNetAchievements_RecentTextBg	0.469727	0.298828	0.553711	0.386719	962	612	1134	792	
BattleNetAchievements_CompareHeader	0.000488	0.000488	0.460938	0.027832	1	1	944	57	
BattleNetAchievements_CompareTiledHeader	0.000488	0.028809	0.457520	0.052734	1	59	937	108	
BattleNetAchievements_CompareDivider	0.458008	0.083008	0.468750	0.413574	938	170	960	847	
BattleNetAchievements_RewardTooltipBg	0.469727	0.192383	0.700684	0.297852	962	394	1435	610	
BattleNetAchievements_CategoryMenuBg	0.000488	0.432617	0.223633	0.807617	1	886	458	1654	
BattleNetAchievements_RewardCategoryMenuBg	0.224609	0.432617	0.429688	0.807617	460	886	880	1654	
BattleNetAchievements_ScoreIcon	0.920410	0.000488	0.934082	0.017578	1885	1	1913	36	
BattleNetAchievements_ConquestIcon	0.937012	0.192383	0.971191	0.226563	1919	394	1989	464	
BattleNetAchievements_LargeProgressBar	0.458008	0.053711	0.896973	0.082031	938	110	1837	168	
BattleNetAchievements_SummaryProgressBar	0.760742	0.083008	0.981445	0.111328	1558	170	2010	228	
BattleNetAchievements_SummaryProgressFeat	0.760742	0.118164	0.981445	0.146484	1558	242	2010	300	
BattleNetAchievements_LargeProgressFill	0.458496	0.028809	0.829102	0.043945	939	59	1698	90	
BattleNetAchievements_SummaryProgressFill	0.830078	0.028809	0.982422	0.043457	1700	59	2012	89	
