Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetAuctionHouse_ListItemOver	0.000488	0.264648	0.658203	0.290039	1	542	1348	594	
BattleNetAuctionHouse_ListItemUp	0.000488	0.211914	0.658203	0.237305	1	434	1348	486	
BattleNetAuctionHouse_ListItemNarrowOver	0.000488	0.317383	0.642090	0.342773	1	650	1315	702	
BattleNetAuctionHouse_ListItemNarrowUp	0.000488	0.291016	0.642090	0.316406	1	596	1315	648	
BattleNetAuctionHouse_ListTitleBar	0.000488	0.000488	0.668457	0.028809	1	1	1369	59	
BattleNetAuctionHouse_SortIconAsc	0.669434	0.020508	0.679688	0.028809	1371	42	1392	59	
BattleNetAuctionHouse_SortIconDesc	0.680664	0.020508	0.690918	0.028809	1394	42	1415	59	
BattleNetAuctionHouse_PageButtonOver	0.944824	0.000488	0.961426	0.017090	1935	1	1969	35	
BattleNetAuctionHouse_PageButtonUp	0.936035	0.101074	0.950684	0.116211	1917	207	1947	238	
BattleNetAuctionHouse_PageButtonSelected	0.969727	0.083984	0.984375	0.099121	1986	172	2016	203	
BattleNetAuctionHouse_PageLeftButtonDisabled	0.969727	0.049805	0.985352	0.065430	1986	102	2018	134	
BattleNetAuctionHouse_PageLeftButtonDown	0.973145	0.029785	0.988770	0.045410	1993	61	2025	93	
BattleNetAuctionHouse_PageLeftButtonOver	0.962402	0.000488	0.978027	0.016113	1971	1	2003	33	
BattleNetAuctionHouse_PageLeftButtonUp	0.953125	0.066895	0.968750	0.082520	1952	137	1984	169	
BattleNetAuctionHouse_PageRightButtonDisabled	0.969727	0.066895	0.985352	0.082520	1986	137	2018	169	
BattleNetAuctionHouse_PageRightButtonDown	0.979004	0.000488	0.994629	0.016113	2005	1	2037	33	
BattleNetAuctionHouse_PageRightButtonOver	0.953125	0.049805	0.968750	0.065430	1952	102	1984	134	
BattleNetAuctionHouse_PageRightButtonUp	0.953125	0.083984	0.968750	0.099609	1952	172	1984	204	
BattleNetAuctionHouse_ListItemButtonDisabled	0.761230	0.000488	0.852051	0.019531	1559	1	1745	40	
BattleNetAuctionHouse_ListItemButtonDown	0.853027	0.000488	0.943848	0.019531	1747	1	1933	40	
BattleNetAuctionHouse_ListItemButtonOver	0.881348	0.029785	0.972168	0.048828	1805	61	1991	100	
BattleNetAuctionHouse_ListItemButtonUp	0.669434	0.000488	0.760254	0.019531	1371	1	1557	40	
BattleNetAuctionHouse_ListItemNarrowSelected	0.000488	0.343750	0.642090	0.369141	1	704	1315	756	
BattleNetAuctionHouse_ListItemSelected	0.000488	0.238281	0.658203	0.263672	1	488	1348	540	
BattleNetAuctionHouse_SearchItemInfoPanel	0.000488	0.431152	0.475586	0.529785	1	883	974	1085	
BattleNetAuctionHouse_ListItemInputBg	0.881348	0.101074	0.935059	0.120605	1805	207	1915	247	
BattleNetAuctionHouse_ListExpired	0.881348	0.083984	0.952148	0.100098	1805	172	1950	205	
BattleNetAuctionHouse_ListItemDisabled	0.000488	0.180176	0.658691	0.210938	1	369	1349	432	
BattleNetAuctionHouse_ListItemNarrowDisabled	0.000488	0.370117	0.641602	0.400879	1	758	1314	821	
BattleNetAuctionHouse_ListNotWinning	0.881348	0.066895	0.952148	0.083008	1805	137	1950	170	
BattleNetAuctionHouse_ListTopBackground	0.000488	0.029785	0.663086	0.179199	1	61	1358	367	
BattleNetAuctionHouse_ListWinning	0.881348	0.049805	0.952148	0.065918	1805	102	1950	135	
BattleNetAuctionHouse_SearchListItemOver	0.476563	0.431152	0.947754	0.456543	976	883	1941	935	
BattleNetAuctionHouse_SearchListItemSelected	0.476563	0.457520	0.947754	0.482910	976	937	1941	989	
BattleNetAuctionHouse_SearchListItemUp	0.482422	0.401855	0.953613	0.427246	988	823	1953	875	
BattleNetAuctionHouse_SearchTitleBar	0.000488	0.401855	0.481445	0.430176	1	823	986	881	
BattleNetAuctionHouse_SellItemInventoryBackground	0.664063	0.029785	0.880371	0.164551	1360	61	1803	337	
BattleNetAuctionHouse_SellItemStashBackground	0.000488	0.530762	0.230469	0.869629	1	1087	472	1781	
BattleNetAuctionHouse_SellItemInputBoxSmall	0.881348	0.121582	0.930176	0.142578	1805	249	1905	292	
