Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetAuctionHouse_HorizontalSeparatorBar	0.341797	0.094727	0.717773	0.100586	350	97	735	103	
BattleNetAuctionHouse_MenuListItemOver	0.341797	0.429688	0.670898	0.480469	350	440	687	492	
BattleNetAuctionHouse_MenuListItemUp	0.341797	0.535156	0.670898	0.585938	350	548	687	600	
BattleNetAuctionHouse_MenuListItemNarrowOver	0.682617	0.155273	0.979492	0.206055	699	159	1003	211	
BattleNetAuctionHouse_MenuListItemNarrowUp	0.682617	0.208008	0.979492	0.258789	699	213	1003	265	
BattleNetAuctionHouse_MenuTitleBar	0.000977	0.000977	0.339844	0.649414	1	1	348	665	
BattleNetAuctionHouse_CharactersIcon	0.738281	0.260742	0.791992	0.318359	756	267	811	326	
BattleNetAuctionHouse_CraftingIcon	0.682617	0.260742	0.736328	0.318359	699	267	754	326	
BattleNetAuctionHouse_EquipmentIcon	0.793945	0.260742	0.847656	0.318359	813	267	868	326	
BattleNetAuctionHouse_GemsIcon	0.682617	0.320313	0.736328	0.377930	699	328	754	387	
BattleNetAuctionHouse_GoldIcon	0.905273	0.260742	0.958984	0.318359	927	267	982	326	
BattleNetAuctionHouse_TomesIcon	0.849609	0.260742	0.903320	0.318359	870	267	925	326	
BattleNetAuctionHouse_CompletedItemDetailsBg	0.341797	0.102539	0.680664	0.427734	350	105	697	438	
BattleNetAuctionHouse_MenuListItemNarrowSelected	0.682617	0.102539	0.979492	0.153320	699	105	1003	157	
BattleNetAuctionHouse_MenuListItemSelected	0.341797	0.482422	0.670898	0.533203	350	494	687	546	
BattleNetAuctionHouse_LevelInputTextBox	0.738281	0.320313	0.787109	0.360352	756	328	806	369	
BattleNetAuctionHouse_MenuInputTextBox	0.753906	0.000977	0.973633	0.041016	772	1	997	42	
BattleNetAuctionHouse_MenuLargeInputTextBox	0.720703	0.047852	0.999023	0.087891	738	49	1023	90	
BattleNetAuctionHouse_MenuListItemHeader	0.341797	0.000977	0.751953	0.045898	350	1	770	47	
BattleNetAuctionHouse_MenuListItemHeaderNarrow	0.341797	0.047852	0.718750	0.092773	350	49	736	95	
BattleNetAuctionHouse_BackButtonIconDisabled	0.960938	0.260742	0.983398	0.282227	984	267	1007	289	
BattleNetAuctionHouse_BackButtonIconUp	0.975586	0.000977	0.998047	0.022461	999	1	1022	23	
