Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetAuctionHouse_AuctionInfo	0.788086	0.071289	0.818359	0.101563	807	73	838	104	
BattleNetAuctionHouse_AuctionInfoOver	0.945313	0.014648	0.975586	0.044922	968	15	999	46	
BattleNetAuctionHouse_AuctionInfoDown	0.820313	0.071289	0.850586	0.101563	840	73	871	104	
BattleNetAuctionHouse_DialogItemDetailsLarge	0.000977	0.197266	0.497070	0.449219	1	202	509	460	
BattleNetAuctionHouse_DialogItemDetailsMedium	0.499023	0.197266	0.995117	0.431641	511	202	1019	442	
BattleNetAuctionHouse_DialogItemDetailsSmall	0.000977	0.000977	0.497070	0.195313	1	1	509	200	
BattleNetAuctionHouse_DialogPriceInputBox	0.788086	0.014648	0.943359	0.069336	807	15	966	71	
BattleNetAuctionHouse_FeesTooltipBg	0.000977	0.451172	0.412109	0.692383	1	462	422	709	
BattleNetAuctionHouse_ErrorTooltip	0.499023	0.014648	0.786133	0.107422	511	15	805	110	
BattleNetAuctionHouse_CreditCardIcon	0.499023	0.109375	0.651367	0.190430	511	112	667	195	
BattleNetAuctionHouse_DialogDivider	0.499023	0.000977	0.840820	0.012695	511	1	861	13	
BattleNetAuctionHouse_SmsIcon	0.414063	0.451172	0.544922	0.573242	424	462	558	587	
