Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetAuctionHouse_AccountBalanceBg	0.694824	0.000488	0.881348	0.022949	1423	1	1805	47	
BattleNetAuctionHouse_AccountButtonUp	0.685547	0.098145	0.716797	0.123535	1404	201	1468	253	
BattleNetAuctionHouse_AccountButtonOver	0.653320	0.098145	0.684570	0.123535	1338	201	1402	253	
BattleNetAuctionHouse_AccountButtonDown	0.717773	0.098145	0.749023	0.123535	1470	201	1534	253	
BattleNetAuctionHouse_AccountButtonDisabled	0.750000	0.098145	0.781250	0.123535	1536	201	1600	253	
BattleNetAuctionHouse_AddFundsIcon	0.694824	0.047852	0.708984	0.061523	1423	98	1452	126	
BattleNetAuctionHouse_AddFundsIconDisabled	0.984863	0.023926	0.999023	0.037598	2017	49	2046	77	
BattleNetAuctionHouse_ButtonsBg	0.477051	0.074219	0.947266	0.097168	977	152	1940	199	
BattleNetAuctionHouse_Currency_BLIZZ	0.971680	0.074219	0.994141	0.096191	1990	152	2036	197	
BattleNetAuctionHouse_Currency_D3_GOLD	0.948242	0.074219	0.970703	0.096191	1942	152	1988	197	
BattleNetAuctionHouse_Currency_USD	0.782227	0.098145	0.804688	0.120117	1602	201	1648	246	
BattleNetAuctionHouse_LargeGoldIcon	0.653320	0.124512	0.675293	0.146973	1338	255	1383	301	
BattleNetAuctionHouse_ListBg	0.000488	0.074219	0.476074	0.395508	1	152	975	810	
BattleNetAuctionHouse_SectionSeparatorBar	0.000488	0.065918	0.481445	0.073242	1	135	986	150	
BattleNetAuctionHouse_FailedReviewIcon	0.975098	0.000488	0.991699	0.018066	1997	1	2031	37	
BattleNetAuctionHouse_Currency_D3_GOLD_HC	0.961426	0.023926	0.983887	0.045898	1969	49	2015	94	
BattleNetAuctionHouse_MenuBg	0.251953	0.396484	0.435547	0.779297	516	812	892	1596	
BattleNetAuctionHouse_AuctionIcon	0.709961	0.047852	0.722656	0.060547	1454	98	1480	124	
BattleNetAuctionHouse_AuctionIconDisabled	0.746094	0.047852	0.758789	0.060547	1528	98	1554	124	
BattleNetAuctionHouse_SellItemContainer	0.000488	0.396484	0.250977	0.781738	1	812	514	1601	
BattleNetAuctionHouse_SellItemIconContainer	0.570313	0.098145	0.652344	0.181152	1168	201	1336	371	
BattleNetAuctionHouse_SellItemInputBox	0.882324	0.000488	0.974121	0.021484	1807	1	1995	44	
BattleNetAuctionHouse_SellItemInventoryItemOver	0.872559	0.023926	0.960449	0.046875	1787	49	1967	96	
BattleNetAuctionHouse_SellItemInventoryItemSelected	0.783691	0.023926	0.871582	0.046875	1605	49	1785	96	
BattleNetAuctionHouse_SellItemInventoryItemUp	0.694824	0.023926	0.782715	0.046875	1423	49	1603	96	
BattleNetAuctionHouse_SellItemInventoryList	0.477051	0.098145	0.569336	0.302246	977	201	1166	619	
BattleNetAuctionHouse_FrameHeader	0.000488	0.000488	0.693848	0.064941	1	1	1421	133	
BattleNetAuctionHouse_RefreshIconDisabled	0.723633	0.047852	0.733887	0.060547	1482	98	1503	124	
BattleNetAuctionHouse_RefreshIconUp	0.734863	0.047852	0.745117	0.060547	1505	98	1526	124	
