Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetBannerCustomization_ListItemContainer	0.000488	0.392090	0.208984	0.635254	1	803	428	1301	
BattleNetBannerCustomization_ListItemContainerDye	0.672363	0.000488	0.880859	0.248535	1377	1	1804	509	
BattleNetBannerCustomization_ListItemNew	0.950684	0.041016	0.974121	0.064453	1947	84	1995	132	
BattleNetBannerCustomization_ListItemDisabled	0.975098	0.041016	0.990723	0.062012	1997	84	2029	127	
BattleNetBannerCustomization_ListItemDown	0.950684	0.069336	0.987305	0.105957	1947	142	2022	217	
BattleNetBannerCustomization_ListItemOver	0.881836	0.138184	0.918457	0.174805	1806	283	1881	358	
BattleNetBannerCustomization_ListItemUp	0.950684	0.000488	0.990234	0.040039	1947	1	2028	82	
BattleNetBannerCustomization_ListItemDyeDown	0.988281	0.069336	0.999512	0.086426	2024	142	2047	177	
BattleNetBannerCustomization_ListItemDyeUp	0.988281	0.087402	0.999512	0.104492	2024	179	2047	214	
BattleNetBannerCustomization_Window	0.000488	0.000488	0.671387	0.391113	1	1	1375	801	
BattleNetBannerCustomization_NamePlate	0.881836	0.069336	0.949707	0.137207	1806	142	1945	281	
BattleNetBannerCustomization_SigilCover	0.881836	0.000488	0.949707	0.068359	1806	1	1945	140	
BattleNetBannerCustomization_ArrowLeftDisabled	0.881836	0.190918	0.898438	0.205078	1806	391	1840	420	
BattleNetBannerCustomization_ArrowLeftDown	0.934570	0.175781	0.951172	0.189941	1914	360	1948	389	
BattleNetBannerCustomization_ArrowLeftOver	0.916992	0.175781	0.933594	0.189941	1878	360	1912	389	
BattleNetBannerCustomization_ArrowLeftUp	0.966309	0.106934	0.982910	0.121094	1979	219	2013	248	
BattleNetBannerCustomization_ArrowRightDisabled	0.969727	0.175781	0.986328	0.189941	1986	360	2020	389	
BattleNetBannerCustomization_ArrowRightDown	0.952148	0.175781	0.968750	0.189941	1950	360	1984	389	
BattleNetBannerCustomization_ArrowRightOver	0.881836	0.175781	0.898438	0.189941	1806	360	1840	389	
BattleNetBannerCustomization_ArrowRightUp	0.899414	0.175781	0.916016	0.189941	1842	360	1876	389	
BattleNetBannerCustomization_DyeColor	0.950684	0.106934	0.965332	0.126465	1947	219	1977	259	
BattleNetBannerCustomization_CustomizationTitleBg	0.672363	0.249512	0.869629	0.276855	1377	511	1781	567	
BattleNetBannerCustomization_MenuItemColorCircle	0.919434	0.138184	0.951172	0.170410	1883	283	1948	349	
BattleNetBannerCustomization_MenuItemColorRing	0.952148	0.138184	0.983887	0.170410	1950	283	2015	349	
