Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetButton_ClearDisabled_46x46	0.973145	0.113770	0.995605	0.136230	1993	233	2039	279	
BattleNetButton_ClearDown_46x46	0.973145	0.082520	0.995605	0.104980	1993	169	2039	215	
BattleNetButton_ClearOver_46x46	0.949707	0.113770	0.972168	0.136230	1945	233	1991	279	
BattleNetButton_ClearUp_46x46	0.903320	0.145020	0.925781	0.167480	1850	297	1896	343	
BattleNetButton_ClearSelected_74x66	0.773926	0.680664	0.810059	0.712891	1585	1394	1659	1460	
BattleNetButton_ClearDisabled_74x66	0.811035	0.680664	0.847168	0.712891	1661	1394	1735	1460	
BattleNetButton_ClearDown_74x66	0.736816	0.680664	0.772949	0.712891	1509	1394	1583	1460	
BattleNetButton_ClearOver_74x66	0.699707	0.680664	0.735840	0.712891	1433	1394	1507	1460	
BattleNetButton_ClearUp_74x66	0.662598	0.680664	0.698730	0.712891	1357	1394	1431	1460	
BattleNetButton_ClearDisabled_245x66	0.362305	0.613770	0.481934	0.645996	742	1257	987	1323	
BattleNetButton_ClearDown_245x66	0.121094	0.613770	0.240723	0.645996	248	1257	493	1323	
BattleNetButton_ClearOver_245x66	0.000488	0.613770	0.120117	0.645996	1	1257	246	1323	
BattleNetButton_ClearUp_245x66	0.724121	0.613770	0.843750	0.645996	1483	1257	1728	1323	
BattleNetButton_ClearDisabled_260x50	0.000488	0.588379	0.127441	0.612793	1	1205	261	1255	
BattleNetButton_ClearDown_260x50	0.516113	0.562988	0.643066	0.587402	1057	1153	1317	1203	
BattleNetButton_ClearOver_260x50	0.771973	0.562988	0.898926	0.587402	1581	1153	1841	1203	
BattleNetButton_ClearUp_260x50	0.644043	0.562988	0.770996	0.587402	1319	1153	1579	1203	
BattleNetButton_ClearSelected_397x66	0.390137	0.297852	0.583984	0.330078	799	610	1196	676	
BattleNetButton_ClearDisabled_397x66	0.195313	0.297852	0.389160	0.330078	400	610	797	676	
BattleNetButton_ClearDown_397x66	0.000488	0.297852	0.194336	0.330078	1	610	398	676	
BattleNetButton_ClearUp_397x66	0.779785	0.264648	0.973633	0.296875	1597	542	1994	608	
BattleNetButton_ClearOver_397x66	0.390137	0.264648	0.583984	0.296875	799	542	1196	608	
BattleNetButton_ClearDisabled_64x64	0.917480	0.680664	0.948730	0.711914	1879	1394	1943	1458	
BattleNetButton_ClearDown_64x64	0.965332	0.613770	0.996582	0.645020	1977	1257	2041	1321	
