Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetChat_ChatTargetBackground	0.000977	0.578125	0.250977	0.974609	1	592	257	998	
BattleNetChat_ChatTargetBottom	0.522461	0.302734	0.772461	0.344727	535	310	791	353	
BattleNetChat_ChatTargetSelected	0.969727	0.083008	0.992188	0.124023	993	85	1016	127	
BattleNetChat_ChatTargetButtonDown	0.563477	0.000977	0.602539	0.040039	577	1	617	41	
BattleNetChat_ChatTargetButtonOver	0.645508	0.000977	0.684570	0.040039	661	1	701	41	
BattleNetChat_ChatTargetButtonUp	0.604492	0.000977	0.643555	0.040039	619	1	659	41	
BattleNetChat_ChatWindowBackground	0.000977	0.083008	0.520508	0.504883	1	85	533	517	
BattleNetChat_MiniChat	0.000977	0.506836	0.516602	0.576172	1	519	529	590	
BattleNetChat_ExtendedChatWindowBackground	0.522461	0.083008	0.967773	0.300781	535	85	991	308	
BattleNetChat_ChatEntryFlash	0.000977	0.000977	0.561523	0.040039	1	1	575	41	
BattleNetChat_ChatEntryGlow	0.000977	0.041992	0.561523	0.081055	1	43	575	83	
