Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetCinematics_ListBottomBorder	0.670898	0.278320	0.981934	0.282715	1374	570	2011	579	
BattleNetCinematics_ListItemOver	0.618652	0.575195	0.926758	0.634766	1267	1178	1898	1300	
BattleNetCinematics_ListItemSelected	0.309570	0.393555	0.617676	0.453125	634	806	1265	928	
BattleNetCinematics_ListItemUp	0.000488	0.393555	0.308594	0.453125	1	806	632	928	
BattleNetCinematics_ListTopBorder	0.670898	0.283691	0.981934	0.286621	1374	581	2011	587	
BattleNetCinematics_CinematicsWindow	0.000488	0.000488	0.357910	0.392578	1	1	733	804	
BattleNetCinematics_ListMiddleBorder	0.358887	0.278320	0.669922	0.337891	735	570	1372	692	
BattleNetCinematics_Cinematic_1_Intro	0.618652	0.393555	0.926758	0.453125	1267	806	1898	928	
BattleNetCinematics_Cinematic_2_DOC	0.000488	0.454102	0.308594	0.513672	1	930	632	1052	
BattleNetCinematics_Cinematic_3_BlackSoulstone	0.309570	0.454102	0.617676	0.513672	634	930	1265	1052	
BattleNetCinematics_Cinematic_4_HeavensGate	0.618652	0.454102	0.926758	0.513672	1267	930	1898	1052	
BattleNetCinematics_Cinematic_5_Outro	0.000488	0.514648	0.308594	0.574219	1	1054	632	1176	
BattleNetCinematics_Interstitial_Act1_00	0.309570	0.514648	0.617676	0.574219	634	1054	1265	1176	
BattleNetCinematics_Interstitial_Act1_01	0.618652	0.514648	0.926758	0.574219	1267	1054	1898	1176	
BattleNetCinematics_Interstitial_Act1_02	0.000488	0.575195	0.308594	0.634766	1	1178	632	1300	
BattleNetCinematics_Interstitial_Act1_03	0.309570	0.575195	0.617676	0.634766	634	1178	1265	1300	
BattleNetCinematics_Interstitial_Act2_00	0.000488	0.938477	0.308594	0.998047	1	1922	632	2044	
BattleNetCinematics_Interstitial_Act2_01	0.000488	0.635742	0.308594	0.695313	1	1302	632	1424	
BattleNetCinematics_Interstitial_Act2_02	0.309570	0.635742	0.617676	0.695313	634	1302	1265	1424	
BattleNetCinematics_Interstitial_Act2_03	0.618652	0.635742	0.926758	0.695313	1267	1302	1898	1424	
BattleNetCinematics_Interstitial_Act3_00	0.000488	0.696289	0.308594	0.755859	1	1426	632	1548	
BattleNetCinematics_Interstitial_Act3_01	0.309570	0.696289	0.617676	0.755859	634	1426	1265	1548	
BattleNetCinematics_Interstitial_Act3_03	0.618652	0.696289	0.926758	0.755859	1267	1426	1898	1548	
BattleNetCinematics_Interstitial_Act4_00	0.000488	0.756836	0.308594	0.816406	1	1550	632	1672	
BattleNetCinematics_Interstitial_Act4_01	0.309570	0.756836	0.617676	0.816406	634	1550	1265	1672	
BattleNetCinematics_Interstitial_Act4_02	0.618652	0.756836	0.926758	0.816406	1267	1550	1898	1672	
BattleNetCinematics_ShadowofDeath	0.000488	0.817383	0.308594	0.876953	1	1674	632	1796	
BattleNetCinematics_ReapingofWestmarch	0.309570	0.817383	0.617676	0.876953	634	1674	1265	1796	
BattleNetCinematics_CollectorofSouls	0.618652	0.817383	0.926758	0.876953	1267	1674	1898	1796	
BattleNetCinematics_PandemoniumWastes	0.000488	0.877930	0.308594	0.937500	1	1798	632	1920	
BattleNetCinematics_MalthaelsEndgame	0.309570	0.877930	0.617676	0.937500	634	1798	1265	1920	
BattleNetCinematics_Premonitions	0.618652	0.877930	0.926758	0.937500	1267	1798	1898	1920	
BattleNetCredits_CreditsWindow	0.358887	0.000488	0.691895	0.277344	735	1	1417	568	
