Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetExtendedExperience_Frame	0.000977	0.000977	0.694336	0.469238	2	2	1422	961	
BattleNetExtendedExperience_Frame_x1	0.000977	0.471191	0.694336	0.529785	2	965	1422	1085	
BattleNetExtendedExperience_Frame_Clans	0.000977	0.531738	0.694336	0.596191	2	1089	1422	1221	
BattleNetExtendedExperience_ButtonContainer	0.000977	0.598145	0.694336	0.662598	2	1225	1422	1357	
BattleNetExtendedExperience_ButtonContainer_Clans	0.000977	0.664551	0.694336	0.729004	2	1361	1422	1493	
BattleNetExtendedExperience_CloseButtonUp	0.926758	0.000977	0.946289	0.020508	1898	2	1938	42	
BattleNetExtendedExperience_CloseButtonDown	0.905273	0.000977	0.924805	0.020508	1854	2	1894	42	
BattleNetExtendedExperience_CloseButtonOver	0.969727	0.000977	0.989258	0.020508	1986	2	2026	42	
BattleNetExtendedExperience_CloseButtonDisabled	0.948242	0.000977	0.967773	0.020508	1942	2	1982	42	
BattleNetExtendedExperience_NavButtonUp	0.129395	0.797363	0.255859	0.837402	265	1633	524	1715	
BattleNetExtendedExperience_NavButtonOver	0.514648	0.797363	0.641113	0.837402	1054	1633	1313	1715	
BattleNetExtendedExperience_NavButtonDown	0.696289	0.664551	0.830566	0.714844	1426	1361	1701	1464	
BattleNetExtendedExperience_NavButtonDisabled	0.824707	0.730957	0.951172	0.770996	1689	1497	1948	1579	
BattleNetExtendedExperience_NavButtonSelected	0.696289	0.730957	0.822754	0.770996	1426	1497	1685	1579	
BattleNetExtendedExperience_SubMenuWideBottomBorder	0.696289	0.458008	0.899414	0.459961	1426	938	1842	942	
BattleNetExtendedExperience_SubMenuWideTopBorder	0.696289	0.454590	0.899414	0.456055	1426	931	1842	934	
BattleNetExtendedExperience_SubMenuWideUp	0.696289	0.471191	0.899414	0.491211	1426	965	1842	1006	
BattleNetExtendedExperience_SubMenuWideOver	0.696289	0.432617	0.899414	0.452637	1426	886	1842	927	
BattleNetExtendedExperience_SubMenuWideSelected	0.696289	0.493164	0.899414	0.513184	1426	1010	1842	1051	
BattleNetExtendedExperience_SubMenuBottomBorder	0.696289	0.466797	0.850586	0.468750	1426	956	1742	960	
BattleNetExtendedExperience_SubMenuTopBorder	0.696289	0.520996	0.850586	0.522461	1426	1067	1742	1070	
BattleNetExtendedExperience_SubMenuUp	0.696289	0.598145	0.850586	0.618164	1426	1225	1742	1266	
BattleNetExtendedExperience_SubMenuOver	0.696289	0.563965	0.850586	0.583984	1426	1155	1742	1196	
BattleNetExtendedExperience_SubMenuSelected	0.696289	0.620117	0.850586	0.640137	1426	1270	1742	1311	
BattleNetExtendedExperience_SubMenuUp_292x62	0.852539	0.598145	0.995117	0.618164	1746	1225	2038	1266	
BattleNetExtendedExperience_SubMenuOver_292x62	0.852539	0.620117	0.995117	0.640137	1746	1270	2038	1311	
BattleNetExtendedExperience_SubMenuSelected_292x62	0.852539	0.563965	0.995117	0.583984	1746	1155	2038	1196	
BattleNetExtendedExperience_PointsContainer	0.000977	0.730957	0.694336	0.795410	2	1497	1422	1629	
BattleNetExtendedExperience_LeftNavContainer	0.696289	0.000977	0.903320	0.387695	1426	2	1850	794	
BattleNetExtendedExperience_MenuBottomBorder	0.696289	0.515137	0.866211	0.519043	1426	1055	1774	1063	
BattleNetExtendedExperience_MenuSideBorder	0.696289	0.531738	0.866211	0.562012	1426	1089	1774	1151	
BattleNetExtendedExperience_MenuTopBorder	0.696289	0.461914	0.866211	0.464844	1426	946	1774	952	
BattleNetExtendedExperience_FallenHeroesButtonDisabled	0.257813	0.797363	0.384277	0.837402	528	1633	787	1715	
BattleNetExtendedExperience_FallenHeroesButtonUp	0.386230	0.797363	0.512695	0.837402	791	1633	1050	1715	
BattleNetExtendedExperience_FallenHeroesButtonOver	0.832520	0.664551	0.958984	0.704590	1705	1361	1964	1443	
BattleNetExtendedExperience_FallenHeroesButtonSelected	0.000977	0.797363	0.127441	0.837402	2	1633	261	1715	
BattleNetExtendedExperience_MenuSideBorderWide	0.696289	0.389648	0.937500	0.419922	1426	798	1920	860	
BattleNetExtendedExperience_MenuBottomBorderWide	0.696289	0.421875	0.937500	0.425781	1426	864	1920	872	
BattleNetExtendedExperience_MenuTopBorderWide	0.696289	0.427734	0.937500	0.430664	1426	876	1920	882	
