Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetFooter_BG_4x3	0.000488	0.001953	0.781738	0.136719	1	1	1601	70	
BattleNetFooter_BG_EndCapLeft	0.208496	0.140625	0.338867	0.275391	427	72	694	141	
BattleNetFooter_BG_EndCapRight	0.782715	0.001953	0.913086	0.136719	1603	1	1870	70	
BattleNetFooter_AchievementsButtonUp	0.583008	0.140625	0.622559	0.263672	1194	72	1275	135	
BattleNetFooter_AchievementsButtonOver	0.542480	0.140625	0.582031	0.263672	1111	72	1192	135	
BattleNetFooter_AchievementsButtonDisabled	0.501953	0.140625	0.541504	0.263672	1028	72	1109	135	
BattleNetFooter_AchievementsButtonDown	0.461426	0.140625	0.500977	0.263672	945	72	1026	135	
BattleNetFooter_AchievementsButtonSelected	0.420898	0.140625	0.460449	0.263672	862	72	943	135	
BattleNetFooter_AuctionsButtonUp	0.623535	0.140625	0.663086	0.263672	1277	72	1358	135	
BattleNetFooter_AuctionsButtonOver	0.954590	0.001953	0.994141	0.125000	1955	1	2036	64	
BattleNetFooter_AuctionsButtonDisabled	0.914063	0.001953	0.953613	0.125000	1872	1	1953	64	
BattleNetFooter_AuctionsButtonDown	0.339844	0.140625	0.379395	0.263672	696	72	777	135	
BattleNetFooter_AuctionsButtonSelected	0.380371	0.140625	0.419922	0.263672	779	72	860	135	
BattleNetFooter_SocialButtonUp	0.410156	0.425781	0.452148	0.580078	840	218	926	297	
BattleNetFooter_SocialButtonOver	0.367188	0.425781	0.409180	0.580078	752	218	838	297	
BattleNetFooter_SocialButtonDisabled	0.324219	0.425781	0.366211	0.580078	664	218	750	297	
BattleNetFooter_SocialButtonDown	0.281250	0.425781	0.323242	0.580078	576	218	662	297	
BattleNetFooter_SocialButtonSelected	0.453125	0.425781	0.495117	0.580078	928	218	1014	297	
BattleNetFooter_SocialButtonPending	0.168945	0.425781	0.224121	0.630859	346	218	459	323	
BattleNetFooter_SocialButtonPendingBright	0.112793	0.425781	0.167969	0.630859	231	218	344	323	
BattleNetFooter_GroupButtonPending	0.056641	0.425781	0.111816	0.630859	116	218	229	323	
BattleNetFooter_GroupButtonPendingBright	0.000488	0.425781	0.055664	0.630859	1	218	114	323	
BattleNetFooter_AchievementsButtonIcon	0.932129	0.140625	0.943359	0.197266	1909	72	1932	101	
BattleNetFooter_GroupButtonIcon	0.897461	0.140625	0.914551	0.207031	1838	72	1873	106	
BattleNetFooter_OptionsButtonIcon	0.811523	0.140625	0.825684	0.212891	1662	72	1691	109	
BattleNetFooter_ProfileButtonIcon	0.796387	0.140625	0.810547	0.212891	1631	72	1660	109	
BattleNetFooter_LeaderboardButtonIcon	0.844727	0.140625	0.858887	0.212891	1730	72	1759	109	
BattleNetFooter_PublicChatButtonIcon	0.879395	0.140625	0.896484	0.207031	1801	72	1836	106	
BattleNetFooter_F2PStoreButtonIcon	0.826660	0.140625	0.843750	0.212891	1693	72	1728	109	
BattleNetFooter_F2PIconComplete	0.859863	0.140625	0.868652	0.210938	1761	72	1779	108	
BattleNetFooter_F2PIconFail	0.869629	0.140625	0.878418	0.210938	1781	72	1799	108	
BattleNetFooter_NewItemNotification	0.757324	0.140625	0.775879	0.214844	1551	72	1589	110	
BattleNetFooter_PersonalizationButtonIcon	0.915527	0.140625	0.931152	0.203125	1875	72	1907	104	
BattleNetFooter_Queue	0.000488	0.140625	0.207520	0.421875	1	72	425	216	
BattleNetFooter_SocialButtonIcon	0.716797	0.140625	0.736816	0.220703	1468	72	1509	113	
BattleNetFooter_FriendButtonIcon	0.944336	0.140625	0.958496	0.197266	1934	72	1963	101	
BattleNetFooter_SocialNotification	0.737793	0.140625	0.756348	0.214844	1511	72	1549	110	
BattleNetFooter_CommunitiesNotification	0.776855	0.140625	0.795410	0.214844	1591	72	1629	110	
BattleNetFooter_FriendsBlinker	0.664063	0.140625	0.689453	0.234375	1360	72	1412	120	
BattleNetFooter_CommunitiesBlinker	0.690430	0.140625	0.715820	0.234375	1414	72	1466	120	
BattleNetFooter_BlinkerBacking	0.225098	0.425781	0.280273	0.630859	461	218	574	323	
