Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetFriendsList_Frame	0.272461	0.000977	0.541992	0.522461	558	2	1110	1070	
BattleNetFriendsList_GroupsFrame	0.000977	0.000977	0.270508	0.522461	2	2	554	1070	
BattleNetFriendsList_FriendOfFriendSelected	0.449707	0.647949	0.664551	0.661621	921	1327	1361	1355	
BattleNetFriendsList_NoFriendsYet	0.543945	0.000977	0.785156	0.312500	1114	2	1608	640	
BattleNetFriendsList_ListHeader	0.767578	0.489746	0.988770	0.505371	1572	1003	2025	1035	
BattleNetFriendsList_ListItemDiabloDown	0.787109	0.000977	0.976563	0.032227	1612	2	2000	66	
BattleNetFriendsList_ListItemDiabloOver	0.767578	0.457520	0.989258	0.487793	1572	937	2026	999	
BattleNetFriendsList_ListItemDiabloUp	0.767578	0.393066	0.989258	0.423340	1572	805	2026	867	
BattleNetFriendsList_ListItemFriendRequest	0.767578	0.425293	0.989258	0.455566	1572	871	2026	933	
BattleNetFriendsList_ListItemFriendRequestIconAccept	0.985352	0.209473	0.999023	0.221191	2018	429	2046	453	
BattleNetFriendsList_ListItemFriendRequestIconAcceptDisabled	0.985352	0.161621	0.999023	0.173340	2018	331	2046	355	
BattleNetFriendsList_ListItemFriendRequestIconArrow	0.985352	0.183105	0.999023	0.194824	2018	375	2046	399	
BattleNetFriendsList_ListItemFriendRequestIconArrowDisabled	0.969727	0.209473	0.983398	0.221191	1986	429	2014	453	
BattleNetFriendsList_ListItemFriendRequestIconDecline	0.954102	0.209473	0.967773	0.221191	1954	429	1982	453	
BattleNetFriendsList_Magnifier	0.983887	0.227051	0.995605	0.238770	2015	465	2039	489	
BattleNetFriendsList_ListItemSigil_BattleNet	0.975098	0.034180	0.994629	0.053711	1997	70	2037	110	
BattleNetFriendsList_ListItemSigil_D3	0.975098	0.077148	0.994629	0.096680	1997	158	2037	198	
BattleNetFriendsList_ListItemSigil_D3HC	0.975098	0.055664	0.994629	0.075195	1997	114	2037	154	
BattleNetFriendsList_ListItemSigil_D3S	0.940918	0.250000	0.960449	0.269531	1927	512	1967	552	
BattleNetFriendsList_ListItemSigil_D3SHC	0.978516	0.000977	0.998047	0.020508	2004	2	2044	42	
BattleNetFriendsList_ListItemSigil_SC2	0.962402	0.250000	0.981934	0.269531	1971	512	2011	552	
BattleNetFriendsList_ListItemSigil_WoW	0.962402	0.227051	0.981934	0.246582	1971	465	2011	505	
BattleNetFriendsList_ListItemSigil_HS	0.940918	0.227051	0.960449	0.246582	1927	465	1967	505	
BattleNetFriendsList_ListItemSigil_Heroes	0.963867	0.183105	0.983398	0.202637	1974	375	2014	415	
BattleNetFriendsList_ListItemSigil_Overwatch	0.963867	0.161621	0.983398	0.181152	1974	331	2014	371	
BattleNetFriendsList_FriendTooltipBottom	0.227539	0.647949	0.447754	0.676758	466	1327	917	1386	
BattleNetFriendsList_FriendTooltipMiddle	0.674805	0.601563	0.895020	0.634766	1382	1232	1833	1300	
BattleNetFriendsList_FriendTooltipTop	0.674805	0.559570	0.895020	0.599609	1382	1146	1833	1228	
BattleNetFriendsList_RequestTooltip	0.787109	0.034180	0.973145	0.106934	1612	70	1993	219	
BattleNetFriendsList_PortraitTooltipMiddle	0.674805	0.524414	0.895020	0.557617	1382	1074	1833	1142	
BattleNetFriendsList_BroadcastButtonNormal	0.787109	0.272949	0.938965	0.293945	1612	559	1923	602	
BattleNetFriendsList_BroadcastButtonMouseover	0.787109	0.250000	0.938965	0.270996	1612	512	1923	555	
BattleNetFriendsList_BroadcastButtonPushed	0.787109	0.227051	0.938965	0.248047	1612	465	1923	508	
BattleNetFriendsList_BroadcastIcon	0.983887	0.250000	0.994141	0.260254	2015	512	2036	533	
BattleNetFriendsList_NoteIcon	0.787109	0.295898	0.797363	0.306152	1612	606	1633	627	
BattleNetPlayersNearYou	0.543945	0.314453	0.790527	0.391113	1114	644	1619	801	
BattleNetFriendsList_ClanButtonGlass	0.787109	0.108887	0.961914	0.207520	1612	223	1970	425	
BattleNetFriendsList_ClanButtonUp	0.451172	0.524414	0.672852	0.645996	924	1074	1378	1323	
BattleNetFriendsList_ClanButtonOver	0.227539	0.524414	0.449219	0.645996	466	1074	920	1323	
BattleNetFriendsList_ClanButtonDown	0.543945	0.393066	0.765625	0.514648	1114	805	1568	1054	
BattleNetFriendsList_NoClanYet	0.000977	0.524414	0.225586	0.740723	2	1074	462	1517	
BattleNetFriendsList_ClanInviteBlinker	0.963867	0.135254	0.988281	0.159668	1974	277	2024	327	
BattleNetFriendsList_ClanNewsBlinker	0.963867	0.108887	0.988281	0.133301	1974	223	2024	273	
BattleNetFriendsList_ClanChatBackground	0.787109	0.209473	0.952148	0.225098	1612	429	1950	461	
BattleNetFriendsList_JumpToChat_Normal	0.831543	0.314453	0.849121	0.332031	1703	644	1739	680	
BattleNetFriendsList_JumpToChat_Mouseover	0.940918	0.272949	0.958496	0.290527	1927	559	1963	595	
BattleNetFriendsList_ChatOff_Normal	0.812012	0.314453	0.829590	0.332031	1663	644	1699	680	
BattleNetFriendsList_ChatOff_Mouseover	0.979980	0.272949	0.997559	0.290527	2007	559	2043	595	
BattleNetFriendsList_ChatOn_Normal	0.792480	0.314453	0.810059	0.332031	1623	644	1659	680	
BattleNetFriendsList_ChatOn_Mouseover	0.960449	0.272949	0.978027	0.290527	1967	559	2003	595	
