Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetFriendsTooltip_Bottom	0.434570	0.011719	0.629883	0.031250	890	12	1290	32	
BattleNetFriendsTooltip_ItemBg	0.237305	0.001953	0.432617	0.045898	486	2	886	47	
BattleNetFriendsTooltip_Top	0.237305	0.049805	0.432617	0.123047	486	51	886	126	
BattleNetFriendsTooltip_TopBarbarian	0.434570	0.049805	0.629883	0.123047	890	51	1290	126	
BattleNetFriendsTooltip_TopCrusader	0.631836	0.049805	0.827148	0.123047	1294	51	1694	126	
BattleNetFriendsTooltip_TopMonk	0.000977	0.171875	0.196289	0.245117	2	176	402	251	
BattleNetFriendsTooltip_TopDemonHunter	0.198242	0.171875	0.393555	0.245117	406	176	806	251	
BattleNetFriendsTooltip_TopWitchDoctor	0.395508	0.171875	0.590820	0.245117	810	176	1210	251	
BattleNetFriendsTooltip_TopWizard	0.592773	0.171875	0.788086	0.245117	1214	176	1614	251	
BattleNetFriendsTooltip_TopNecromancer	0.790039	0.171875	0.985352	0.245117	1618	176	2018	251	
BattleNetFriendsTooltip_SocialIcon	0.829102	0.049805	0.845215	0.087891	1698	51	1731	90	
BattleNetFriendsTooltip_DividerBar	0.434570	0.001953	0.629883	0.007813	890	2	1290	8	
BattleNetFriendsTooltip_AchievementIcon	0.847168	0.049805	0.863281	0.087891	1735	51	1768	90	
BattleNetFriendsList_PlayerTooltip	0.158691	0.249023	0.314453	0.530273	325	255	644	543	
BattleNetFriendsList_PlayerTooltip_Barbarian	0.316406	0.249023	0.472168	0.530273	648	255	967	543	
BattleNetFriendsList_PlayerTooltip_Crusader	0.474121	0.249023	0.629883	0.530273	971	255	1290	543	
BattleNetFriendsList_PlayerTooltip_DemonHunter	0.631836	0.249023	0.787598	0.530273	1294	255	1613	543	
BattleNetFriendsList_PlayerTooltip_Monk	0.789551	0.249023	0.945313	0.530273	1617	255	1936	543	
BattleNetFriendsList_PlayerTooltip_Necromancer	0.000977	0.534180	0.156738	0.815430	2	547	321	835	
BattleNetFriendsList_PlayerTooltip_WitchDoctor	0.158691	0.534180	0.314453	0.815430	325	547	644	835	
BattleNetFriendsList_PlayerTooltip_Wizard	0.000977	0.249023	0.156738	0.530273	2	255	321	543	
BattleNetFriendsList_PlayerTooltip_Party	0.000977	0.001953	0.235352	0.167969	2	2	482	172	
