Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetDifficulty_6_Up	0.503906	0.347656	0.602539	0.689453	1032	712	1234	1412	
BattleNetDifficulty_6_Over	0.029297	0.000977	0.127930	0.342773	60	2	262	702	
BattleNetDifficulty_6_Down	0.129883	0.000977	0.228516	0.342773	266	2	468	702	
BattleNetDifficulty_7_Up	0.230469	0.000977	0.329102	0.342773	472	2	674	702	
BattleNetDifficulty_7_Over	0.331055	0.000977	0.429688	0.342773	678	2	880	702	
BattleNetDifficulty_7_Down	0.431641	0.000977	0.530273	0.342773	884	2	1086	702	
BattleNetDifficulty_8_Up	0.532227	0.000977	0.630859	0.342773	1090	2	1292	702	
BattleNetDifficulty_8_Over	0.632813	0.000977	0.731445	0.342773	1296	2	1498	702	
BattleNetDifficulty_8_Down	0.733398	0.000977	0.832031	0.342773	1502	2	1704	702	
BattleNetDifficulty_9_Up	0.833984	0.000977	0.932617	0.342773	1708	2	1910	702	
BattleNetDifficulty_9_Over	0.000977	0.347656	0.099609	0.689453	2	712	204	1412	
BattleNetDifficulty_9_Down	0.101563	0.347656	0.200195	0.689453	208	712	410	1412	
BattleNetDifficulty_10_Up	0.202148	0.347656	0.300781	0.689453	414	712	616	1412	
BattleNetDifficulty_10_Over	0.302734	0.347656	0.401367	0.689453	620	712	822	1412	
BattleNetDifficulty_10_Down	0.403320	0.347656	0.501953	0.689453	826	712	1028	1412	
BattleNetDifficulty_Icon_5_Hover	0.604492	0.508789	0.681152	0.587402	1238	1042	1395	1203	
BattleNetDifficulty_Icon_5_Selected	0.683105	0.508789	0.759766	0.587402	1399	1042	1556	1203	
BattleNetDifficulty_Icon_6_Hover	0.604492	0.347656	0.681152	0.426270	1238	712	1395	873	
BattleNetDifficulty_Icon_6_Selected	0.683105	0.347656	0.759766	0.426270	1399	712	1556	873	
BattleNetDifficulty_Icon_7_Hover	0.761719	0.347656	0.838379	0.426270	1560	712	1717	873	
BattleNetDifficulty_Icon_7_Selected	0.840332	0.347656	0.916992	0.426270	1721	712	1878	873	
BattleNetDifficulty_Icon_8_Hover	0.918945	0.347656	0.995605	0.426270	1882	712	2039	873	
BattleNetDifficulty_Icon_8_Selected	0.604492	0.428223	0.681152	0.506836	1238	877	1395	1038	
BattleNetDifficulty_Icon_9_Hover	0.683105	0.428223	0.759766	0.506836	1399	877	1556	1038	
BattleNetDifficulty_Icon_9_Selected	0.761719	0.428223	0.838379	0.506836	1560	877	1717	1038	
BattleNetDifficulty_ArrowRight	0.840332	0.428223	0.913086	0.506836	1721	877	1870	1038	
BattleNetDifficulty_ArrowLeft	0.915039	0.428223	0.987793	0.506836	1874	877	2023	1038	
BattleNetDifficulty_FadePipeLeft	0.000977	0.000977	0.027344	0.345703	2	2	56	708	
BattleNetDifficulty_FadeRight	0.934570	0.000977	0.957520	0.341797	1914	2	1961	700	
