Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetDifficulty_Banner	0.000977	0.688477	0.137207	0.855469	2	1410	281	1752	
BattleNetDifficulty_Icon_0_Hover	0.139160	0.688477	0.215820	0.767090	285	1410	442	1571	
BattleNetDifficulty_Icon_0_Selected	0.906250	0.586426	0.982910	0.665039	1856	1201	2013	1362	
BattleNetDifficulty_Icon_1_Hover	0.906250	0.505859	0.982910	0.584473	1856	1036	2013	1197	
BattleNetDifficulty_Icon_1_Selected	0.906250	0.425293	0.982910	0.503906	1856	871	2013	1032	
BattleNetDifficulty_Icon_2_Hover	0.906250	0.344727	0.982910	0.423340	1856	706	2013	867	
BattleNetDifficulty_Icon_2_Selected	0.906250	0.242676	0.982910	0.321289	1856	497	2013	658	
BattleNetDifficulty_Icon_3_Hover	0.906250	0.162109	0.982910	0.240723	1856	332	2013	493	
BattleNetDifficulty_Icon_3_Selected	0.906250	0.081543	0.982910	0.160156	1856	167	2013	328	
BattleNetDifficulty_Icon_4_Hover	0.906250	0.000977	0.982910	0.079590	1856	2	2013	163	
BattleNetDifficulty_Icon_4_Selected	0.217773	0.688477	0.294434	0.767090	446	1410	603	1571	
BattleNetDifficulty_0_Up	0.202148	0.344727	0.300781	0.686523	414	706	616	1406	
BattleNetDifficulty_0_Over	0.302734	0.344727	0.401367	0.686523	620	706	822	1406	
BattleNetDifficulty_0_Down	0.403320	0.344727	0.501953	0.686523	826	706	1028	1406	
BattleNetDifficulty_1_Up	0.000977	0.000977	0.099609	0.342773	2	2	204	702	
BattleNetDifficulty_1_Over	0.604492	0.344727	0.703125	0.686523	1238	706	1440	1406	
BattleNetDifficulty_1_Down	0.705078	0.344727	0.803711	0.686523	1444	706	1646	1406	
BattleNetDifficulty_2_Up	0.805664	0.344727	0.904297	0.686523	1650	706	1852	1406	
BattleNetDifficulty_2_Over	0.101563	0.344727	0.200195	0.686523	208	706	410	1406	
BattleNetDifficulty_2_Down	0.000977	0.344727	0.099609	0.686523	2	706	204	1406	
BattleNetDifficulty_3_Up	0.805664	0.000977	0.904297	0.342773	1650	2	1852	702	
BattleNetDifficulty_3_Over	0.705078	0.000977	0.803711	0.342773	1444	2	1646	702	
BattleNetDifficulty_3_Down	0.604492	0.000977	0.703125	0.342773	1238	2	1440	702	
BattleNetDifficulty_4_Up	0.503906	0.000977	0.602539	0.342773	1032	2	1234	702	
BattleNetDifficulty_4_Over	0.403320	0.000977	0.501953	0.342773	826	2	1028	702	
BattleNetDifficulty_4_Down	0.302734	0.000977	0.401367	0.342773	620	2	822	702	
BattleNetDifficulty_5_Up	0.202148	0.000977	0.300781	0.342773	414	2	616	702	
BattleNetDifficulty_5_Over	0.101563	0.000977	0.200195	0.342773	208	2	410	702	
BattleNetDifficulty_5_Down	0.503906	0.344727	0.602539	0.686523	1032	706	1234	1406	
