Name	Xpos(f)	Ypos(f)	XposEnd(f)	YposEnd(t)	Xpos(i)	Ypos(i)	XposEnd(i)	YposEnd(i)	
BattleNetGameSettings_ChallengeRifts_Background	0.415039	0.001953	0.620117	0.688477	850	2	1270	705	
BattleNetGameSettings_ChallengeRifts_BackgroundsDetails	0.000977	0.001953	0.206055	0.688477	2	2	422	705	
BattleNetGameSettings_ChallengeRifts_Ribbon	0.622070	0.001953	0.827148	0.080078	1274	2	1694	82	
BattleNetGameSettings_Locked	0.622070	0.083984	0.812500	0.208008	1274	86	1664	213	
BattleNetGameSettings_ChallengeRifts_Info_Background	0.208008	0.001953	0.413086	0.688477	426	2	846	705	
BattleNetGameSettings_ChallengeRifts_RewardFrame	0.622070	0.211914	0.653320	0.336914	1274	217	1338	345	
ChallengeRifts_Leaderboard_ListBackground	0.814453	0.083984	0.991699	0.105469	1668	86	2031	108	
ChallengeRifts_Leaderboard_EmptyListBackground	0.814453	0.109375	0.991699	0.130859	1668	112	2031	134	
GameSettings_ChallengeRifts_ViewLeaderBoards_ButtonOff	0.895508	0.001953	0.926758	0.064453	1834	2	1898	66	
GameSettings_ChallengeRifts_ViewLeaderBoards_ButtonOver	0.829102	0.001953	0.860352	0.064453	1698	2	1762	66	
GameSettings_ChallengeRifts_ViewLeaderBoards_ButtonDown	0.862305	0.001953	0.893555	0.064453	1766	2	1830	66	
